SEZIONE,destre_unite_forconi_235,il_popolo_della_famiglia_965,p_r_i_ala_347,potere_al_popolo_4905,civica_popolare_lorenzin_1433,italia_europa_insieme_2371,piu_europa_10296,partito_democratico_53312,sinistra_rivoluzionaria_491,partito_comunista_1366,casapound_896,liberi_e_uguali_18117,italia_agli_italiani_611,movimento_5_stelle_41598,forza_italia_18467,udc_831,lega_26492,fratelli_d_italia_6601,TOTALE
406,0,3,0,6,2,4,6,162,0,3,3,41,2,90,28,0,52,14,416
407,0,1,0,8,0,5,24,160,0,4,0,62,1,108,27,0,31,12,443
414,1,1,1,10,1,7,27,110,1,4,2,37,1,119,42,0,53,16,433
419,0,1,3,9,1,9,15,97,1,1,4,38,0,98,34,1,65,15,392
420,1,1,2,8,6,7,30,120,1,4,3,44,1,107,32,1,70,16,454
424,0,1,0,1,1,2,12,134,1,1,1,37,0,94,27,1,52,8,373
428,1,1,0,13,3,5,13,143,2,4,0,45,1,106,44,5,87,9,482
436,1,1,1,8,4,4,30,150,2,1,2,29,3,102,37,1,69,20,465
437,0,2,0,9,1,5,13,101,4,3,1,30,2,157,17,0,48,12,405
438,1,0,0,0,0,0,3,17,0,2,1,4,1,13,9,0,8,1,60
441,1,0,0,1,0,2,1,41,1,0,0,6,0,17,13,0,13,1,97
1,0,0,0,4,1,5,24,69,0,0,0,36,1,38,49,0,47,15,289
2,1,2,0,11,7,4,31,92,1,3,6,41,1,56,59,2,56,24,397
9,1,1,0,26,3,7,25,85,2,6,6,36,2,71,53,0,55,17,396
12,1,3,1,27,0,6,27,72,4,1,1,72,1,73,23,0,22,13,347
14,0,0,0,37,2,4,33,88,4,7,0,60,0,81,45,3,30,10,404
17,0,3,0,26,5,11,36,138,1,8,4,59,1,99,22,1,50,10,474
19,0,1,0,8,1,3,48,115,0,2,1,38,0,45,76,6,59,30,433
20,0,4,2,5,4,8,45,92,0,0,4,28,3,41,100,3,88,32,459
22,3,2,3,17,3,7,40,118,2,3,5,60,2,61,80,4,69,15,494
24,0,2,3,13,4,11,48,108,2,2,2,40,0,78,90,4,76,28,511
25,0,3,1,17,1,4,27,109,2,0,0,37,4,69,62,2,68,25,431
30,1,4,1,17,1,6,37,112,0,3,2,59,3,115,29,2,59,13,464
33,1,2,1,15,1,0,34,115,2,3,1,48,2,99,43,2,59,7,435
34,1,2,0,12,1,6,24,118,0,2,1,42,1,90,27,0,66,16,409
37,0,2,0,9,0,11,32,118,0,5,5,41,1,86,62,2,63,14,451
39,2,1,0,16,1,3,50,115,1,2,2,45,2,96,31,0,60,14,441
41,2,0,2,19,2,5,36,109,0,4,1,49,0,116,52,2,69,19,487
52,1,0,1,5,3,1,34,110,0,0,2,37,2,46,57,0,81,32,412
55,1,2,0,20,3,6,37,93,3,3,6,53,1,75,62,0,55,18,438
56,0,0,0,13,6,8,37,109,1,2,0,50,3,91,40,5,58,21,444
63,0,2,0,16,7,3,26,95,1,3,5,46,0,117,46,4,57,9,437
65,0,4,0,17,1,4,44,108,2,4,1,61,1,93,34,3,44,8,429
70,1,4,0,11,1,7,10,106,3,3,2,41,0,114,32,1,43,14,393
71,0,1,0,15,4,8,29,141,0,0,3,46,0,86,48,3,68,28,480
73,1,1,0,11,2,9,19,141,1,5,2,52,1,104,30,1,67,8,455
80,1,0,0,3,2,3,17,61,1,0,11,28,2,104,32,1,75,28,369
81,0,1,0,15,1,5,26,130,2,3,4,48,2,138,34,1,55,12,477
83,0,0,1,10,1,8,24,98,2,2,3,29,2,77,28,5,56,14,360
84,0,2,1,8,1,7,31,73,0,1,0,24,0,40,48,8,33,27,304
85,0,0,0,24,3,3,49,78,3,0,3,64,0,59,48,2,45,10,391
86,0,3,3,13,9,3,40,81,0,2,0,39,1,49,55,4,51,15,368
94,1,2,1,11,1,5,26,59,2,5,1,34,0,55,27,1,29,6,266
96,0,0,0,17,5,3,20,69,3,0,1,57,0,55,44,1,43,16,334
103,0,3,1,4,4,2,26,101,0,2,0,47,2,73,55,1,43,21,385
104,0,0,1,15,5,11,36,139,0,3,5,43,1,70,51,4,59,27,470
105,0,0,1,7,2,5,29,111,4,5,2,44,2,81,41,0,45,13,392
108,1,1,0,12,2,5,10,112,2,7,3,40,1,126,25,0,52,6,405
113,0,2,0,16,2,5,45,114,2,1,1,52,1,95,44,0,63,17,460
115,2,1,0,10,1,3,28,124,1,2,2,32,1,122,54,0,62,16,461
117,0,4,0,4,4,5,29,155,1,3,2,27,1,102,49,2,64,25,477
118,0,1,0,10,1,2,15,55,0,3,0,23,1,43,17,0,54,13,238
120,0,0,1,9,4,5,36,98,1,2,3,42,2,83,45,2,47,8,388
125,1,4,0,22,3,5,20,66,2,5,2,63,1,116,17,3,60,8,398
128,1,1,0,12,0,8,18,111,1,4,3,33,1,113,34,2,53,11,406
141,0,1,2,14,0,3,31,61,1,3,1,36,1,50,55,0,42,11,312
143,3,3,0,11,5,11,47,89,0,1,2,23,1,61,78,3,48,15,401
146,0,2,0,17,2,12,44,83,0,0,2,45,0,60,58,0,61,23,409
147,0,3,0,9,2,8,58,106,1,1,5,32,4,61,43,8,51,17,409
149,0,3,1,29,0,7,31,81,1,0,1,50,0,61,37,4,40,12,358
155,1,4,0,13,4,4,56,130,3,0,4,31,1,68,82,2,65,43,511
158,0,1,2,9,1,11,39,127,2,1,1,36,0,56,76,0,82,28,472
159,0,3,2,6,6,7,41,113,1,0,0,27,1,63,87,8,86,28,479
170,1,0,0,10,2,8,27,128,1,4,1,40,1,73,40,1,48,9,394
173,0,5,2,10,4,8,32,140,1,4,7,58,1,65,48,2,64,21,472
177,1,1,0,9,4,7,27,96,1,2,4,46,1,95,33,3,48,19,397
181,0,4,0,8,4,9,27,97,2,4,1,39,1,80,40,0,74,15,405
184,1,1,1,4,0,4,30,121,1,3,0,29,2,106,39,0,62,14,418
185,0,2,0,13,3,3,24,118,0,3,3,58,2,86,23,1,42,9,390
197,0,5,0,13,3,5,38,116,0,0,3,31,0,60,54,5,69,30,432
210,0,10,1,7,6,2,27,125,1,3,1,46,0,81,36,2,55,20,423
212,0,6,1,6,5,3,34,199,0,5,5,48,3,168,53,1,105,22,664
215,1,1,0,10,5,9,13,88,1,3,0,28,2,101,33,0,49,9,353
221,1,1,0,6,1,3,11,133,0,2,1,27,1,85,34,0,60,5,371
222,0,2,1,8,0,8,18,184,2,8,3,38,2,130,38,3,62,23,530
223,1,2,1,9,3,3,7,172,3,3,1,38,0,89,32,1,56,13,434
225,0,2,0,3,1,4,17,149,1,4,3,43,2,98,38,2,65,10,442
229,0,2,1,6,4,4,15,170,2,5,2,49,0,72,37,1,57,15,442
230,2,3,0,4,6,10,14,146,0,6,3,30,3,135,37,1,90,11,501
232,0,3,1,8,5,6,8,150,2,5,1,41,2,142,24,1,48,5,452
233,1,1,1,3,2,2,11,137,1,3,0,43,3,140,42,4,79,10,483
235,0,1,2,1,2,6,12,172,1,4,1,35,1,95,30,1,49,12,425
238,1,2,1,5,6,6,12,155,4,2,3,31,4,113,41,3,63,16,468
241,0,3,0,11,3,4,13,165,2,3,2,36,2,108,31,3,68,12,466
242,2,2,0,6,4,4,15,145,0,5,2,40,0,121,31,4,78,22,481
248,2,0,0,5,0,7,10,143,3,6,2,37,1,108,24,0,68,15,431
249,0,2,0,4,3,5,13,169,2,9,1,24,1,113,36,1,71,3,457
250,3,4,0,1,1,7,14,150,2,0,2,33,0,106,30,1,68,17,439
253,0,2,0,2,5,6,16,169,0,5,2,41,1,87,31,4,49,7,427
254,0,5,2,7,1,3,17,183,2,2,1,49,1,94,22,0,54,7,450
261,0,0,1,18,3,1,14,82,1,2,2,34,0,74,28,0,53,3,316
265,1,2,1,7,2,3,9,80,1,0,1,25,3,92,46,0,67,8,348
269,0,3,0,22,4,4,21,112,0,4,5,63,1,101,51,3,61,10,465
272,0,0,0,29,3,8,22,95,1,1,3,50,2,75,43,1,65,11,409
277,0,5,1,29,3,14,27,109,0,3,1,54,2,91,50,2,73,25,489
280,1,1,0,22,2,3,15,87,1,1,2,35,3,104,28,1,58,2,366
285,1,0,0,13,0,3,21,103,2,6,3,44,1,138,32,2,73,11,453
289,2,2,0,18,2,6,19,120,1,4,3,57,0,110,29,0,48,12,433
294,1,3,0,8,1,0,8,124,1,5,3,38,2,98,29,1,79,14,415
296,2,5,0,12,3,10,17,195,4,5,4,72,2,136,34,1,75,17,594
301,1,2,1,18,1,6,19,171,3,3,1,50,2,144,35,4,105,11,577
307,2,0,0,3,4,3,12,156,1,8,1,56,0,123,37,0,53,17,476
309,0,1,1,7,5,1,11,189,1,5,2,41,0,91,33,2,47,6,443
314,0,1,0,4,2,8,17,197,1,3,2,40,0,91,42,2,53,16,479
318,4,0,0,9,2,2,15,104,0,12,0,27,3,104,30,0,63,9,384
319,1,1,0,13,5,3,22,165,1,6,1,56,5,101,24,0,57,10,471
320,1,0,4,4,3,10,18,141,1,1,1,35,1,70,46,2,58,10,406
325,1,4,1,10,3,4,15,102,1,3,5,39,1,110,30,3,71,10,413
328,0,0,0,6,3,2,15,114,2,7,6,29,0,134,27,0,80,13,438
333,2,2,1,7,2,4,14,93,0,4,1,23,1,87,41,3,53,6,344
335,1,1,0,13,3,6,23,115,2,7,2,38,2,87,25,2,57,8,392
336,1,9,1,7,5,3,18,144,1,4,2,52,1,74,37,6,73,5,443
339,1,1,0,9,3,4,20,111,2,1,1,44,1,108,29,2,59,14,410
341,3,2,1,7,1,4,14,87,2,2,2,32,1,69,23,2,51,8,311
342,0,6,2,8,0,4,7,101,2,4,5,35,2,91,29,1,61,9,367
343,1,5,1,15,5,3,14,110,0,3,0,28,1,100,28,1,36,8,359
344,1,0,0,15,2,1,14,109,2,4,2,47,1,112,39,1,48,11,409
358,0,1,0,9,0,6,13,99,2,1,3,10,4,79,30,0,49,11,317
360,2,0,0,1,1,0,6,78,0,5,1,18,5,92,23,3,62,2,299
361,0,4,1,1,4,0,14,177,1,2,2,52,2,86,27,0,50,8,431
362,0,0,0,13,1,3,10,122,0,5,2,39,0,112,20,0,61,5,393
367,0,3,0,1,5,5,25,145,0,4,0,36,2,68,36,1,61,14,406
370,0,1,2,4,5,9,15,217,1,5,1,31,1,73,43,2,66,19,495
372,0,0,1,5,4,7,26,94,0,3,4,47,1,92,65,3,72,22,446
373,1,2,1,8,4,5,26,97,2,3,1,36,2,92,28,0,57,25,390
374,0,6,1,8,4,6,16,103,3,5,1,46,0,149,40,0,78,15,481
376,0,2,0,8,6,3,9,91,0,4,2,36,2,106,23,1,58,20,371
377,1,1,0,14,2,6,15,126,2,5,1,34,1,119,30,1,64,9,431
379,1,2,1,4,3,5,13,157,1,5,2,43,1,92,28,1,54,13,426
383,0,3,0,5,2,1,18,112,1,6,2,35,2,93,28,2,44,11,365
386,1,8,1,10,2,5,14,143,1,2,3,45,1,114,35,1,57,16,459
388,0,1,1,19,2,8,14,131,1,1,1,34,4,100,32,0,51,15,415
391,0,3,0,11,1,5,15,138,2,5,2,40,0,105,41,0,50,17,435
394,0,2,3,9,7,7,20,175,1,3,1,44,0,73,47,2,76,21,491
408,2,2,1,6,3,6,17,138,2,3,2,33,3,103,45,1,54,15,436
409,0,4,2,3,3,11,19,203,2,7,4,57,0,123,33,0,57,15,543
410,0,3,0,6,3,5,28,158,1,3,1,42,1,86,43,4,59,12,455
412,0,3,2,1,5,7,47,136,2,3,0,38,2,92,60,3,74,24,499
413,0,3,2,11,1,3,17,115,2,8,1,31,1,133,37,1,52,23,441
417,1,6,1,7,4,9,20,139,0,2,0,53,1,93,53,0,75,25,489
418,1,5,1,7,3,9,18,135,3,1,1,60,0,107,51,1,54,13,470
422,0,3,1,9,8,8,37,125,0,1,0,38,0,74,57,2,60,18,441
423,0,6,0,5,3,5,37,109,0,1,3,31,3,100,58,3,73,25,462
425,1,0,0,12,6,3,23,160,1,6,0,52,4,106,35,0,57,15,481
426,2,3,0,11,2,0,8,65,2,9,1,26,1,126,27,0,36,3,322
427,1,1,0,6,0,1,8,99,2,6,3,16,1,86,30,0,63,8,331
430,0,2,1,13,2,1,23,194,0,0,0,49,0,88,35,0,63,15,486
