SEZIONE,collegio_camera,forza_italia,paese_nuovo,alleanza_nazionale,il_girasole,nuovo_psi,rifondazione_comunista,lega_nord,democrazia_europea,lista_pannella_bonino,partito_dei_comunisti_italiani,c_c_d_c_d_u,democratici_di_sinistra,abolizione_scorporo,la_margherita,lista_di_pietro,TOTALE
410,12,187,0,99,16,3,25,11,2,22,13,7,166,0,100,33,795.99
412,16,186,0,137,15,3,21,7,13,28,4,20,145,0,99,21,814.99
416,16,137,0,100,12,4,25,8,16,21,5,13,151,0,114,33,754.9899999999999
419,16,127,0,101,13,3,36,12,9,13,10,8,199,0,110,19,775.9899999999999
420,16,132,1,79,12,7,29,12,8,19,16,6,238,0,102,35,812.0100000000001
421,16,140,0,74,12,3,37,4,10,13,13,17,222,0,121,25,807.0
422,16,156,0,113,17,2,23,5,14,20,5,16,148,0,98,21,753.9799999999999
423,16,161,1,101,19,6,30,7,14,20,7,9,193,0,126,18,828.0000000000001
424,16,119,0,64,18,5,25,9,5,15,11,7,266,0,118,24,802.0
428,16,113,0,86,18,4,37,5,11,12,12,19,216,0,109,21,778.99
430,16,103,0,80,25,4,37,13,10,13,14,10,239,0,133,19,816.0000000000001
435,16,135,1,95,9,7,43,12,7,18,10,9,199,0,93,34,788.01
436,16,135,0,85,15,2,23,8,3,23,12,7,221,1,101,11,762.99
438,12,32,0,12,2,3,9,1,0,3,7,2,54,0,12,7,255.98
439,12,33,0,7,2,4,7,3,2,2,4,0,42,0,7,5,229.98
440,12,23,0,11,4,5,7,1,1,3,4,2,45,0,10,3,230.99
443,12,25,0,9,1,5,3,2,1,0,0,2,29,0,11,1,200.99
2,13,155,0,92,15,4,28,6,20,19,6,33,115,0,70,14,689.9900000000001
11,13,111,2,74,6,2,18,11,5,17,17,4,135,0,69,16,600.0099999999999
17,16,126,0,107,24,6,43,10,7,22,15,8,206,0,95,25,810.0
18,16,180,0,133,7,2,25,5,11,18,5,31,147,0,105,21,805.98
21,16,127,2,88,14,4,31,7,7,18,9,9,189,0,112,26,758.9999999999998
22,16,223,0,122,18,3,23,7,9,21,10,22,136,0,98,29,837.0000000000001
24,16,241,1,142,21,3,31,8,1,27,6,15,108,2,78,22,821.9799999999999
31,16,146,0,93,11,4,35,5,7,32,8,14,149,0,112,12,744.0
32,16,156,0,96,10,9,37,13,6,17,13,11,207,0,114,19,824.0
33,16,124,0,91,18,9,44,7,10,24,11,12,207,0,100,18,791.0099999999999
37,16,190,0,79,24,6,31,10,9,22,9,17,137,0,94,24,767.9899999999999
38,16,138,0,83,13,4,23,9,6,14,4,8,235,0,86,22,761.0099999999999
42,16,130,0,71,14,7,38,18,4,18,12,16,182,0,108,22,756.0100000000001
45,13,173,0,106,20,3,35,11,7,20,4,10,130,1,55,21,709.01
50,13,184,0,127,11,1,13,3,6,23,11,21,113,0,73,13,712.01
61,13,143,1,102,12,1,33,7,16,21,6,17,130,0,79,23,704.01
63,14,136,0,105,15,3,30,18,6,17,11,14,152,0,87,25,733.0
64,14,158,2,102,15,3,38,8,9,22,9,27,146,0,97,29,778.99
68,14,114,0,67,10,8,52,8,4,16,7,9,177,0,108,35,729.0
69,14,139,1,68,13,5,31,5,15,18,5,20,185,0,83,24,725.9999999999999
70,14,98,0,55,9,5,41,6,10,10,7,6,235,0,97,33,725.99
72,14,113,1,69,17,5,41,11,3,23,9,9,239,1,103,24,782.01
73,14,104,0,52,16,12,43,8,6,6,18,7,274,0,100,20,779.9999999999999
74,14,112,0,64,10,3,27,8,11,16,19,4,274,3,82,20,766.99
75,14,161,1,106,13,4,36,5,10,18,11,6,163,0,108,39,795.0200000000001
77,14,153,0,81,11,9,59,6,8,16,10,9,166,0,92,23,757.01
85,13,118,0,78,18,5,29,11,6,31,12,12,130,1,99,19,682.0100000000001
86,13,145,1,125,12,4,20,5,10,33,5,22,98,0,76,14,683.0100000000001
90,13,153,1,90,11,7,35,20,4,30,15,4,111,0,69,16,679.0
93,13,107,0,87,25,1,38,8,7,33,13,14,139,1,79,24,689.0099999999999
94,13,87,0,62,13,1,47,6,8,21,8,6,156,1,75,16,619.9999999999999
95,13,104,0,96,14,1,37,9,6,33,13,8,124,0,92,28,678.01
97,13,118,0,75,5,5,55,8,8,18,16,11,130,0,60,26,648.0000000000001
