SEZIONE,italia_dei_valori,partito_democratico,la_destra_fiamma_tricolore,u_d_c_e_democratici_di_centro,partito_comunista_lavoratori,sinistra_critica,associazione_difesa_vita,lega_nord,il_popolo_della_liberta,partito_liberale_italiano,unione_democratica_consumatori,forza_nuova,partito_socialista,la_sinistra_l_arcobaleno,per_il_bene_comune,TOTALE
103,24,258,12,32,2,1,6,25,179,2,0,2,4,18,4,668.9800000000002
105,33,252,17,26,4,7,3,26,188,0,2,3,6,24,2,693.0
108,38,305,11,16,3,6,3,8,82,1,3,2,6,19,1,604.0200000000002
110,46,332,14,29,3,2,1,22,138,1,2,2,3,20,8,722.98
115,29,262,9,10,3,3,3,29,132,2,2,3,7,34,5,633.0099999999999
116,33,324,9,21,3,0,7,23,105,1,0,2,2,25,1,656.0099999999999
120,36,236,16,21,1,0,2,24,174,2,2,0,4,16,2,636.0100000000001
121,34,220,10,25,1,6,4,18,163,1,4,3,5,24,2,620.0000000000001
122,37,275,4,27,2,3,0,21,165,0,2,0,10,25,3,674.01
125,40,278,9,19,3,1,1,15,135,1,1,4,3,36,4,650.0199999999998
126,34,256,14,22,3,3,3,35,160,0,2,0,6,22,1,660.9899999999999
133,49,339,20,25,1,2,6,37,190,1,2,0,4,14,6,795.99
135,33,338,14,17,5,6,0,31,147,2,0,3,4,22,3,725.0
136,23,265,17,35,0,1,2,15,168,1,4,3,3,18,2,656.9999999999999
137,26,200,19,14,3,2,1,26,149,1,1,1,1,20,7,570.9800000000001
140,34,254,15,16,5,3,7,24,143,3,3,2,4,20,1,634.0099999999999
141,21,209,11,8,4,4,5,15,145,3,2,0,3,23,3,556.01
143,25,201,18,29,0,5,13,23,188,2,1,0,1,15,3,623.9900000000001
144,31,226,14,15,6,1,16,24,202,1,2,2,5,15,2,662.02
147,43,269,20,16,1,4,6,23,174,2,3,2,6,26,1,696.0000000000001
148,27,222,9,13,3,6,5,23,130,4,1,0,4,31,1,579.0100000000002
150,28,187,15,23,3,3,6,27,130,0,2,1,2,16,1,544.0200000000002
157,32,206,14,30,2,0,12,41,237,0,0,0,2,8,6,689.9999999999999
158,28,201,14,33,1,1,3,45,264,1,0,1,4,10,7,712.98
159,19,197,9,20,2,2,14,40,303,1,0,4,1,12,2,726.0099999999999
161,36,183,9,45,0,2,5,38,202,2,2,2,7,13,5,650.99
162,26,217,11,29,3,1,5,29,214,2,1,0,5,9,1,652.9799999999999
165,23,236,16,41,2,3,11,23,210,2,1,2,8,9,0,686.99
167,29,211,17,23,3,1,6,35,203,4,0,0,3,11,3,649.01
168,20,209,15,40,1,0,10,27,214,2,1,1,3,5,1,648.9899999999999
169,35,237,11,13,0,3,2,27,144,1,2,1,7,25,1,609.0000000000001
171,28,227,18,20,1,1,7,27,191,1,1,2,3,14,3,643.9899999999999
173,26,269,13,34,3,1,7,38,215,1,2,1,5,17,2,734.0
174,36,245,13,28,4,1,0,34,194,0,0,3,4,18,3,682.9900000000001
175,30,237,11,25,3,1,3,16,180,1,3,1,5,18,1,635.0000000000001
186,36,260,17,21,3,2,3,23,143,0,1,2,4,23,2,640.02
194,12,200,17,70,1,1,11,32,267,2,0,1,7,9,0,730.01
197,25,208,16,22,1,1,9,39,242,1,1,1,0,8,4,677.9999999999999
198,33,356,16,19,6,2,4,26,173,2,2,1,4,18,6,767.9999999999999
200,56,417,28,29,4,5,5,22,157,1,1,12,3,34,3,877.0
203,30,387,24,16,5,2,3,24,137,0,1,6,6,22,0,762.9699999999999
205,36,324,11,22,1,1,5,36,157,0,3,3,4,19,3,725.0
207,47,355,11,18,5,5,2,28,151,1,4,2,9,32,2,772.01
212,43,408,24,24,3,3,6,38,191,4,0,1,9,13,3,870.0199999999999
213,26,388,5,23,6,4,3,23,125,0,1,1,4,17,3,729.01
216,33,286,16,17,9,1,2,22,157,1,4,0,8,16,1,672.9899999999999
220,28,330,9,23,3,4,2,22,139,2,0,1,4,16,0,682.9800000000001
221,28,332,9,14,3,2,1,21,117,1,4,3,6,14,2,657.02
222,39,374,17,35,0,4,5,23,162,0,0,1,7,18,5,789.9700000000001
226,21,309,12,8,8,4,4,13,101,1,2,2,8,20,5,617.99
229,19,304,14,22,2,1,5,28,159,0,1,0,10,13,8,686.0
231,24,288,9,10,3,6,4,25,134,0,1,4,4,11,4,627.01
241,22,381,12,25,5,0,3,18,103,0,3,1,7,15,4,699.0
242,32,377,19,16,5,0,6,13,136,2,2,4,3,17,4,735.9899999999998
246,36,335,13,18,4,2,0,12,151,4,2,4,5,12,5,703.0000000000001
247,41,286,14,23,4,3,4,25,141,2,2,2,3,14,1,665.0
253,42,349,8,19,2,1,7,17,115,0,0,1,4,14,1,679.9899999999999
254,37,375,8,17,3,4,2,20,99,0,3,1,0,18,3,690.0099999999998
258,32,319,22,31,6,3,7,31,154,2,0,2,5,18,3,734.97
263,34,282,16,23,4,6,6,17,113,2,3,0,7,20,0,633.0099999999999
264,40,228,12,20,1,3,2,14,112,0,1,1,5,23,4,565.9800000000001
268,40,304,29,24,3,5,5,22,153,0,1,1,5,21,4,716.9999999999998
272,37,250,5,19,0,6,0,23,171,0,1,2,4,28,3,649.0
278,42,273,11,24,8,7,3,20,101,1,1,0,8,24,6,629.0
279,28,341,10,18,8,2,2,20,78,0,3,0,3,22,4,638.9999999999999
286,30,284,13,21,5,4,0,22,112,1,0,2,6,21,3,624.0
289,40,314,12,15,5,2,2,25,100,1,3,1,7,35,8,670.0199999999999
290,30,342,15,21,2,3,2,18,135,1,0,1,6,24,2,702.01
291,18,284,12,10,4,1,1,17,106,0,0,1,2,17,3,575.9899999999999
293,39,352,12,21,3,2,1,27,122,1,1,2,7,17,1,707.97
295,28,320,6,6,8,3,0,13,90,0,2,1,0,23,6,606.0199999999999
296,48,460,25,39,6,1,0,37,157,1,1,3,2,28,5,913.0
298,52,413,9,25,8,5,1,17,131,0,2,0,3,15,2,783.0
299,45,400,11,19,4,4,1,29,154,0,6,1,1,20,5,799.9800000000001
302,50,335,11,19,3,3,0,27,119,0,4,2,1,12,0,685.9999999999998
304,25,239,16,26,7,0,3,17,127,0,1,4,4,22,1,591.9799999999999
306,39,412,10,19,0,3,1,19,91,0,0,2,4,30,3,733.0000000000001
309,15,403,10,21,3,1,7,5,95,0,1,1,3,13,5,683.0
310,23,293,18,23,11,0,0,14,139,1,2,3,6,14,1,647.9799999999998
317,37,360,14,19,1,0,2,20,110,0,0,1,3,9,4,680.0
320,37,296,7,30,1,4,8,24,114,0,1,0,6,18,4,649.99
322,32,318,18,24,4,3,1,27,130,1,4,3,3,26,1,694.9999999999999
323,26,298,9,13,2,3,1,17,111,2,1,3,3,23,9,621.01
325,43,337,9,12,6,5,4,17,128,3,0,5,1,13,3,685.9900000000001
327,29,290,11,21,1,3,2,10,134,1,1,1,4,23,3,634.0000000000001
332,33,293,21,19,3,0,3,22,148,1,5,1,5,24,4,681.9999999999999
339,41,268,13,24,6,0,3,26,147,0,1,0,8,18,4,658.9999999999999
353,30,337,5,29,2,0,4,23,112,0,2,5,7,27,4,686.9900000000001
355,44,256,12,30,1,7,4,22,150,0,1,1,6,9,4,646.9799999999999
359,18,260,17,20,4,0,0,18,129,1,2,8,8,24,4,612.9999999999998
362,36,344,14,23,8,2,6,25,75,1,0,1,4,20,7,665.9999999999999
363,24,243,8,20,10,5,3,15,137,2,4,4,2,13,2,592.0199999999998
364,24,355,7,7,9,3,0,13,95,0,3,4,8,17,3,648.01
365,33,322,10,22,4,2,6,26,82,2,4,2,9,32,1,657.0200000000001
367,36,274,11,33,2,0,6,40,166,0,1,2,4,16,0,691.01
369,32,367,12,32,0,1,4,30,146,0,1,1,9,13,2,749.99
370,39,365,13,34,4,0,2,30,143,0,1,1,11,19,1,762.9899999999999
373,37,274,13,25,0,4,1,17,146,2,0,1,5,22,4,651.0200000000001
374,30,308,21,25,3,0,5,32,158,1,1,0,5,22,3,713.9799999999999
376,26,279,20,19,4,3,1,14,175,0,2,0,6,19,3,671.0099999999999
380,27,290,10,12,0,3,1,16,119,1,3,2,5,15,3,607.0100000000001
382,25,304,16,30,0,3,1,21,125,0,1,2,9,17,3,657.0099999999999
383,31,307,6,21,5,2,2,19,147,1,1,2,2,15,0,661.0099999999999
384,39,373,16,19,3,3,2,29,206,1,1,4,8,11,1,815.9999999999997
385,39,289,10,28,0,2,2,22,152,3,2,2,4,20,4,679.0200000000002
386,41,352,22,23,4,1,4,18,123,0,0,1,1,18,1,709.0
389,31,267,15,34,0,1,2,24,169,4,4,1,1,8,2,663.01
391,37,305,5,13,7,1,1,13,142,2,1,1,4,31,1,664.0099999999999
