SEZIONE,ALLEANZA NAZIONALE,ALTERNATIVA SOCIALE,D.C. E NUOVO P.S.I.,DEMOCRATICI DI SINISTRA,FORZA ITALIA,INSIEME CON L'UNIONE,ITALIA DEI VALORI,LA MARGHERITA,LA ROSA NEL PUGNO,LEGA NORD,M.S.FIAMMA TRICOLORE,P.R.I.,P.S.D.I.,PARTITO PENSIONATI,REPUBBLICANI EUROPEI,RIFONDAZIONE COMUNISTA,UDEUR,UNIONE DI CENTRO,TOTALE
243,53,4,3,262,67,35,18,37,14,13,3,1,1,9,1,61,0,18,600
244,72,3,1,307,80,53,22,42,14,13,1,0,0,3,1,34,3,23,672
245,66,2,3,308,82,37,26,43,14,12,2,0,2,10,1,56,0,20,684
246,60,5,1,282,81,34,19,32,9,11,2,0,3,7,1,44,1,25,617
247,72,4,2,241,78,40,16,40,18,11,1,0,4,3,0,35,1,34,600
248,43,4,2,308,66,48,18,37,10,11,2,0,0,3,2,46,0,19,619
249,48,2,2,292,75,50,13,44,18,16,2,1,3,3,2,53,0,13,637
250,51,4,3,327,66,46,17,28,9,18,1,0,1,3,0,35,3,19,631
251,40,2,1,343,80,40,23,45,17,6,1,0,0,2,0,45,2,27,674
252,44,1,3,313,70,37,13,63,8,1,1,1,1,6,0,29,3,28,622
253,40,3,2,305,72,29,17,45,10,7,0,1,0,2,0,26,2,32,593
254,45,2,3,285,61,40,21,75,7,10,2,0,1,5,0,32,1,24,614
255,65,5,3,279,78,35,16,34,15,15,1,1,2,7,2,47,4,16,625
256,80,9,1,201,91,39,11,36,25,16,3,0,0,7,1,46,0,14,580
257,53,8,3,224,74,28,14,35,8,9,2,0,2,3,0,27,1,36,527
258,70,4,0,234,93,39,17,45,16,12,3,1,0,4,1,41,0,39,619
259,64,1,1,253,79,40,8,56,16,17,4,0,0,1,0,16,5,19,580
260,41,7,2,247,79,28,17,40,15,17,1,1,2,5,1,44,1,26,574
261,62,3,2,169,88,44,18,33,14,6,2,0,0,9,0,46,1,23,520
262,69,4,7,189,110,41,18,41,22,7,0,2,2,5,1,50,2,40,610
263,64,4,4,184,64,32,23,62,15,9,1,1,0,5,0,43,1,55,567
264,55,1,2,187,80,41,14,36,11,9,0,0,1,5,2,29,3,19,495
265,41,6,1,163,72,23,11,29,11,9,2,0,1,6,0,34,0,19,428
266,58,7,5,200,88,36,14,41,14,13,1,1,0,6,3,45,2,25,559
267,67,6,2,167,93,27,8,35,14,14,1,2,1,3,3,27,0,32,502
268,82,3,5,212,90,48,23,51,26,16,3,1,0,2,2,42,1,24,631
269,56,4,4,224,93,43,17,43,16,15,0,0,1,8,0,45,1,25,595
270,83,5,0,243,81,65,26,40,27,16,1,0,1,6,2,55,2,35,688
271,63,6,2,201,68,55,16,33,26,8,4,2,1,10,2,43,5,25,570
272,79,3,2,177,97,37,19,35,17,5,2,1,1,1,1,50,4,33,564
273,83,1,5,214,99,48,27,50,25,20,1,1,1,6,0,55,0,33,669
274,53,2,3,243,75,46,22,30,15,6,0,0,0,4,0,52,3,35,589
275,67,2,2,231,88,37,12,33,25,11,1,2,4,8,1,50,8,36,618
276,60,4,2,222,77,46,15,41,16,8,1,2,1,7,0,55,2,37,596
277,67,6,3,175,155,35,14,50,23,14,3,1,1,4,4,44,4,46,649
278,53,1,0,217,48,51,14,37,13,11,3,0,0,5,1,44,0,27,525
279,40,0,2,297,41,29,10,40,13,16,0,0,0,1,3,52,1,16,561
280,45,2,3,194,57,53,18,37,20,12,0,0,0,6,0,64,4,22,537
281,57,3,2,184,86,45,14,31,15,8,3,0,2,5,0,56,0,33,544
282,60,3,2,190,75,44,22,35,25,8,3,0,1,1,2,47,0,16,534
283,39,2,1,235,71,36,15,43,18,18,2,0,0,2,1,47,1,24,555
284,58,1,0,217,67,59,14,33,22,15,3,1,0,3,2,45,2,24,566
285,67,0,1,237,89,63,13,38,17,4,0,0,1,6,1,43,2,19,601
286,57,4,1,222,76,51,8,40,12,11,1,3,0,11,1,45,1,28,572
287,44,7,0,258,77,37,12,42,12,12,3,0,0,4,1,33,2,21,565
288,56,1,4,215,83,44,11,50,10,7,1,0,2,6,2,57,2,25,576
289,49,0,2,230,64,51,34,49,12,9,1,2,0,5,3,48,0,26,585
290,51,1,2,280,82,48,20,42,22,22,1,0,0,5,0,36,0,35,647
291,49,2,2,208,57,31,17,32,9,7,1,1,1,2,0,53,1,20,493
292,40,6,4,229,57,50,27,31,13,8,1,3,1,5,1,51,1,15,543
293,52,3,3,288,70,43,13,38,16,14,3,0,2,2,1,41,1,32,622
294,74,4,3,269,77,40,9,35,11,11,0,3,0,2,0,40,4,10,592
295,39,6,1,260,53,47,14,26,17,7,1,1,2,6,2,52,0,17,551
296,86,6,2,344,75,44,35,58,15,12,2,0,0,6,1,45,2,38,771
297,58,3,4,348,60,36,17,36,22,13,5,2,0,7,1,53,0,24,689
298,49,1,4,293,69,38,12,40,10,6,0,1,1,6,0,52,1,25,608
299,83,4,3,261,88,54,23,44,21,9,0,0,1,5,6,33,5,34,674
300,62,3,3,266,59,29,17,29,13,7,2,1,1,5,1,26,2,12,538
301,55,4,6,303,81,61,25,33,13,17,4,1,2,7,0,58,3,36,709
302,56,8,2,253,87,38,30,32,21,9,1,0,2,3,1,52,3,13,611
303,68,1,2,289,88,37,18,32,17,9,0,1,1,2,1,35,0,32,633
304,66,9,1,167,81,46,9,31,30,10,2,3,1,6,1,44,1,23,531
305,48,3,3,185,45,44,20,47,15,13,2,1,2,7,0,73,2,18,528
306,38,0,5,302,59,58,21,44,13,9,1,1,2,3,2,45,0,26,629
307,46,4,2,295,71,41,13,43,15,12,1,0,0,2,3,36,1,22,607
308,42,5,5,346,75,33,23,25,13,13,3,0,1,1,0,36,0,26,647
309,43,2,4,349,54,42,5,32,12,6,1,0,2,5,0,27,3,26,613
310,54,4,3,241,79,44,9,46,22,8,4,0,0,4,0,33,4,32,587
311,40,4,2,343,71,37,19,33,9,6,0,0,0,4,1,21,0,25,615
312,40,4,1,322,52,39,19,43,13,4,2,0,1,5,0,41,2,16,604
313,57,2,6,299,77,37,13,44,16,9,3,2,2,5,0,22,3,34,631
314,56,3,5,269,95,45,22,61,12,13,2,2,1,8,0,25,6,50,675
315,68,2,0,307,76,65,16,55,23,4,1,0,3,3,3,65,1,32,724
316,65,7,6,244,83,47,7,36,10,6,1,0,1,6,2,53,1,22,597
