SEZIONE,collegio_senato,rifondazione_comunista,democrazia_europea,lista_pannella_bonino,casa_delle_liberta,l_ulivo_per_rutelli,lista_di_pietro,TOTALE
87,6,19,7,19,254,289,6,699.9986531989999
90,6,26,5,27,240,221,11,635.995660377
97,6,23,10,12,192,255,16,614.007559055
100,6,16,6,17,215,239,13,612.0020553360001
101,6,18,10,16,249,225,23,647.0071719040001
106,6,39,9,7,180,357,17,715.0039408869999
108,6,27,9,14,147,414,13,729.996923077
113,6,32,11,23,238,307,16,732.993668262
117,6,17,7,19,240,362,17,767.9979758310001
119,6,25,2,10,214,354,18,729.002841091
121,6,19,11,10,256,315,17,733.9954777070001
128,6,24,3,10,180,399,17,739.001469194
149,6,23,9,15,200,254,9,615.989803922
150,6,16,7,10,232,247,20,638.007518797
161,6,15,28,15,311,212,16,702.9925628139999
164,6,13,5,19,366,196,22,727.0033977459999
165,6,15,13,25,308,281,20,768.005861027
168,6,14,16,13,323,221,13,706.003333333
171,6,20,11,17,277,265,9,704.998898164
172,6,22,12,13,348,248,15,764.003465046
176,6,23,14,13,272,244,16,688.001890034
180,6,18,5,12,266,288,16,710.9952066120001
181,6,14,5,20,255,311,18,728.9971910109999
182,6,19,8,7,192,292,12,635.99490566
188,6,13,2,9,222,280,15,647.002957486
192,6,21,7,21,303,275,9,742.0018867919999
193,6,9,2,29,399,187,11,743.002872841
198,7,40,11,30,280,470,27,965.002004662
199,7,43,7,18,176,361,40,752.0066666670001
201,7,42,7,20,184,413,23,796.0057910010001
202,7,31,6,25,227,361,29,785.9955375549999
203,7,29,5,18,177,447,16,799.000751445
206,7,33,10,17,219,399,15,799.9919047620001
214,7,24,10,17,226,369,27,780.006121842
218,7,25,5,13,157,438,24,769.006435045
220,7,21,7,12,203,400,16,765.996646434
221,7,24,5,12,165,398,19,729.992327448
222,7,44,10,14,201,414,31,820.9924649860001
224,7,25,5,17,194,363,20,730.996410256
228,7,36,7,16,135,399,26,725.9958319870001
244,7,41,8,13,168,446,26,808.99045584
245,7,46,4,14,171,415,28,784.994660767
246,7,24,10,13,200,391,38,783.0002958580001
251,7,30,12,12,145,480,16,801.996546763
253,7,30,14,12,133,423,24,742.996981132
255,7,31,3,16,163,406,21,747.0037500000001
259,7,16,9,10,179,350,17,688.003872633
262,6,32,9,17,233,345,11,752.9959041730001
263,6,35,15,11,190,354,14,724.9942810990001
268,6,30,8,23,221,362,11,761.0001526719999
271,6,23,9,17,186,374,17,732.004121406
272,6,36,4,9,221,290,18,683.998373702
274,6,48,5,10,169,384,17,739.002938389
275,6,28,14,15,187,399,19,767.9996072509999
277,6,27,9,13,276,332,20,782.998183161
278,6,36,4,15,169,388,23,740.989291339
279,6,32,4,14,120,438,14,727.9946945339999
280,6,32,10,13,153,352,16,682.005555556
283,6,27,9,10,148,416,13,729.003868379
285,6,33,7,16,163,382,21,728.0054662379999
288,6,35,2,10,190,356,12,710.985123967
289,6,29,3,11,169,424,21,763.004003044
294,6,34,2,8,189,415,17,771.0027819549999
295,6,38,3,9,127,440,17,739.9936908519999
296,6,26,7,12,192,478,18,838.997066849
300,6,33,4,8,144,400,5,699.9955555560001
304,6,32,11,13,209,280,13,664.004767025
305,6,63,6,11,146,375,15,722.0072727300001
318,7,36,3,8,171,369,23,716.991639344
320,7,26,7,15,192,352,22,720.9945276870001
322,7,39,7,18,141,353,26,690.9980821920001
323,7,22,14,10,155,403,23,733.98877193
324,7,20,10,21,170,365,13,705.9988981639999
330,7,42,11,23,189,389,19,779.9907132239999
333,6,43,6,10,125,359,9,657.999855072
342,6,43,5,17,168,374,23,736.0053968249999
345,6,32,11,11,155,379,20,714.0031578950001
348,6,27,14,17,151,410,13,738.002151899
353,6,36,17,10,132,411,22,734.0024840760001
354,6,20,12,10,202,394,12,756.016923077
360,6,51,11,12,154,374,16,724.002427184
363,6,36,17,12,177,299,17,664.001612903
368,6,10,9,16,248,343,12,743.997398119
370,6,21,9,14,188,410,15,762.986347032
372,6,14,10,22,261,295,18,725.9980645160001
373,6,26,3,19,194,352,13,712.993360791
376,6,28,6,12,236,335,16,739.0033807269999
377,6,29,3,10,169,414,11,741.9897484280001
378,6,27,7,11,192,389,15,747.002168487
379,6,15,7,19,172,424,15,757.9906134969999
380,6,28,3,7,193,406,8,751.0110852710001
388,6,30,11,13,205,371,18,754.00962963
389,6,26,10,12,221,345,18,738.003924051
391,6,26,4,10,182,376,18,722.0007792209999
396,6,20,5,16,207,385,23,761.998780488
398,6,26,10,15,211,360,20,748.009844237
399,6,28,3,3,183,421,14,758.004478528
403,6,30,9,8,149,397,12,710.998677686
404,6,14,13,16,238,354,20,760.99740458
405,6,21,9,12,213,435,16,811.994504249
408,6,21,5,9,223,332,19,715.008275862
416,6,9,10,14,240,313,20,711.995148515
417,6,15,7,8,297,332,18,782.9956573119999
420,6,19,5,15,210,392,18,765.003156297
421,6,22,13,14,210,382,17,763.9934650460001
426,6,49,14,10,115,417,15,726.0032258059999
427,6,38,7,8,135,419,8,720.998861789
428,6,21,10,10,201,368,22,737.9927848100001
429,6,12,9,13,241,357,11,748.996251944
430,6,21,8,13,184,396,14,741.9918867920001
435,6,32,5,17,228,321,29,738.003291139
439,6,8,1,1,45,61,3,225.002689076
441,6,5,1,0,26,57,3,198.004782609
446,6,2,1,0,26,30,1,166.00333333299997
447,6,3,0,0,10,10,1,130.01
