SEZIONE,collegio_camera,l_ulivo_per_rutelli,lista_di_pietro,casa_delle_liberta,lista_pannella_bonino,democrazia_europea,TOTALE
406,12,442,11,225,26.0,5.0,821.0013258099999
413,16,363,27,230,18.0,9.0,762.9951004599999
417,16,375,14,311,19.0,8.0,843.00184319
418,16,452,27,237,15.0,13.0,860.00268817
419,16,384,10,245,12.0,10.0,777.00379728
424,16,457,17,190,15.0,9.0,804.0044185999999
426,16,465,13,121,11.0,19.0,745.00686804
428,16,404,28,211,13.0,11.0,782.9997151399999
434,16,352,10,212,13.0,10.0,713.0114740399999
437,16,13,2,22,0.0,23.0,175.99666666999997
445,12,48,5,38,0.0,4.0,206.99631579
446,13,32,1,24,1.0,2.0,173.00333333
447,16,12,2,10,0.0,0.0,140.0
1,13,153,9,208,7.0,7.0,496.99375
6,13,269,12,266,12.0,12.0,683.9903327500001
12,13,349,10,163,10.0,10.0,655.01114391
13,13,222,7,135,11.0,11.0,498.99295337
14,13,324,24,235,9.0,9.0,714.00014975
16,13,312,16,278,21.0,21.0,760.99814815
17,16,395,19,240,10.0,10.0,789.9953412500001
18,16,304,16,335,14.0,14.0,798.9995168399998
22,16,316,18,354,12.0,12.0,828.0120224700001
25,16,295,15,332,9.0,9.0,775.9869697
26,16,328,22,304,10.0,10.0,789.98468843
27,16,355,17,228,11.0,11.0,738.0039549799999
35,16,363,18,303,20.0,20.0,839.99812155
37,16,321,15,278,13.0,13.0,755.9962499999999
39,16,396,17,228,9.0,9.0,775.01104704
44,16,184,11,295,8.0,8.0,621.9936363600001
47,13,274,16,291,15.0,15.0,723.9945171800001
49,13,267,17,270,14.0,14.0,695.0062886599999
50,13,236,12,322,12.0,12.0,707.00063973
55,13,216,18,268,6.0,6.0,627.0033463
56,13,248,30,308,14.0,14.0,727.0008794799999
57,13,214,17,368,3.0,3.0,718.0119008300001
60,13,242,15,264,15.0,15.0,663.99014519
64,14,338,22,300,,,773.9921212099999
66,14,403,35,229,,,780.9997900999999
68,14,383,33,194,,,723.99688525
74,14,448,20,184,,,766.0016564399999
75,14,367,38,281,,,799.99854227
78,14,348,28,283,,,772.9972837600001
84,13,203,12,290,17.0,15.0,649.99260708
85,13,307,13,217,19.0,9.0,677.9962831900001
88,13,344,8,179,28.0,9.0,680.99338028
91,13,367,14,188,24.0,8.0,713.99489185
98,13,236,14,313,18.0,12.0,705.9976391199999
101,13,244,22,262,15.0,18.0,673.99376114
103,12,328,17,325,21.0,5.0,808.0064367800001
111,12,411,18,164,20.0,15.0,739.99585987
114,12,319,16,330,26.0,6.0,809.00757532
119,12,395,18,227,16.0,3.0,771.0093019699999
121,12,332,19,261,15.0,12.0,751.00618153
124,12,449,16,171,11.0,7.0,766.00443425
127,12,460,15,240,13.0,7.0,846.9950340099999
128,12,426,22,199,15.0,3.0,777.00015038
129,12,396,18,212,16.0,7.0,761.0069491500001
131,12,424,21,248,12.0,9.0,825.9937535
137,12,324,9,227,24.0,2.0,698.01010239
138,12,205,13,323,24.0,8.0,685.00661431
140,12,293,11,194,20.0,6.0,636.0060305300001
142,12,192,9,292,16.0,4.0,624.99690058
143,12,254,10,296,25.0,11.0,707.9974496600001
146,12,289,10,270,16.0,5.0,701.99305085
149,12,285,14,218,18.0,5.0,651.99777778
150,12,278,15,246,16.0,8.0,674.9883303700001
151,12,265,11,271,22.0,12.0,693.00101549
160,12,305,7,302,9.0,7.0,742.00269841
162,12,266,13,341,11.0,10.0,753.0076599099999
164,12,226,15,408,17.0,3.0,781.0017638300001
170,12,344,15,257,20.0,7.0,754.9992224
174,12,310,23,302,8.0,14.0,769.0041704700001
177,12,353,15,242,18.0,4.0,743.99443038
184,12,341,17,246,20.0,5.0,740.9930365699998
187,12,372,20,231,12.0,3.0,749.99721003
