SEZIONE,partito_comunista_lavoratori,u_d_c_e_democratici_centro,partito_liberale_italiano,forza_nuova,la_sinistra_l_arcobaleno,il_popolo_della_liberta,lega_nord,la_destra_fiamma_tricolore,unione_democratica_consumatori,italia_dei_valori,partito_democratico,sinistra_critica,per_il_bene_comune,partito_socialista,TOTALE
303,2,12,0,1,22,125,20,8,1,37,318,2,2,7,657.0
305,11,19,4,1,39,98,15,13,0,19,291,2,2,5,618.9900000000001
307,2,23,1,1,13,106,22,10,2,25,351,0,3,3,662.0
324,3,14,2,0,20,109,21,23,0,20,312,0,2,5,631.0100000000001
328,2,7,1,2,22,145,27,12,5,41,309,1,4,2,679.99
331,3,16,1,1,36,142,15,11,1,39,215,1,3,7,590.98
333,5,13,0,3,19,92,10,6,1,19,254,2,5,2,531.0
335,5,25,4,2,29,116,24,5,1,30,250,3,2,3,598.99
338,8,28,1,1,46,211,24,17,0,54,345,4,9,4,851.99
339,2,25,0,0,30,139,30,12,3,37,253,0,2,6,639.01
340,3,21,0,1,42,105,16,8,0,23,250,5,2,5,581.0099999999999
342,3,17,2,1,28,105,26,8,0,21,253,3,6,5,578.0199999999999
345,9,19,0,1,32,127,20,8,1,29,272,2,3,1,624.01
349,4,4,2,2,30,99,7,12,2,18,270,2,5,3,559.98
350,2,9,1,0,40,86,20,4,1,34,286,1,1,2,587.0200000000001
352,2,12,1,3,40,140,15,8,2,25,297,0,2,4,650.99
353,0,33,0,2,27,111,21,6,1,32,328,1,4,7,672.98
354,1,27,2,1,31,136,8,11,1,23,305,0,0,4,649.99
355,3,30,2,1,16,157,16,8,2,40,242,4,4,5,630.0
356,6,18,1,0,23,119,18,9,0,18,287,0,2,4,604.98
357,2,16,1,0,18,167,17,11,3,36,290,1,6,4,671.99
359,5,24,2,5,27,125,15,16,2,13,246,2,2,4,587.98
360,7,16,2,2,25,112,13,11,3,27,257,3,5,7,590.0
361,3,16,0,2,17,93,12,9,1,34,366,2,5,4,664.0
362,7,21,1,1,33,71,23,8,1,30,300,4,7,1,608.0299999999999
363,10,21,2,1,16,137,15,8,5,24,237,2,0,1,579.0
367,2,36,3,2,27,161,35,7,1,33,254,1,0,4,666.01
374,2,25,1,0,35,160,31,17,3,21,291,1,2,5,694.0200000000001
376,5,19,0,1,24,169,14,14,1,22,261,3,5,6,643.98
380,1,16,1,1,26,115,16,10,3,27,263,3,2,3,587.02
381,2,20,4,0,12,154,10,7,1,21,258,1,3,1,593.9900000000001
385,0,27,1,1,26,148,27,3,3,36,267,1,4,5,649.01
386,2,16,0,1,26,121,13,14,1,35,333,1,2,3,668.01
389,1,29,2,0,15,169,19,9,2,27,249,2,1,1,625.9900000000001
391,5,13,1,2,37,140,10,5,1,31,282,3,2,4,636.0
393,8,11,1,1,15,127,14,6,1,34,314,3,5,3,642.9799999999999
394,3,20,1,1,25,153,26,7,0,18,297,0,1,4,656.02
395,5,13,2,1,27,133,19,9,2,39,275,2,4,2,633.0200000000001
397,1,21,3,0,21,110,19,10,0,31,340,1,3,0,660.0099999999999
398,1,23,6,0,35,146,20,6,2,20,270,0,2,1,632.0100000000001
404,1,41,0,1,30,181,30,15,1,25,297,0,3,3,728.01
412,1,19,2,1,17,211,40,7,1,22,223,0,0,2,645.99
414,1,29,1,1,27,142,25,10,1,20,244,1,3,4,609.0200000000001
416,1,30,1,0,31,160,18,12,0,37,240,0,3,3,636.0099999999999
423,0,53,2,1,22,198,35,12,3,24,238,4,3,1,695.9899999999999
427,4,6,2,0,33,120,11,12,2,18,293,5,1,6,612.99
439,3,4,2,2,2,21,4,2,0,2,50,0,0,0,191.99
