tile_id,i,j,x,y,people,hc1,hc2,pvhe
1578,31,17,31,17,77,1.6268361,0.08491638,-0.0068024895968754944
1579,32,17,32,17,57,1.2152425,0.055802956,-0.008870657129766146
1580,33,17,33,17,87,1.8846773,0.08808646,-0.01080890619079272
1581,34,17,34,17,83,1.8266749,0.08487503,-0.011367654741729284
1582,35,17,35,17,79,1.763058,0.07927712,-0.013082989488427949
1583,36,17,36,17,7,0.15791716,0.0062841163,-0.008985389291699036
1585,38,17,38,17,5,0.116353646,0.0047521456,0.013055893011668781
1586,39,17,39,17,45,1.0699086,0.051528607,0.011180159746117583
1587,40,17,40,17,68,1.6389983,0.08152725,0.0161416578415667
1588,41,17,41,17,54,1.3119888,0.061960395,0.0161416578415667
1589,42,17,42,17,60,1.4712902,0.06851648,0.007408456552848837
1590,43,17,43,17,13,0.32197574,0.014385032,-0.017413015519097273
1591,44,17,44,17,33,0.8300374,0.040012944,-0.016095651803201702
1592,45,17,45,17,119,3.04468,0.16365317,0.012951436216452892
1593,46,17,46,17,19,0.49252632,0.0253525,0.0161416578415667
1594,47,17,47,17,11,0.29143563,0.016939558,0.014734799656180218
1595,48,17,48,17,228,6.2273235,0.4776394,-0.00469026480339404
1596,49,17,49,17,298,8.327404,0.7351854,-0.010273170690794756
1597,50,17,50,17,394,11.1860075,1.0980921,-0.04271378237047902
1598,51,17,51,17,739,21.211613,2.3852184,-0.043562292891088226
1599,52,17,52,17,310,8.761992,0.8575138,-0.045398427717298115
1600,53,17,53,17,120,3.2967358,0.2692991,-0.0353828427716977
1601,54,17,54,17,212,5.677684,0.4426108,-0.00790005994182134
1602,55,17,55,17,178,4.628241,0.3303263,-0.004342631381732579
1603,56,17,56,17,73,1.8312298,0.10891516,-0.006047795306829069
1604,57,17,57,17,73,1.7712345,0.09317197,-0.0052590214506889315
1605,58,17,58,17,73,1.7160757,0.08100961,-0.004707957807880041
1606,59,17,59,17,4,0.090997666,0.0034997752,-0.004630343910584127
1611,64,17,64,17,1,0.020599708,0.00071366073,0.0007686543417907
1612,65,17,65,17,12,0.24580759,0.010188632,0.0007686543417907
1613,66,17,66,17,111,2.2722883,0.123868056,-0.0003220101550892032
1614,67,17,67,17,205,4.169083,0.26214525,-0.005430768710723462
1615,68,17,68,17,45,0.89998686,0.05332978,-0.008953667172085266
1616,69,17,69,17,5,0.09746057,0.0052577252,-0.0091769843271025
1617,70,17,70,17,2,0.037654214,0.0017171601,-0.0091769843271025
1618,71,17,71,17,1,0.018140316,0.0006800108,-0.0091769843271025
1619,72,17,72,17,1,0.01754378,0.00057281717,-0.0091769843271025
1622,75,17,75,17,1,0.016168963,0.00046682355,-0.0091769843271025
1623,76,17,76,17,1,0.01576337,0.00044923014,-0.0091769843271025
1624,77,17,77,17,5,0.07684854,0.0021964607,-0.0091769843271025
1625,78,17,78,17,1,0.014977336,0.00042121534,-0.0091769843271025
1626,79,17,79,17,13,0.19000588,0.0055980445,-0.008917095959795042
1627,80,17,80,17,22,0.31422582,0.009941771,-0.008093845507722835
1628,81,17,81,17,38,0.53119075,0.018993532,-0.007787396259004973
1629,82,17,82,17,73,0.99528056,0.03904781,-0.008166384895057038
1630,83,17,83,17,63,0.8287626,0.027881594,-0.00944523587154432
1664,26,18,26,18,56,1.0531393,0.04099809,-0.0067128702313322625
1665,27,18,27,18,102,1.9988978,0.096722424,-0.0066822541720176
1666,28,18,28,18,79,1.6019351,0.08223433,-0.0066822541720176
1667,29,18,29,18,133,2.78752,0.1617678,-0.0066822541720176
1668,30,18,30,18,154,3.30352,0.1943864,-0.0066822541720176
1669,31,18,31,18,81,1.7571337,0.08828312,-0.011606105240122217
1670,32,18,32,18,54,1.1852604,0.053236943,-0.011608932263817599
1671,33,18,33,18,38,0.8468661,0.03647082,-0.014952939847445057
1672,34,18,34,18,40,0.9073541,0.03967356,-0.00679016191446221
1673,35,18,35,18,68,1.5708982,0.07215103,-0.009600789944989543
1674,36,18,36,18,73,1.7108941,0.0770251,-0.010654187037310102
1675,37,18,37,18,5,0.11850695,0.0047847037,-0.009867247025280662
1677,39,18,39,18,39,0.9555774,0.042543348,0.013477450863540186
1678,40,18,40,18,114,2.845613,0.14315541,0.0161416578415667
1679,41,18,41,18,84,2.1279395,0.109362714,0.0161416578415667
1680,42,18,42,18,139,3.575328,0.19567879,0.0161416578415667
1681,43,18,43,18,88,2.2935865,0.123669624,0.005551405778818123
1682,44,18,44,18,168,4.4580865,0.26480073,-0.0012348654764202773
1683,45,18,45,18,51,1.3720646,0.07821276,0.0161416578415667
1684,46,18,46,18,7,0.19166288,0.0112687815,0.0161416578415667
1685,47,18,47,18,202,5.6746483,0.40533817,0.016045254437294397
1686,48,18,48,18,123,3.5371993,0.27671346,-0.0046368065689146275
1687,49,18,49,18,565,16.759151,1.7201117,-0.009014708280831236
1688,50,18,50,18,327,9.772514,0.9700733,-0.028305317153924866
1689,51,18,51,18,224,6.7399445,0.6890909,-0.04298779538041993
1690,52,18,52,18,900,27.36904,3.470418,-0.0454896331317164
1691,53,18,53,18,463,13.622682,1.4278105,-0.02178600658002241
1692,54,18,54,18,216,6.0882635,0.502791,-0.004472842365746776
1693,55,18,55,18,197,5.358261,0.3901986,-0.004509489085801634
1694,56,18,56,18,93,2.4404454,0.15109798,-0.006980493034111498
1695,57,18,57,18,72,1.8300995,0.10328618,-0.008333415055157096
1696,58,18,58,18,138,3.4023387,0.18363029,-0.004311757267002997
1697,59,18,59,18,22,0.52345544,0.022451218,-0.0024979241648439275
1702,64,18,64,18,5,0.106831916,0.004012887,0.0007686543417907
1703,65,18,65,18,117,2.4800606,0.11697384,-0.0005289349672582656
1704,66,18,66,18,60,1.2522528,0.05805496,-0.004669181496342522
1706,68,18,68,18,3,0.060059447,0.002482505,-0.0091769843271025
1707,69,18,69,18,4,0.0781305,0.0030795133,-0.0091769843271025
1708,70,18,70,18,1,0.019002665,0.0007007931,-0.0091769843271025
1709,71,18,71,18,1,0.018466236,0.000637039,-0.0091769843271025
1711,73,18,73,18,4,0.070001,0.0022702003,-0.0091769843271025
1712,74,18,74,18,4,0.068273135,0.0022018205,-0.0091769843271025
1713,75,18,75,18,13,0.21662068,0.007139984,-0.010609381303518153
1714,76,18,76,18,5,0.0813133,0.0026845722,-0.009222918343004281
1715,77,18,77,18,19,0.30151322,0.010350115,-0.008374008083410373
1716,78,18,78,18,12,0.18527304,0.006178157,-0.008846915376861223
1717,79,18,79,18,24,0.3606186,0.01206905,-0.005620594882850963
1718,80,18,80,18,14,0.20519826,0.007023559,-0.004335961408303954
1719,81,18,81,18,51,0.7338827,0.030991798,-0.009494511947268379
1720,82,18,82,18,119,1.6752591,0.08473599,-0.0098692528777456
1755,26,19,26,19,45,0.86459744,0.03257626,-0.01283824863336354
1756,27,19,27,19,105,2.0992346,0.09650997,-0.012604259792120208
1757,28,19,28,19,82,1.6964998,0.08262801,-0.010984869451329348
1758,29,19,29,19,129,2.7578077,0.14853062,-0.007786779869344911
1759,30,19,30,19,88,1.9281197,0.10164797,-0.008202905140258659
1760,31,19,31,19,34,0.7573985,0.035812218,-0.019361267611157012
1761,32,19,32,19,17,0.38423586,0.016492866,-0.0198555091817417
1762,33,19,33,19,13,0.29880267,0.012433576,-0.0198555091817417
1763,34,19,34,19,33,0.7741076,0.034079015,-0.01458574444699176
1764,35,19,35,19,86,2.0625427,0.101238064,-0.010676233686243531
1765,36,19,36,19,86,2.098563,0.10430118,-0.010675798745769
1766,37,19,37,19,46,1.1368209,0.052660346,-0.013847952126139262
1767,38,19,38,19,18,0.45100427,0.020165153,-0.011327974476433914
1768,39,19,39,19,1,0.025437025,0.0011400215,-0.007897297792219121
1769,40,19,40,19,23,0.59473807,0.028086381,1.186867321120895e-05
1770,41,19,41,19,105,2.7665737,0.14644735,0.013145479212344578
1771,42,19,42,19,135,3.6239855,0.20815854,0.0161416578415667
1772,43,19,43,19,61,1.6645422,0.096066825,0.01575628154926729
1773,44,19,44,19,190,5.2962503,0.3485217,0.007917727308581642
1774,45,19,45,19,174,4.939608,0.33687383,0.0161416578415667
1775,46,19,46,19,284,8.263375,0.63973,0.0161416578415667
1776,47,19,47,19,263,7.847939,0.6703889,0.012951022039369518
1777,48,19,48,19,81,2.4535828,0.20532693,-0.004644531903004385
1778,49,19,49,19,453,14.030769,1.4137263,-0.025778864293739705
1779,50,19,50,19,363,11.303664,1.1197287,-0.030883151031859596
1780,51,19,51,19,335,10.506715,1.0841289,-0.04466679074304111
1781,52,19,52,19,728,23.088676,2.8393593,-0.04737218621558608
1782,53,19,53,19,464,14.300381,1.5327113,-0.03378860608911351
1783,54,19,54,19,106,3.1149855,0.24886718,-0.004562862597106907
