tile_id,x,y,people,pvhe
6186,66,60,707,-0.023386276352205818
6187,67,60,1050,-0.026507961203147738
6188,68,60,376,-0.02552178340677035
6189,69,60,7,-0.021052501551327846
6190,70,60,2,-0.02028011744094823
6192,72,60,1,-0.0164367650698649
6193,73,60,7,-0.01114745240908397
6194,74,60,1,-0.0043618784971080965
6195,75,60,2,-0.0041734222568779
6196,76,60,1,-0.0041734222568779
6202,82,60,1,0.002283857264942
6235,13,61,48,-0.019380168744421916
6236,14,61,151,-0.025505303619560497
6237,15,61,317,-0.02603408973951738
6238,16,61,54,-0.022091767505551474
6239,17,61,42,0.0025038924721109694
6240,18,61,17,0.006028745675313933
6241,19,61,64,0.006084470512094
6242,20,61,209,-0.021095490315436113
6243,21,61,251,-0.027436127962372162
6244,22,61,407,-0.027680838437169605
6245,23,61,637,-0.03856271277129287
6246,24,61,695,-0.016193903301507127
6247,25,61,108,-0.035875628617918945
6248,26,61,79,-0.0556655810028069
6249,27,61,46,-0.05569100914925226
6250,28,61,22,-0.056161066854171875
6251,29,61,791,-0.05743910898019039
6252,30,61,4398,-0.07679246807783313
6253,31,61,2258,-0.0544564095463181
6254,32,61,258,-0.04578398932917426
6255,33,61,2565,-0.06426064125153472
6256,34,61,1914,-0.06155143176110441
6257,35,61,50,-0.05523727802539005
6258,36,61,14,-0.043177741971647185
6259,37,61,711,-0.056629087741133954
6260,38,61,1231,-0.08502312742173466
6261,39,61,905,-0.0849473459417517
6262,40,61,65,-0.06758123912548242
6263,41,61,13,-0.0571404960338132
6264,42,61,196,-0.057731352443794695
6265,43,61,11,-0.05760452404663117
6266,44,61,41,-0.057708860185463284
6267,45,61,5846,-0.0866406496494564
6268,46,61,5326,-0.09155814692062639
6269,47,61,3268,-0.08588533968477938
6270,48,61,6289,-0.09105609836416133
6271,49,61,2737,-0.10355414808568979
6272,50,61,654,-0.08797706554605379
6273,51,61,1191,-0.09024772677831197
6274,52,61,2328,-0.09409762231451735
6275,53,61,2030,-0.08083981705520787
6276,54,61,1221,-0.052588292216253225
6277,55,61,245,-0.06407715709508692
6278,56,61,897,-0.0637865673115033
6279,57,61,2116,-0.05663484969843906
6280,58,61,53,-0.05673699933139097
6281,59,61,56,-0.056360614003276695
6282,60,61,14,-0.04504775438986664
6283,61,61,7,-0.04997779244788
6284,62,61,51,-0.04943671956651239
6285,63,61,524,-0.04494900873883897
6286,64,61,96,-0.044609134864934945
6287,65,61,95,-0.029156246543684983
6288,66,61,403,-0.022662476809731855
6289,67,61,1040,-0.025178812313925936
6290,68,61,1203,-0.025614954558213894
6337,13,62,106,-0.027673222007542714
6338,14,62,370,-0.006709536467511273
6339,15,62,42,-0.027105168775359574
6340,16,62,5,-0.02488239328197953
6341,17,62,1,0.003342060289934581
6342,18,62,58,0.003949573071211032
6343,19,62,72,0.005676005076529091
6344,20,62,5,0.00039087909235829485
6345,21,62,690,-0.02305810983639183
6346,22,62,368,-0.0256971282160149
6347,23,62,632,-0.03213889599488723
6348,24,62,1013,-0.03566734988521104
6349,25,62,12,-0.04843143824190458
6350,26,62,17,-0.0556655810028069
6351,27,62,28,-0.0556655810028069
6352,28,62,74,-0.0578416229773086
6353,29,62,51,-0.05918716590153149
6354,30,62,788,-0.06391102474173849
6355,31,62,3321,-0.07533946203778263
6356,32,62,1288,-0.05814323473376661
6357,33,62,1987,-0.06276270459514965
6358,34,62,348,-0.042014163089821074
6359,35,62,79,-0.047699641271013
6360,36,62,308,-0.047575684763359355
6361,37,62,2149,-0.058621563261880186
6362,38,62,1213,-0.05573373288624954
6363,39,62,1303,-0.05173802651878762
6364,40,62,24,-0.046548943950285804
6365,41,62,16,-0.05595267456445937
6366,42,62,33,-0.0575823111425621
6367,43,62,33,-0.05799763939731907
6368,44,62,35,-0.0639586524542897
6369,45,62,1370,-0.07310007754398803
6370,46,62,1673,-0.08447816277359343
6371,47,62,1160,-0.08553317034298118
6372,48,62,3794,-0.1043073113957717
6373,49,62,3072,-0.1049414946545407
6374,50,62,3204,-0.09068862625888632
6375,51,62,1381,-0.08639576163801657
6376,52,62,1045,-0.09861744558606178
6377,53,62,2624,-0.10870735072647954
6378,54,62,756,-0.07783479510502406
6379,55,62,526,-0.061300191863305625
