SEZIONE,TOTALE_ISCRITTI,"1 - PARTITO DEMOCRATICO,VELTRON","2 - ITALIA DEI VALORI,DI PIETRO","3 - PARTITO SOCIALISTA,BOSELLI","4 - UNIONE DI CENTRO,CASINI PRE","5 - LEGA NORD,BOSSI","6 - IL POPOLO DELLE LIBERTÁ,BER","7 - SINISTRA CRITICA,ECOLOGISTA",8 - PARTITO COMUNISTA DEI LAVORAT,9 - PARTITO LIBERALE ITALIANO,10 - LA DESTRA FIAMMA TRICOLORE -,11 - PER IL BENE COMUNE,12 - LA SINISTRA L'ARCOBALENO,13 - UNIONE DEMOCRATICA PER I CONS,"14 - P.P.A.,LIBERTÁ E PARTECIPAZ",TOTALE,AFFLUENZA
620,775,222,47,9,25,48,203,5,0,1,21,0,17,0,0,598,0.7716129032258064
621,752,264,37,8,12,24,143,5,7,2,20,4,36,3,0,565,0.7513297872340425
622,948,308,41,6,33,59,214,3,8,2,22,0,36,2,1,735,0.7753164556962026
623,939,229,25,7,29,28,260,4,7,2,31,2,23,4,0,651,0.6932907348242812
624,842,202,35,1,30,64,256,3,4,0,34,2,26,3,0,660,0.7838479809976246
625,755,193,56,1,32,41,186,3,3,2,14,2,17,1,1,552,0.7311258278145696
626,792,223,35,6,39,67,178,4,6,8,20,1,22,1,1,611,0.7714646464646465
627,812,203,43,1,37,52,243,4,11,4,16,4,23,0,0,641,0.7894088669950738
628,784,226,50,2,27,72,185,3,8,1,18,0,15,2,2,611,0.7793367346938775
629,722,227,28,4,22,43,193,5,3,1,19,0,8,1,2,556,0.7700831024930748
630,727,209,30,1,30,51,161,2,5,3,14,1,25,0,0,532,0.7317744154057771
631,733,169,24,0,23,38,204,7,4,3,17,2,23,0,0,514,0.7012278308321964
632,791,226,59,2,28,54,175,2,4,0,22,4,31,0,0,607,0.7673830594184576
633,794,262,44,4,21,52,211,7,3,0,16,2,18,3,0,643,0.809823677581864
634,796,222,33,2,20,56,197,6,6,2,14,0,28,3,0,589,0.7399497487437185
635,706,217,33,3,25,45,173,1,2,3,23,3,23,0,0,551,0.7804532577903682
636,716,228,31,1,35,31,147,3,3,5,8,4,30,0,0,526,0.7346368715083799
637,721,277,38,4,21,30,176,7,4,2,9,4,31,2,0,605,0.8391123439667129
638,694,235,35,4,25,21,155,2,2,2,11,3,24,0,0,519,0.7478386167146974
639,683,227,34,4,21,28,131,5,4,2,12,1,29,4,1,503,0.7364568081991215
640,652,224,32,3,13,16,127,5,5,3,12,4,37,1,0,482,0.7392638036809815
641,499,174,17,1,12,36,122,0,1,1,7,3,15,0,0,389,0.779559118236473
642,680,233,32,2,22,31,146,3,7,0,16,3,29,1,0,525,0.7720588235294118
643,685,234,43,3,18,21,162,3,1,3,13,2,31,1,0,535,0.781021897810219
644,696,205,40,2,29,29,177,6,3,4,17,0,31,1,0,544,0.7816091954022989
645,684,206,22,1,23,33,113,8,5,2,17,3,51,1,1,486,0.7105263157894737
646,695,254,39,4,18,25,149,6,1,2,12,0,29,0,0,539,0.7755395683453238
647,712,239,30,2,21,36,190,4,0,3,5,0,24,1,1,556,0.7808988764044944
648,783,270,31,6,35,43,183,2,1,1,22,3,32,1,0,630,0.8045977011494253
649,623,145,36,3,12,22,174,3,5,3,16,3,21,1,0,444,0.7126805778491172
650,703,197,30,3,15,31,173,7,5,0,26,2,16,2,0,507,0.7211948790896159
651,636,163,23,4,10,22,148,4,7,2,17,0,16,1,2,419,0.6588050314465409
652,628,145,41,1,13,27,156,8,3,0,11,0,17,0,1,423,0.6735668789808917
653,246,49,4,1,145,4,33,0,0,2,1,2,2,0,0,243,0.9878048780487805
654,458,38,2,1,208,1,25,0,0,2,0,1,0,1,0,279,0.6091703056768559
655,439,26,1,0,203,2,23,1,1,0,1,1,0,0,0,259,0.5899772209567198
656,683,147,22,2,77,29,171,7,3,1,11,2,20,1,1,494,0.7232796486090776
657,657,192,35,1,64,31,139,1,7,3,7,2,20,1,0,503,0.7656012176560122
658,564,113,15,2,22,20,143,5,7,0,10,2,14,0,0,353,0.625886524822695
659,850,252,40,4,24,44,185,10,9,4,29,3,19,3,1,627,0.7376470588235294
660,943,258,78,5,27,59,210,2,3,3,29,1,28,3,0,706,0.7486744432661718
661,715,183,46,3,13,33,192,3,4,3,23,3,29,2,0,537,0.7510489510489511
662,622,184,30,1,23,33,145,4,5,4,9,1,21,2,0,462,0.7427652733118971
663,605,168,24,7,44,51,149,6,4,3,7,1,16,0,0,480,0.7933884297520661
664,689,226,41,0,17,45,154,3,3,2,14,2,26,1,0,534,0.7750362844702468
665,705,223,37,8,23,41,157,4,5,2,8,3,27,2,0,540,0.7659574468085106
666,723,225,36,10,26,23,120,4,6,4,10,1,32,1,0,498,0.6887966804979253
667,915,334,61,4,35,54,212,8,7,1,16,1,31,2,0,766,0.8371584699453551
668,651,203,33,0,15,19,124,1,3,3,11,0,27,0,0,439,0.674347158218126
669,767,241,38,1,5,47,185,4,0,0,23,2,32,0,0,578,0.7535853976531942
670,804,229,37,1,22,31,203,7,4,2,19,4,28,1,0,588,0.7313432835820896
671,810,247,40,3,19,47,186,3,6,4,21,7,25,1,0,609,0.7518518518518519
672,749,243,36,6,21,34,147,3,3,0,16,1,29,1,0,540,0.7209612817089452
673,881,280,47,3,20,42,207,3,7,4,25,4,24,2,0,668,0.7582292849035187
674,1012,313,41,0,21,45,315,4,2,3,22,3,26,1,0,796,0.7865612648221344
675,726,247,54,2,33,40,193,3,4,3,18,2,19,0,0,618,0.8512396694214877
676,935,307,45,5,22,57,222,3,4,2,29,2,31,2,0,731,0.7818181818181819
677,685,231,24,6,24,38,142,4,5,4,17,4,31,2,0,532,0.7766423357664234
678,921,320,47,4,26,33,214,1,7,1,20,1,41,4,0,719,0.7806731813246471
679,735,235,38,4,26,36,204,4,4,1,19,1,21,0,0,593,0.8068027210884354
680,753,252,36,1,19,54,163,0,5,0,14,3,20,1,0,568,0.7543160690571049
681,771,248,32,6,23,31,184,1,3,1,23,2,27,2,0,583,0.7561608300907912
682,741,242,33,2,20,45,202,6,3,2,22,3,28,2,0,610,0.8232118758434548
683,777,271,43,6,18,34,148,2,4,2,8,3,35,2,0,576,0.7413127413127413
684,753,274,50,4,23,44,155,5,1,1,18,1,29,1,0,606,0.8047808764940239
685,813,283,43,4,30,44,176,2,5,0,16,1,21,3,0,628,0.7724477244772447
686,782,234,37,3,19,40,175,4,3,0,18,4,29,3,0,569,0.7276214833759591
687,808,228,44,4,36,33,212,8,6,3,20,1,30,2,0,627,0.775990099009901
688,748,250,36,3,14,34,155,2,6,2,15,3,40,0,1,561,0.75
689,758,250,33,1,7,28,155,6,4,0,12,2,33,2,0,533,0.7031662269129287
690,745,196,37,5,22,51,158,6,8,2,26,3,25,4,0,543,0.7288590604026846
691,757,207,30,3,55,43,168,5,2,4,14,3,16,3,1,554,0.7318361955085865
692,541,136,25,1,7,19,154,0,3,2,5,1,19,4,0,376,0.6950092421441775
693,700,190,23,6,21,36,175,4,6,3,19,2,16,0,1,502,0.7171428571428572
694,611,145,29,2,10,23,146,9,6,2,18,0,21,1,0,412,0.67430441898527
695,796,198,41,9,17,47,161,5,11,2,23,2,35,2,0,553,0.6947236180904522
696,674,187,25,7,14,31,149,5,2,6,16,5,21,0,1,469,0.6958456973293768
697,655,188,32,3,17,31,189,4,7,1,18,3,11,4,2,510,0.7786259541984732
698,826,194,43,6,14,51,182,2,6,4,36,1,24,6,1,570,0.6900726392251816
699,798,277,34,6,20,38,193,2,3,0,15,4,19,3,0,614,0.7694235588972431
700,768,231,44,2,30,52,157,2,7,1,28,3,18,0,0,575,0.7486979166666666
701,694,195,48,2,20,52,159,0,6,5,18,1,8,2,1,517,0.7449567723342939
702,697,207,41,3,23,32,154,4,7,2,15,2,14,2,2,508,0.7288378766140603
703,712,205,39,1,24,38,206,4,1,2,20,2,21,1,0,564,0.7921348314606742
704,634,190,26,2,27,35,117,6,7,1,19,0,26,2,0,458,0.722397476340694
705,546,132,23,3,11,40,121,4,5,1,17,2,32,2,0,393,0.7197802197802198
706,501,114,25,2,11,22,110,7,3,0,12,1,13,2,0,322,0.6427145708582834
707,511,134,31,3,16,20,127,3,2,0,5,1,15,2,0,359,0.7025440313111546
708,474,33,3,0,5,3,47,1,1,2,3,2,12,1,0,113,0.23839662447257384
709,531,183,19,1,18,22,116,7,0,4,17,2,17,0,1,407,0.7664783427495292
710,548,171,25,0,14,35,137,2,3,1,6,5,16,1,1,417,0.7609489051094891
711,564,200,23,4,18,29,121,1,6,0,12,1,19,5,0,439,0.7783687943262412
712,486,144,19,1,18,28,148,2,0,0,13,1,11,0,0,385,0.7921810699588477
713,791,262,33,4,14,57,200,2,7,4,15,0,20,2,1,621,0.7850821744627055
714,997,332,52,4,48,76,207,3,7,2,16,3,37,1,0,788,0.7903711133400201
715,571,154,34,3,18,60,176,2,1,7,15,0,10,0,0,480,0.840630472854641
716,455,177,15,0,28,22,121,0,1,3,8,0,5,2,0,382,0.8395604395604396
717,417,133,13,2,7,24,145,0,2,2,7,2,12,1,1,351,0.841726618705036
718,372,94,20,3,15,29,119,0,0,2,3,0,4,1,0,290,0.7795698924731183
719,493,134,16,2,50,27,159,1,1,1,5,2,6,0,0,404,0.8194726166328601
720,570,166,27,0,20,40,166,3,0,0,11,5,8,0,0,446,0.7824561403508772
721,209,55,7,1,12,12,62,2,1,1,4,1,6,2,0,166,0.7942583732057417
722,703,223,39,4,35,37,215,2,0,3,8,1,21,0,2,590,0.8392603129445235
723,505,108,23,4,19,29,220,3,1,2,6,1,7,0,0,423,0.8376237623762376
724,667,186,34,3,9,34,165,10,2,3,9,2,22,0,0,479,0.7181409295352323
725,687,174,28,5,18,20,134,3,2,0,17,1,21,2,1,426,0.6200873362445415
726,565,174,26,10,12,9,114,13,1,3,5,2,22,0,0,391,0.6920353982300885
727,553,220,29,4,10,18,122,2,4,1,6,1,22,0,0,439,0.7938517179023508
728,604,150,35,3,11,28,130,5,4,4,10,3,33,0,0,416,0.6887417218543046
729,723,248,37,3,21,21,166,5,5,1,18,0,17,0,1,543,0.7510373443983402
730,742,225,26,3,14,27,174,4,10,3,14,2,37,2,1,542,0.7304582210242587
731,658,203,32,1,20,28,172,1,5,3,10,0,31,1,1,508,0.7720364741641338
732,834,250,28,6,32,40,198,2,2,2,13,4,40,0,0,617,0.7398081534772182
733,710,197,42,5,24,50,201,2,0,2,7,2,24,2,0,558,0.7859154929577464
734,668,207,20,1,17,37,198,3,2,4,13,2,13,0,0,517,0.7739520958083832
735,835,225,27,4,33,46,279,1,2,3,11,2,18,0,0,651,0.7796407185628742
736,815,215,32,2,16,40,231,10,3,1,17,1,17,0,0,585,0.7177914110429447
737,675,250,25,1,22,39,156,2,0,0,10,0,16,1,1,523,0.7748148148148148
738,712,224,24,7,28,51,207,3,1,1,11,2,12,0,0,571,0.8019662921348315
739,692,206,29,1,19,49,197,1,1,0,11,3,18,1,0,536,0.7745664739884393
740,652,207,35,3,38,37,155,3,3,0,15,2,20,2,1,521,0.799079754601227
741,135,11,2,7,12,1,6,4,1,2,2,0,0,0,0,48,0.35555555555555557
742,1334,493,84,7,33,51,277,2,4,1,29,1,71,3,0,1056,0.7916041979010495
743,791,219,31,3,40,45,300,2,0,2,13,1,17,0,0,673,0.8508217446270544
744,813,192,19,1,46,46,338,2,1,6,18,1,12,0,0,682,0.8388683886838868
745,480,118,14,1,67,20,128,1,2,3,5,0,20,0,0,379,0.7895833333333333
746,700,241,37,3,18,32,146,1,1,0,12,1,28,1,0,521,0.7442857142857143
747,692,205,24,0,30,30,183,3,7,2,20,3,29,0,0,536,0.7745664739884393
748,717,244,51,5,13,31,134,8,4,1,18,2,43,1,0,555,0.7740585774058577
749,677,195,35,2,25,43,181,3,1,1,10,0,27,1,0,524,0.7740029542097489
750,680,215,23,4,14,35,164,4,1,3,10,7,39,2,0,521,0.7661764705882353
751,779,246,47,1,27,45,164,6,4,2,14,1,29,3,0,589,0.7560975609756098
752,738,246,38,4,20,49,190,6,2,4,5,3,25,2,0,594,0.8048780487804879
753,689,207,32,2,41,26,178,0,1,2,8,2,28,1,0,528,0.7663280116110305
754,742,219,39,4,18,41,184,4,1,2,16,3,27,0,0,558,0.7520215633423181
755,702,227,46,3,24,39,122,5,4,1,8,3,25,2,0,509,0.7250712250712251
756,747,238,41,3,23,31,181,6,2,2,17,2,30,0,0,576,0.7710843373493976
757,700,215,30,4,15,45,189,4,2,1,13,1,14,3,0,536,0.7657142857142857
758,659,224,34,3,17,35,123,1,1,1,16,5,23,3,0,486,0.7374810318664643
759,661,204,34,3,22,26,155,2,3,3,18,2,20,0,1,493,0.745839636913767
760,773,245,37,9,31,39,236,2,3,1,15,1,17,1,1,638,0.8253557567917206
761,741,240,38,0,18,60,202,4,2,4,20,3,23,1,0,615,0.8299595141700404
762,1049,312,41,1,38,68,319,0,0,3,21,2,25,1,0,831,0.792183031458532
763,679,211,39,5,23,38,154,4,3,2,8,1,43,0,0,531,0.7820324005891016
764,754,241,45,1,25,49,204,2,2,1,18,1,18,1,0,608,0.8063660477453581
765,716,215,36,3,16,49,167,8,5,1,20,0,25,0,0,545,0.7611731843575419
766,782,246,25,3,35,47,236,2,4,1,10,2,17,0,0,628,0.80306905370844
767,724,207,44,5,25,39,167,3,3,1,10,2,28,1,0,535,0.738950276243094
768,824,225,48,3,22,46,229,1,2,3,18,1,14,3,0,615,0.7463592233009708
769,654,209,40,10,13,23,143,6,1,1,13,1,19,1,0,480,0.7339449541284404
770,734,203,35,5,34,49,243,2,1,1,12,3,16,0,0,604,0.8228882833787466
771,752,182,37,3,16,54,277,3,2,1,6,0,21,0,0,602,0.800531914893617
772,799,211,26,2,30,60,254,2,2,5,18,0,13,0,1,624,0.7809762202753442
773,717,208,31,2,22,47,195,3,4,3,16,2,23,3,0,559,0.7796373779637378
774,652,181,24,3,19,30,220,0,0,1,20,0,11,1,0,510,0.7822085889570553
775,525,142,13,3,12,48,208,0,1,1,9,0,6,0,0,443,0.8438095238095238
776,531,136,12,2,39,23,216,1,0,0,3,2,6,0,0,440,0.8286252354048964
777,278,67,6,2,63,19,84,0,0,1,4,1,5,0,0,252,0.9064748201438849
778,262,33,6,2,10,3,62,0,2,1,1,0,0,0,0,120,0.4580152671755725
779,668,95,14,3,31,58,340,1,2,1,8,6,5,2,0,566,0.8473053892215568
780,587,145,17,1,23,54,229,2,0,1,6,0,11,0,0,489,0.8330494037478705
781,474,125,9,2,25,36,177,1,1,1,4,1,15,0,0,397,0.8375527426160337
782,468,112,12,2,20,33,199,1,2,6,13,1,5,0,0,406,0.8675213675213675
783,254,58,14,2,9,28,114,0,0,1,1,0,5,0,0,232,0.9133858267716536
784,662,192,28,8,45,81,156,5,2,4,9,5,14,0,0,549,0.8293051359516617
785,667,204,23,2,15,49,222,0,0,3,6,1,16,0,0,541,0.8110944527736131
786,505,137,25,2,15,66,147,1,0,4,6,0,12,0,0,415,0.8217821782178217
787,752,240,47,1,25,46,176,2,3,3,15,3,17,2,0,580,0.7712765957446809
788,729,206,42,1,22,22,218,1,3,1,12,3,24,2,0,557,0.7640603566529492
789,729,259,44,4,32,38,167,4,3,2,12,4,16,2,0,587,0.8052126200274349
790,792,222,48,3,33,39,233,4,1,0,22,4,6,0,0,615,0.7765151515151515
791,700,216,36,2,23,32,181,4,2,4,20,2,22,0,0,544,0.7771428571428571
792,748,205,51,8,26,31,184,4,8,1,10,1,28,0,0,557,0.7446524064171123
793,671,221,25,2,18,29,157,3,3,4,20,3,29,1,3,518,0.7719821162444114
794,651,218,40,2,25,16,142,4,1,3,17,0,18,3,1,490,0.7526881720430108
795,667,214,40,2,28,35,155,2,5,3,12,1,20,2,0,519,0.7781109445277361
796,669,194,21,5,26,29,130,7,2,1,21,0,30,1,0,467,0.6980568011958147
797,753,242,45,3,21,47,158,2,3,2,21,2,26,0,1,573,0.7609561752988048
798,716,192,33,3,28,23,140,10,3,6,14,3,23,2,0,480,0.6703910614525139
799,642,222,46,5,26,41,119,2,2,0,16,1,21,3,1,505,0.7866043613707165
800,660,178,47,1,17,24,147,4,2,0,19,2,40,2,0,483,0.7318181818181818
801,657,206,40,0,33,21,178,1,4,0,12,2,20,0,1,518,0.7884322678843226
802,588,176,43,4,34,22,130,3,1,1,16,2,15,2,1,450,0.7653061224489796
803,738,232,52,2,15,27,159,3,4,1,24,1,29,3,0,552,0.7479674796747967
804,705,216,45,2,14,37,194,2,5,3,19,1,16,2,0,556,0.7886524822695036
805,701,186,37,1,24,33,196,6,4,2,16,2,25,0,0,532,0.7589158345221113
806,612,170,42,4,21,36,115,1,4,0,20,3,29,0,0,445,0.7271241830065359
807,828,183,29,3,22,36,170,1,4,2,10,0,21,1,1,483,0.5833333333333334
808,992,323,68,7,26,54,235,4,5,3,26,2,27,2,1,783,0.7893145161290323
809,666,183,31,3,27,33,190,0,3,3,16,5,11,2,0,507,0.7612612612612613
810,695,210,48,0,14,32,145,4,3,2,12,3,32,1,0,506,0.7280575539568346
811,703,207,35,1,32,28,232,2,2,2,10,1,15,0,0,567,0.8065433854907539
812,696,209,39,1,23,31,169,1,5,2,22,1,18,2,0,523,0.7514367816091954
813,650,183,31,0,22,43,165,1,3,0,11,3,18,0,0,480,0.7384615384615385
814,637,206,22,3,18,28,167,2,3,4,11,1,34,1,1,501,0.7864992150706437
815,777,236,49,5,32,47,235,1,1,2,17,4,20,2,0,651,0.8378378378378378
816,577,154,32,1,11,24,83,6,7,4,7,2,24,2,0,357,0.6187175043327556
817,595,192,28,0,20,32,129,3,5,1,11,3,18,0,1,443,0.7445378151260504
818,664,248,28,2,27,35,119,4,4,4,18,0,17,1,0,507,0.7635542168674698
819,700,210,37,1,14,34,163,0,7,1,17,3,31,2,0,520,0.7428571428571429
820,666,224,31,1,29,29,124,1,4,2,19,3,16,3,0,486,0.7297297297297297
821,694,228,45,1,25,34,140,5,3,0,18,0,17,3,2,521,0.7507204610951008
822,654,202,31,5,31,18,153,6,3,1,12,2,21,2,0,487,0.7446483180428135
823,731,212,33,11,26,38,164,7,4,1,18,1,20,3,0,538,0.7359781121751026
824,692,174,31,8,31,39,183,3,4,2,20,1,21,2,1,520,0.7514450867052023
825,774,229,52,4,30,32,166,1,7,1,16,3,18,2,0,561,0.7248062015503876
826,673,219,36,2,30,31,146,5,2,2,13,1,21,2,0,510,0.7578008915304606
827,610,199,32,3,26,24,136,5,2,1,12,2,16,0,0,458,0.7508196721311475
828,656,186,40,5,35,65,165,2,1,1,13,4,19,0,0,536,0.8170731707317073
829,643,180,35,0,22,40,151,3,0,1,23,1,25,1,0,482,0.749611197511664
830,718,262,39,4,17,35,168,5,3,2,17,3,20,2,0,577,0.8036211699164345
831,686,235,51,1,26,36,149,2,2,5,11,3,23,1,0,545,0.7944606413994169
832,595,195,40,2,13,24,157,1,4,2,13,0,20,0,1,472,0.7932773109243697
833,591,179,25,3,12,25,138,4,2,3,11,0,21,0,0,423,0.7157360406091371
834,780,272,46,5,28,25,144,3,1,5,21,1,13,1,1,566,0.7256410256410256
835,786,243,42,3,20,41,169,0,5,3,17,5,22,2,0,572,0.727735368956743
836,651,196,47,4,20,29,140,4,9,2,11,1,26,3,0,492,0.7557603686635944
837,700,227,31,0,21,43,159,1,4,4,17,1,19,4,0,531,0.7585714285714286
838,654,226,35,3,23,38,129,2,2,3,16,0,17,1,1,496,0.7584097859327217
839,632,211,30,2,22,25,139,8,3,1,11,7,25,4,0,488,0.7721518987341772
840,619,171,23,0,25,39,149,6,3,3,10,2,18,0,0,449,0.7253634894991923
841,717,259,61,3,20,35,154,3,4,1,24,2,27,3,0,596,0.8312412831241283
842,850,289,51,3,26,41,193,5,4,0,16,4,26,1,1,660,0.7764705882352941
843,747,235,41,3,40,32,142,3,0,0,22,4,33,2,3,560,0.749665327978581
844,948,311,57,11,33,39,228,4,4,4,13,4,25,3,2,738,0.7784810126582279
845,706,235,40,4,26,46,174,3,3,1,16,1,17,3,0,569,0.8059490084985835
846,717,238,34,3,23,33,140,4,5,6,19,4,25,3,0,537,0.7489539748953975
847,702,247,32,3,29,31,167,3,5,2,11,1,23,2,0,556,0.792022792022792
848,689,258,45,0,30,25,163,3,4,1,17,1,15,1,0,563,0.8171262699564587
849,640,226,35,2,13,21,172,3,0,1,18,2,14,4,0,511,0.7984375
850,739,218,33,1,19,39,215,1,6,3,19,2,20,2,0,578,0.7821380243572396
851,749,229,44,2,29,53,210,2,2,0,19,0,9,2,0,601,0.8024032042723631
852,713,301,47,6,24,22,148,3,1,2,13,1,26,1,0,595,0.8345021037868162
853,770,262,43,1,23,43,159,4,6,2,24,3,25,6,1,602,0.7818181818181819
854,712,258,58,3,32,20,153,1,3,0,13,3,13,2,0,559,0.7851123595505618
855,617,214,45,2,23,30,167,1,3,0,15,1,13,1,0,515,0.8346839546191248
856,872,306,46,1,29,52,212,1,0,1,27,1,27,2,1,706,0.8096330275229358
857,719,259,60,0,29,27,146,10,3,2,15,4,14,1,0,570,0.7927677329624478
858,803,295,47,2,26,36,215,2,2,4,22,1,16,0,1,669,0.8331257783312578
859,749,248,58,1,15,36,208,1,2,3,20,1,21,2,1,617,0.8237650200267023
860,784,305,33,6,26,37,183,7,4,1,28,3,20,3,0,656,0.8367346938775511
861,761,283,58,0,19,17,158,1,3,0,14,1,25,3,0,582,0.7647831800262812
862,720,263,41,4,25,51,160,6,1,2,9,1,20,2,0,585,0.8125
863,753,263,49,1,28,31,154,0,4,0,18,1,24,0,0,573,0.7609561752988048
864,766,273,53,4,30,45,158,1,2,0,16,2,22,1,2,609,0.7950391644908616
865,789,267,57,6,32,45,172,0,1,4,17,2,11,1,0,615,0.779467680608365
866,671,260,38,4,20,42,129,5,2,2,14,2,22,0,1,541,0.8062593144560357
867,599,216,43,6,15,28,102,3,2,1,16,0,24,2,1,459,0.7662771285475793
868,591,181,24,3,15,27,140,3,2,0,13,4,15,4,0,431,0.7292724196277496
869,638,215,33,3,24,20,113,5,4,1,11,3,21,3,0,456,0.7147335423197492
870,565,141,30,1,4,15,126,4,1,1,7,2,27,1,0,360,0.6371681415929203
871,689,208,50,4,32,33,127,3,6,4,15,5,14,2,0,503,0.7300435413642961
872,885,291,40,6,31,41,187,6,3,4,25,4,22,4,0,664,0.7502824858757062
873,503,144,36,1,11,32,112,6,4,2,8,1,13,2,0,372,0.7395626242544732
874,808,229,48,2,39,50,186,1,5,1,14,2,15,4,0,596,0.7376237623762376
875,463,77,8,0,9,11,125,1,4,4,12,0,10,2,1,264,0.5701943844492441
876,638,238,44,1,16,17,137,2,4,1,11,1,35,3,0,510,0.799373040752351
877,462,140,35,6,14,16,105,3,4,1,8,2,16,3,0,353,0.7640692640692641
878,944,342,55,4,30,33,200,6,5,2,18,1,35,1,1,733,0.7764830508474576
879,953,313,61,9,25,25,226,6,6,0,23,2,35,2,0,733,0.7691500524658972
880,943,282,63,7,22,38,182,5,3,1,20,1,33,1,0,658,0.6977730646871686
881,759,212,51,2,32,39,138,1,9,4,25,0,27,2,1,543,0.7154150197628458
882,562,160,41,1,29,17,143,4,2,1,8,1,18,1,1,427,0.7597864768683275
883,724,208,41,0,17,47,150,0,3,4,15,0,16,2,0,503,0.6947513812154696
884,731,271,32,2,25,33,155,7,2,1,16,6,27,1,2,580,0.7934336525307798
885,727,239,47,5,22,25,156,3,7,3,11,2,29,3,0,552,0.7592847317744154
886,765,244,44,1,16,8,149,6,7,0,13,3,25,2,0,518,0.677124183006536
887,427,139,21,1,15,13,120,2,1,4,5,0,13,2,0,336,0.7868852459016393
888,877,270,55,6,25,29,180,9,4,2,12,0,35,0,1,628,0.7160775370581528
889,744,275,53,3,17,19,140,5,3,5,11,5,17,1,1,555,0.7459677419354839
890,675,235,34,3,23,22,156,1,4,1,12,2,13,1,0,507,0.7511111111111111
891,722,217,28,1,19,35,188,2,7,2,29,3,39,3,0,573,0.7936288088642659
892,775,229,51,5,32,30,169,3,4,2,11,4,22,0,0,562,0.7251612903225807
893,682,237,34,1,22,31,143,3,5,0,11,0,20,3,0,510,0.7478005865102639
894,687,235,43,1,30,27,124,3,7,3,21,4,15,0,0,513,0.7467248908296943
895,848,290,53,5,33,47,185,2,0,2,18,4,30,1,0,670,0.7900943396226415
896,891,323,47,1,28,38,181,2,7,0,21,3,26,1,0,678,0.7609427609427609
897,704,232,33,2,22,19,129,6,3,3,12,1,26,1,0,489,0.6946022727272727
898,975,318,43,6,40,58,197,4,4,3,27,6,28,3,1,738,0.7569230769230769
899,643,197,45,0,23,22,135,3,4,2,5,0,37,0,1,474,0.7371695178849145
900,739,231,45,1,20,19,174,1,3,1,19,1,17,1,1,534,0.7225981055480379
901,618,212,39,1,15,14,127,2,6,2,11,2,27,2,0,460,0.7443365695792881
902,658,208,46,3,31,17,138,5,1,3,14,2,18,0,0,486,0.7386018237082067
903,650,213,32,1,22,16,120,1,4,1,15,0,38,4,0,467,0.7184615384615385
904,733,216,31,2,41,33,170,2,4,1,13,2,27,3,0,545,0.7435197817189632
905,725,238,34,5,30,33,141,5,1,2,16,5,23,1,0,534,0.736551724137931
906,697,207,25,0,17,40,130,4,9,3,19,4,18,4,1,481,0.6901004304160688
907,765,291,53,4,30,37,194,3,3,1,10,0,21,2,0,649,0.8483660130718954
908,0,32,6,0,4,1,18,1,0,0,2,0,2,0,0,66,inf
909,0,53,8,0,4,14,48,1,3,1,2,2,6,1,0,143,inf
910,0,7,0,0,0,1,7,0,0,0,0,0,2,0,0,17,inf
911,3,58,10,0,6,8,55,3,1,5,2,1,8,0,0,157,52.333333333333336
912,0,98,7,2,8,9,68,1,2,1,3,0,6,0,1,206,inf
913,812,293,26,2,27,58,189,5,1,0,15,2,15,1,0,634,0.7807881773399015
914,0,8,2,2,1,2,15,0,0,1,0,0,3,0,0,34,inf
915,0,31,3,0,2,0,17,1,0,1,1,1,0,0,0,57,inf
916,1,4,2,0,2,0,8,0,0,0,0,0,2,0,0,18,18.0
917,0,47,5,0,9,1,33,2,1,3,0,0,3,2,0,106,inf
918,0,29,7,2,6,3,23,1,0,1,2,0,3,2,0,79,inf
919,0,39,7,0,3,5,37,1,0,0,5,0,2,0,0,99,inf
