SEZIONE,TOTALE_ISCRITTI,SINISTRA ECOLOGIA LIBERTA',CENTRO DEMOCRATICO,PD - PARTITO DEMOCRATICO,RIVOLUZIONE CIVILE INGROIA,MIR - MODERATI IN RIVOLUZIONE,FRATELLI D'ITALIA-CENTRODESTRA,PENSIONATI,IL POPOLO DELLA LIBERTA',LEGA NORD,LA DESTRA STORACE,FARE PER FERMARE IL DECLINO,CASAPOUND ITALIA,FIAMMA TRICOLORE,MOVIMENTO 5 STELLE BEPPEGRILLO,FINI - FUTURO E LIBERTA',SCELTA CIVICA CON MONTI,CASINI - LIBERTAS - UDC,FN - FORZA NUOVA,TOTALE,AFFLUENZA
619,681,4,2,108,9,0,4,11,72,13,4,3,2,0,216,3,28,2,3,484,0.71071953010279
620,858,22,3,136,13,0,12,4,124,14,0,7,0,0,239,3,45,7,1,630,0.7342657342657343
621,737,26,0,185,17,0,8,6,75,11,3,1,2,2,112,0,31,1,0,480,0.6512890094979648
622,926,16,6,209,22,0,15,6,105,24,2,2,0,1,196,3,69,3,2,681,0.7354211663066955
623,999,21,5,170,18,2,9,9,137,11,1,1,0,1,224,7,35,3,6,660,0.6606606606606606
624,862,24,1,144,11,1,13,5,134,34,1,5,0,3,208,2,79,7,1,673,0.7807424593967517
625,789,14,0,117,15,2,15,7,119,17,1,5,0,3,194,2,50,2,2,565,0.7160963244613435
626,785,16,0,153,8,0,7,8,114,27,3,7,1,2,177,3,54,7,2,589,0.7503184713375797
627,857,21,1,144,16,2,16,8,162,28,2,2,4,1,202,2,53,5,1,670,0.7817969661610268
628,853,26,2,210,12,0,11,2,117,13,1,6,1,0,179,2,72,6,1,661,0.7749120750293084
629,769,25,3,142,4,0,8,8,118,26,4,8,1,3,168,1,39,4,1,563,0.7321196358907672
630,726,20,6,147,10,0,4,11,102,17,2,9,2,2,158,2,44,3,1,540,0.743801652892562
631,807,19,1,125,22,0,15,7,104,14,5,9,3,2,168,4,45,8,1,552,0.6840148698884758
632,856,21,2,196,14,0,12,6,87,24,4,3,1,0,203,5,64,4,2,648,0.7570093457943925
633,782,16,6,171,15,1,6,6,112,28,1,4,1,1,167,2,48,6,1,592,0.7570332480818415
634,802,27,1,157,12,2,7,7,96,22,1,1,0,0,122,1,53,2,1,512,0.6384039900249376
635,720,44,1,162,10,0,20,2,90,15,1,11,0,0,94,2,92,4,0,548,0.7611111111111111
636,719,48,3,157,17,0,5,11,63,9,0,10,0,1,156,2,61,4,0,547,0.760778859527121
637,707,53,1,215,20,1,17,1,88,13,2,15,0,0,105,1,72,10,0,614,0.8684582743988685
638,717,53,1,166,18,0,9,1,78,7,1,8,0,0,128,3,64,6,1,544,0.7587168758716876
639,681,60,2,151,17,0,6,1,64,5,1,3,0,2,139,3,31,8,3,496,0.7283406754772394
640,652,48,3,134,35,0,4,5,73,6,1,8,3,0,109,3,26,3,1,462,0.7085889570552147
641,528,38,0,129,14,1,9,3,57,15,3,5,0,78,2,56,0,0,0,410,0.7765151515151515
642,691,46,2,183,27,1,2,4,79,15,4,10,0,0,115,0,48,7,4,547,0.7916063675832128
643,691,66,3,154,19,0,4,7,64,7,4,11,0,0,141,3,39,2,2,526,0.7612156295224313
644,682,30,3,153,16,0,14,3,92,16,2,7,0,2,120,2,59,6,1,526,0.7712609970674487
645,698,65,1,144,24,0,3,3,54,10,2,4,1,0,132,4,54,5,0,506,0.7249283667621776
646,717,52,1,165,26,0,6,2,82,7,2,13,1,1,125,0,72,0,1,556,0.7754532775453278
647,704,36,2,207,17,5,15,2,86,17,0,1,1,1,96,0,59,2,0,547,0.7769886363636364
648,831,46,0,186,28,0,18,10,111,10,3,18,1,0,136,5,74,7,0,653,0.7858002406738869
649,563,29,2,90,19,0,11,3,81,6,2,3,0,5,120,1,24,1,0,397,0.7051509769094139
650,684,35,1,123,21,1,7,1,105,11,7,6,0,1,134,0,23,3,0,479,0.7002923976608187
651,663,23,4,114,15,0,10,3,88,11,6,6,1,1,119,0,22,4,1,428,0.6455505279034691
652,612,34,2,105,13,0,8,4,74,15,2,5,0,0,127,1,32,2,1,425,0.6944444444444444
653,333,1,1,31,0,0,1,4,11,2,0,0,0,0,9,2,91,78,0,231,0.6936936936936937
654,615,1,2,31,0,0,1,3,10,5,0,0,0,2,2,0,134,147,0,338,0.5495934959349593
655,336,2,0,54,4,0,4,4,46,5,2,1,0,0,101,1,22,1,0,247,0.7351190476190477
656,700,20,3,90,10,0,4,8,98,16,3,2,1,0,128,2,71,11,0,467,0.6671428571428571
657,615,19,2,108,6,2,6,7,61,12,0,7,0,1,104,0,85,23,1,444,0.7219512195121951
658,548,9,2,79,15,1,0,1,92,7,0,1,2,1,105,0,31,3,2,351,0.6405109489051095
659,837,34,2,161,21,0,15,6,104,14,2,9,1,2,166,1,66,7,2,613,0.7323775388291517
660,931,22,7,202,23,1,11,11,115,14,1,3,1,1,228,1,58,5,3,707,0.7593984962406015
661,759,35,3,151,14,1,14,10,106,17,4,6,1,2,142,6,67,2,1,582,0.766798418972332
662,650,35,3,138,21,0,12,2,61,27,0,10,1,0,126,5,56,4,1,502,0.7723076923076924
663,635,20,0,122,16,0,14,3,92,11,0,4,1,0,97,1,100,20,1,502,0.7905511811023622
664,712,27,0,162,16,0,13,9,88,9,6,8,1,0,139,1,58,4,1,542,0.7612359550561798
665,725,50,3,162,18,1,8,5,76,17,1,11,0,1,124,2,56,5,1,541,0.7462068965517241
666,731,30,2,159,22,1,7,2,65,6,2,5,0,1,141,1,53,4,1,502,0.6867305061559508
667,881,52,2,232,18,0,13,7,104,22,3,8,3,1,149,4,76,4,0,698,0.7922814982973894
668,671,32,1,132,18,0,1,5,71,7,1,3,0,1,148,1,38,4,0,463,0.6900149031296572
669,801,37,2,193,15,1,5,6,108,12,1,5,1,1,149,3,53,5,4,601,0.7503121098626716
670,839,39,2,156,21,1,3,14,114,13,2,2,0,1,199,3,53,4,2,629,0.7497020262216925
671,824,52,1,169,14,0,12,4,82,15,0,8,0,1,161,2,63,3,0,587,0.712378640776699
672,811,47,1,153,17,1,9,5,99,9,3,3,1,1,155,1,39,2,1,547,0.6744759556103576
673,984,36,2,206,25,0,22,4,125,18,5,15,2,2,175,1,95,6,2,741,0.7530487804878049
674,1035,47,2,251,25,0,11,3,145,18,3,11,1,1,210,1,78,3,1,811,0.7835748792270532
675,727,26,0,180,19,0,13,1,100,9,4,15,0,1,121,3,88,3,1,584,0.8033012379642366
676,995,40,1,246,16,0,13,7,136,16,1,7,0,0,153,2,87,3,3,731,0.7346733668341708
677,698,32,1,153,15,1,5,5,63,11,0,2,0,2,173,0,46,6,2,517,0.7406876790830945
678,959,49,3,258,30,1,14,6,112,14,2,5,1,0,199,2,43,1,1,741,0.7726798748696558
679,751,38,2,185,17,0,11,5,94,18,1,6,2,0,162,2,71,3,0,617,0.8215712383488681
680,745,26,1,173,16,0,8,7,96,18,5,3,0,1,161,2,42,3,1,563,0.7557046979865771
681,755,19,0,195,20,0,13,3,97,20,1,2,0,1,130,0,52,8,3,564,0.7470198675496689
682,744,38,1,174,14,3,7,1,86,14,2,8,0,2,154,3,80,1,3,591,0.7943548387096774
