SEZIONE,IL LOTO,UNIONE DEI DEMOCRATICI CRISTIANI E DEMOCRATICI DI CENTRO,ASSOCIAZIONE PER LA DIFESA DELLA VITA,UNIONE DEMOCRATICA PER I CONSUMATORI,PARTITO LIBERALE ITALIANO,PARTITO COMUNISTA DEI LAVORATORI,PER IL BENE COMUNE,FORZA NUOVA,IL POPOLO DELLA LIBERTA',MOVIMENTO PER L'AUTONOMIA - ALLEATI PER IL SUD,PARTITO DEMOCRATICO,ITALIA DEI VALORI - LISTA DI PIETRO,LA DESTRA - FIAMMA TRICOLORE,SINISTRA CRITICA,PARTITO SOCIALISTA - BOSELLI,LA SINISTRA L'ARCOBALENO,TOTALE,AFFLUENZA
593,1,29,1,2,0,0,0,2,310,1,274,41,26,1,7,22,717,0.8047138047138047
594,0,28,1,0,0,4,1,3,237,1,274,29,32,5,0,32,647,0.7693222354340071
595,0,22,4,2,1,1,1,6,248,0,263,39,30,8,0,26,651,0.7233333333333334
596,0,35,3,1,2,4,1,10,239,3,275,27,22,5,0,35,662,0.8112745098039216
597,0,15,1,0,0,1,3,6,184,1,289,31,11,5,4,21,572,0.7526315789473684
598,0,38,6,2,2,2,4,6,272,4,285,44,25,5,1,43,739,0.8094194961664841
599,0,13,0,1,1,2,0,2,239,1,293,43,22,1,2,28,648,0.7769784172661871
600,2,14,1,0,0,2,1,4,233,2,323,35,18,1,5,47,688,0.782707622298066
601,0,22,4,2,0,5,1,6,262,1,223,20,14,7,7,46,620,0.7345971563981043
602,2,29,4,2,1,0,0,7,268,4,287,37,34,4,6,17,702,0.7995444191343963
603,0,29,2,2,2,0,3,3,313,0,286,38,23,2,6,24,733,0.7806176783812566
604,0,37,0,2,0,9,2,7,220,0,245,15,13,2,5,24,581,0.7181705809641533
605,0,22,2,0,2,5,2,2,182,2,200,7,21,3,2,25,477,0.654320987654321
606,0,28,0,1,2,4,0,10,186,0,262,8,24,5,0,22,552,0.6610778443113773
607,1,19,1,2,0,7,4,11,195,0,302,12,31,3,6,25,619,0.6772428884026258
608,1,9,0,2,0,1,2,5,180,2,279,21,16,7,0,15,540,0.72
609,0,21,3,1,3,1,3,1,211,4,220,17,17,3,3,21,529,0.6960526315789474
610,0,34,2,2,2,6,2,5,263,0,244,28,16,0,5,24,633,0.7757352941176471
611,1,24,2,0,0,1,0,4,221,2,282,29,16,6,6,18,612,0.7564894932014833
612,0,16,1,1,2,4,2,7,224,3,240,21,18,5,1,19,564,0.727741935483871
613,1,23,4,3,1,4,1,10,201,8,247,26,13,2,2,25,571,0.6912832929782082
614,0,30,1,3,4,2,3,3,322,2,276,34,42,4,9,37,772,0.738755980861244
615,0,20,2,0,1,3,2,7,157,4,186,19,20,3,1,23,448,0.6696562032884903
616,0,21,1,0,1,3,1,3,195,0,143,19,17,0,2,11,417,0.7393617021276596
617,1,28,3,4,2,5,1,8,288,0,322,31,36,3,6,47,785,0.7248384118190212
618,1,33,1,3,3,8,2,4,281,7,299,46,27,4,2,42,763,0.7336538461538461
619,0,25,1,2,2,0,2,3,274,2,223,39,30,9,3,18,633,0.7608173076923077
620,0,17,1,7,0,5,5,8,248,2,278,22,24,6,4,31,658,0.6985138004246284
621,1,22,1,1,1,5,6,4,275,2,264,37,33,5,0,22,679,0.7301075268817204
622,0,27,0,2,1,0,0,4,211,0,211,24,20,2,4,29,535,0.7348901098901099
623,0,24,1,5,3,3,1,2,257,0,220,28,16,5,3,17,585,0.7267080745341615
624,1,20,1,1,1,6,3,7,224,1,237,35,33,11,3,22,606,0.7336561743341404
625,0,19,1,0,2,6,2,2,220,0,210,24,21,5,1,21,534,0.736551724137931
626,0,23,0,3,1,3,4,7,343,3,284,51,38,9,4,29,802,0.7638095238095238
627,0,13,2,3,1,2,2,12,249,0,247,21,20,5,1,18,596,0.6987104337631888
628,0,24,3,4,1,2,3,6,302,2,263,32,29,4,2,20,697,0.715605749486653
629,0,17,1,3,2,3,1,4,185,0,191,20,11,4,3,14,459,0.7637271214642263
630,0,19,1,2,0,2,2,3,236,2,319,29,26,2,9,21,673,0.7411894273127754
631,0,21,0,3,0,3,2,5,314,4,286,36,19,1,5,30,729,0.789815817984832
632,0,9,1,2,0,3,1,7,187,0,195,20,17,4,2,18,466,0.7191358024691358
633,0,30,0,4,0,6,2,6,231,2,274,14,14,3,8,25,619,0.7670384138785625
634,0,17,0,2,1,5,0,7,252,4,263,32,22,1,3,38,647,0.799752781211372
635,0,22,3,4,1,7,3,4,268,0,354,35,14,1,5,24,745,0.7728215767634855
636,2,29,1,2,2,4,2,6,282,0,253,32,20,5,5,28,673,0.746119733924612
637,2,12,1,0,2,1,1,5,274,0,306,35,22,3,2,33,699,0.8524390243902439
638,0,29,1,0,3,1,0,3,188,2,282,26,16,3,2,33,589,0.8354609929078014
639,0,18,0,1,4,3,0,6,190,0,308,36,14,2,0,18,600,0.8633093525179856
640,0,22,0,2,0,1,0,3,255,1,223,30,29,5,2,15,588,0.7967479674796748
641,0,25,1,4,1,2,1,6,288,5,285,24,24,2,0,35,703,0.762472885032538
642,1,26,0,1,0,1,1,4,240,1,269,32,32,1,1,16,626,0.8346666666666667
643,0,21,3,1,0,4,1,4,232,2,176,22,30,5,2,6,509,0.7965571205007824
644,0,26,3,2,1,3,3,7,223,0,376,48,28,5,8,28,761,0.49967170059093896
645,0,42,2,1,0,10,3,7,282,0,400,79,24,10,4,36,900,0.8356545961002786
646,0,25,0,0,1,4,0,7,225,4,350,48,21,3,4,41,733,0.7864806866952789
647,0,16,4,3,1,2,1,1,209,1,382,51,15,3,4,24,717,0.4729551451187335
648,1,35,5,4,1,6,4,3,242,0,403,77,19,1,6,44,851,0.8392504930966469
649,1,14,5,1,0,3,1,6,193,0,455,36,15,8,5,32,775,0.8175105485232067
650,0,19,3,1,0,1,1,3,209,1,332,54,21,2,1,29,677,0.8316953316953317
651,0,27,10,2,1,3,6,2,252,1,431,64,22,3,4,37,865,0.8472086190009794
652,0,28,1,3,1,5,2,2,247,1,415,55,17,7,5,34,823,0.801363193768257
653,0,32,4,1,1,3,1,1,169,0,347,48,14,4,4,33,662,0.8203221809169765
654,1,25,6,1,1,3,0,5,226,1,329,36,16,5,4,21,680,0.85
655,2,32,3,2,0,7,2,9,322,4,237,44,28,6,3,32,733,0.7186274509803922
656,0,37,2,1,5,4,1,13,273,4,275,33,21,2,2,25,698,0.7107942973523421
657,1,27,1,4,1,2,2,7,226,4,392,28,31,10,3,32,771,0.7485436893203884
658,0,26,1,0,1,5,1,4,174,2,246,14,15,4,2,13,508,0.6978021978021978
659,0,11,1,1,1,4,4,7,111,2,252,27,18,6,3,27,475,0.7433489827856025
660,1,25,0,1,0,3,1,8,191,0,220,16,26,1,1,14,508,0.7104895104895105
661,0,29,7,1,1,5,5,7,268,4,333,31,29,10,4,26,760,0.7357212003872217
662,2,39,7,6,1,5,2,6,294,2,317,50,27,10,5,13,786,0.7813121272365805
663,0,37,5,2,3,6,0,7,238,0,302,31,24,2,3,10,670,0.7158119658119658
664,0,45,2,4,1,6,1,6,286,1,228,36,29,2,2,12,661,0.7511363636363636
665,0,37,3,2,4,2,1,4,272,0,262,34,28,7,3,39,698,0.7807606263982103
666,1,45,6,6,2,3,3,5,266,0,310,35,35,3,2,18,740,0.7838983050847458
667,0,54,4,2,0,5,3,8,301,0,255,26,23,4,2,15,702,0.7905405405405406
668,1,31,3,3,0,3,1,8,276,4,257,32,20,4,4,33,680,0.7623318385650224
669,0,31,4,2,0,3,2,4,261,0,348,49,32,1,4,25,766,0.7937823834196891
670,1,30,0,4,0,9,1,5,306,2,248,29,29,8,4,22,698,0.7636761487964989
671,0,42,5,1,2,4,3,4,250,1,310,29,37,11,10,27,736,0.7854855923159018
672,0,51,3,1,2,5,1,6,289,0,309,33,23,5,6,31,765,0.7427184466019418
673,0,55,17,6,0,5,1,5,251,0,287,33,21,4,4,14,703,0.7863534675615212
674,0,40,1,1,4,5,0,8,235,1,238,23,21,3,3,27,610,0.42627533193570927
675,0,63,2,2,3,4,0,10,310,2,243,41,20,5,2,22,729,0.7304609218436874
676,0,37,0,2,2,4,1,6,243,3,340,29,12,3,7,26,715,0.7121513944223108
677,0,17,1,0,0,3,1,1,186,0,100,31,16,2,1,13,372,0.3597678916827853
678,0,33,1,2,1,1,2,9,270,1,179,24,21,2,3,16,565,0.4136163982430454
679,0,15,4,2,4,7,3,7,317,2,318,50,12,4,2,27,774,0.7378455672068637
680,0,18,1,3,1,5,1,4,341,0,274,39,29,3,3,17,739,0.7517802644964394
681,0,19,0,1,3,6,1,4,382,1,292,26,14,6,3,23,781,0.5496129486277269
682,1,19,1,3,3,3,4,8,279,0,273,33,25,3,2,15,672,0.7073684210526315
683,1,7,0,2,1,1,1,4,224,0,161,18,10,3,7,14,454,0.7681895093062606
684,1,22,1,1,3,8,6,14,290,1,213,17,32,12,0,39,660,0.6088560885608856
685,0,20,4,4,1,4,1,8,256,0,238,20,30,10,4,30,630,0.7070707070707071
686,1,25,0,1,0,8,5,17,290,1,212,41,27,4,7,28,667,0.7773892773892774
687,1,46,2,2,3,3,3,10,299,2,321,36,27,10,4,26,795,0.7809430255402751
688,0,26,0,2,1,8,5,11,306,0,312,30,20,14,2,27,764,0.7549407114624506
689,0,27,1,6,1,5,1,9,315,1,358,48,37,11,2,22,844,0.7502222222222222
690,0,47,5,2,1,7,1,5,370,3,240,28,27,6,4,28,774,0.7322611163670766
691,1,18,2,1,2,7,5,6,325,1,231,30,35,4,2,28,698,0.6897233201581028
692,2,32,1,1,1,5,1,12,359,4,212,15,38,10,3,22,718,0.7557894736842106
693,0,20,1,2,0,4,2,5,356,4,198,11,20,8,0,12,643,0.7065934065934066
694,1,29,2,1,1,1,2,9,259,2,208,23,27,5,2,29,601,0.7540777917189461
695,0,27,0,1,0,2,1,2,189,1,140,9,20,1,0,3,396,0.6947368421052632
696,0,18,0,2,2,2,0,2,222,0,142,12,7,1,1,12,423,0.7567084078711985
697,1,38,3,1,2,8,5,6,273,2,302,36,41,7,4,28,757,0.5752279635258358
698,0,21,3,1,1,2,1,9,276,3,296,25,14,3,5,20,680,0.4988994864269993
699,1,28,0,4,2,2,0,6,277,0,297,20,29,3,1,32,702,0.7105263157894737
700,0,17,0,2,4,6,3,4,251,2,237,34,22,1,5,23,611,0.7552533992583437
701,0,25,0,0,0,2,2,5,259,0,216,22,22,2,2,14,571,0.7023370233702337
702,0,24,1,0,1,2,3,6,231,0,190,21,26,7,5,9,526,0.7060402684563758
703,1,10,2,1,0,1,2,3,160,0,147,20,16,5,4,20,392,0.6577181208053692
704,0,13,1,4,4,8,2,13,225,1,243,25,24,7,1,41,612,0.7183098591549296
705,0,16,1,2,1,3,0,4,212,1,219,22,20,2,2,15,520,0.7017543859649122
706,0,20,1,1,2,2,1,5,264,1,176,19,16,6,1,21,536,0.7272727272727273
707,0,35,2,6,3,4,4,5,262,0,293,29,20,8,3,15,689,0.7448648648648649
708,1,18,0,1,1,3,2,5,199,2,166,19,19,4,1,16,457,0.6691068814055637
709,1,19,3,1,2,2,2,11,265,2,266,35,25,2,3,17,656,0.7488584474885844
710,0,41,3,0,2,3,0,16,288,7,269,27,25,3,9,28,721,0.7769396551724138
711,0,32,0,6,2,5,1,12,281,1,291,40,30,4,0,30,735,0.7577319587628866
712,2,45,0,1,3,6,6,17,366,3,211,23,38,5,4,27,757,0.7524850894632207
713,1,26,1,1,3,4,2,12,340,0,192,19,32,1,2,18,654,0.7282850779510023
714,1,26,1,0,0,5,0,25,340,3,299,27,31,6,3,26,793,0.7588516746411483
715,0,24,1,14,1,6,2,12,299,0,293,40,25,5,1,25,748,0.732615083251714
716,0,27,2,3,3,6,3,13,337,3,292,29,25,2,3,29,777,0.7378917378917379
717,1,27,2,2,2,8,3,7,283,2,339,41,17,12,4,25,775,0.7924335378323109
718,0,13,5,5,0,3,1,12,307,0,213,23,21,1,2,20,626,0.7262180974477959
719,1,24,4,5,5,8,3,12,256,2,278,19,19,1,2,33,672,0.732824427480916
720,0,21,0,3,1,1,4,18,284,1,278,34,21,6,2,24,698,0.7887005649717514
721,1,17,1,0,3,2,3,15,240,3,248,19,25,5,0,23,605,0.6906392694063926
722,1,25,1,5,2,5,2,7,289,0,265,30,25,6,3,25,691,0.7560175054704595
723,0,22,2,1,1,5,1,13,308,2,297,32,25,3,0,17,729,0.7625523012552301
724,0,38,0,2,1,5,1,17,323,0,269,23,35,3,3,19,739,0.7681912681912682
725,1,27,2,1,1,9,2,16,279,4,246,25,25,4,1,17,660,0.732519422863485
726,0,16,1,1,1,9,1,11,235,2,201,17,8,3,1,8,515,0.7274011299435028
727,0,16,0,1,2,2,2,3,232,0,173,12,19,2,2,13,479,0.7484375
728,1,19,2,2,2,10,0,9,303,4,230,32,29,5,3,26,677,0.7555803571428571
729,0,24,0,3,1,3,3,15,205,0,216,38,25,3,8,16,560,0.7943262411347518
730,1,21,1,2,3,6,1,14,325,0,293,29,34,7,3,26,766,0.7337164750957854
731,0,19,1,0,0,3,0,9,320,2,231,27,39,3,3,21,678,0.7361563517915309
732,1,20,1,5,1,6,0,15,288,1,197,15,17,6,1,26,600,0.7109004739336493
733,2,19,0,1,1,0,1,5,261,0,264,37,29,3,1,23,647,0.7462514417531718
734,1,18,1,1,1,6,1,16,208,3,225,30,16,2,4,9,542,0.7855072463768116
735,0,14,0,3,0,2,5,8,204,0,186,17,16,1,1,28,485,0.7531055900621118
736,0,9,0,1,0,2,2,10,159,0,160,16,18,3,0,27,407,0.3959143968871595
737,1,16,0,1,3,4,2,8,207,2,154,14,13,3,3,13,444,0.39431616341030196
738,0,11,1,1,2,4,3,8,201,1,183,26,19,11,6,18,495,0.6281725888324873
739,0,14,1,6,0,3,2,5,183,0,218,24,26,9,3,14,508,0.4294167371090448
740,0,7,0,3,1,1,2,10,161,2,151,10,10,3,2,24,387,0.3824110671936759
741,0,17,2,1,0,6,1,10,180,1,159,21,17,2,1,21,439,0.3330804248861912
742,1,17,0,1,4,5,3,11,185,0,176,14,16,4,2,14,453,0.6213991769547325
743,0,14,0,2,1,1,2,7,189,0,109,3,8,1,1,11,349,0.3146979260595131
744,0,11,0,4,0,3,1,10,156,0,129,9,6,4,2,9,344,0.32575757575757575
745,0,18,0,2,3,5,0,9,170,1,177,11,20,1,0,26,443,0.38825591586327785
746,0,8,1,0,2,3,1,7,220,1,152,13,10,3,0,26,447,0.6898148148148148
747,0,14,0,1,1,3,2,13,186,0,156,6,11,3,1,11,408,0.576271186440678
748,0,19,1,2,1,3,2,1,205,3,130,12,12,7,0,13,411,0.6236722306525038
749,2,41,2,3,2,6,3,10,273,0,307,25,24,11,2,32,743,0.7241715399610137
750,0,9,0,2,0,3,2,21,237,2,246,21,13,6,2,27,591,0.7685305591677504
751,0,14,3,3,1,4,2,9,236,2,178,9,13,1,1,24,500,0.5643340857787811
752,1,32,1,0,1,6,3,6,262,4,194,18,26,6,2,24,586,0.6758938869665513
753,0,33,0,3,1,4,0,7,255,1,241,14,26,4,0,29,618,0.7152777777777778
754,1,44,4,2,1,5,0,8,291,0,247,39,21,1,0,16,680,0.7666290868094702
755,0,21,1,3,0,2,2,12,288,2,302,23,19,3,3,11,692,0.7688888888888888
756,0,18,2,1,0,5,0,7,262,2,300,19,23,1,2,30,672,0.7576099210822999
757,0,37,2,0,3,4,2,9,280,0,246,24,24,2,5,23,661,0.7694994179278231
758,0,21,3,5,4,3,3,15,335,5,324,34,29,4,1,16,802,0.7587511825922422
759,0,33,1,1,2,4,3,15,336,0,277,39,29,1,4,15,760,0.7669021190716448
760,2,39,2,3,0,5,3,14,328,5,269,34,37,6,6,18,771,0.7442084942084942
761,0,22,4,1,0,6,3,16,345,0,259,36,24,5,4,21,746,0.7730569948186529
762,0,22,1,2,2,4,2,10,351,2,216,27,20,8,0,25,692,0.7654867256637168
763,0,20,3,4,2,9,1,9,357,1,273,26,21,8,4,34,772,0.7262464722483537
764,1,31,3,0,3,2,0,20,348,1,234,32,34,2,7,17,735,0.7205882352941176
765,0,22,1,0,1,2,0,8,357,3,275,29,29,3,2,18,750,0.7763975155279503
766,0,21,0,4,4,6,4,21,424,2,199,35,31,6,2,17,776,0.7512100677637947
767,0,32,0,1,1,3,0,16,254,2,240,15,34,5,0,18,621,0.7271662763466042
768,1,18,1,1,1,3,2,10,291,2,209,23,15,3,3,15,598,0.7617834394904459
769,0,14,0,2,2,4,5,8,316,0,208,28,7,4,3,12,613,0.7484737484737485
770,0,23,3,5,0,7,4,10,359,2,279,20,18,2,3,14,749,0.7777777777777778
771,1,20,2,2,1,3,1,12,405,0,198,29,19,1,1,17,712,0.7739130434782608
772,0,26,1,0,2,1,0,3,229,2,207,30,19,5,7,14,546,0.7604456824512534
773,0,25,1,1,3,1,1,3,282,1,194,19,21,4,1,30,587,0.7506393861892583
774,1,25,1,3,2,2,2,4,257,2,200,16,17,3,2,11,548,0.7762039660056658
775,0,20,0,1,2,6,2,9,397,1,240,37,22,5,3,18,763,0.7064814814814815
776,2,24,1,1,1,6,1,15,417,1,199,27,21,8,4,41,769,0.7100646352723915
777,0,23,3,0,2,6,3,28,394,0,223,35,29,10,1,24,781,0.7473684210526316
778,0,26,3,0,2,1,1,16,401,1,253,28,36,8,2,23,801,0.7355371900826446
779,2,22,5,2,1,4,1,22,419,1,264,19,22,1,1,6,792,0.7115902964959568
780,1,21,1,5,4,8,6,16,439,1,286,27,22,4,4,15,860,0.7733812949640287
781,0,13,2,4,1,3,2,9,434,3,198,37,20,4,1,15,746,0.72568093385214
782,0,18,2,3,4,4,0,7,405,0,250,29,23,6,2,14,767,0.7367915465898175
783,0,25,0,4,4,5,3,8,336,2,264,22,22,3,4,25,727,0.7580813347236705
784,0,25,8,2,5,2,6,11,315,2,222,19,31,7,0,12,667,0.7562358276643991
785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
786,1,15,3,5,2,4,0,13,259,0,218,22,20,2,1,24,589,0.759020618556701
787,4,30,2,3,1,6,4,10,337,0,250,30,33,6,2,23,741,0.7387836490528414
788,1,17,3,24,4,2,1,9,370,6,200,31,39,9,1,17,734,0.7489795918367347
789,0,19,3,4,1,5,1,15,402,2,270,25,16,2,2,15,782,0.771964461994077
790,0,19,5,4,1,3,2,7,332,1,222,26,27,3,2,18,672,0.7636363636363637
791,1,19,0,5,1,3,0,5,371,0,286,27,30,6,2,22,778,0.7710604558969276
792,0,36,1,4,1,7,1,1,368,0,246,43,38,6,3,12,767,0.794818652849741
793,0,18,3,21,2,4,2,11,298,2,177,20,22,4,3,7,594,0.7481108312342569
794,1,27,1,4,2,5,1,17,330,1,250,26,23,5,2,13,708,0.735202492211838
795,0,22,4,2,1,0,4,11,327,3,230,25,17,3,2,31,682,0.754424778761062
796,0,29,0,4,2,4,2,17,320,0,314,33,30,2,2,17,776,0.7630285152409046
797,1,23,1,0,1,8,0,6,329,0,249,23,18,4,3,20,686,0.784
798,1,35,2,2,1,3,2,12,312,0,229,22,24,4,1,15,665,0.7832744405182568
799,1,46,2,1,2,2,3,13,414,4,209,24,25,5,3,14,768,0.7456310679611651
800,0,20,1,4,2,6,3,12,316,0,325,27,26,4,5,17,768,0.7741935483870968
801,0,39,2,1,1,2,4,11,364,2,342,26,37,4,4,12,851,0.8051087984862819
802,0,47,2,2,2,5,2,13,392,3,280,29,26,4,1,16,824,0.7915465898174832
803,0,33,2,2,2,4,4,8,283,1,321,39,26,5,3,19,752,0.7394296951819076
804,0,31,1,1,1,3,6,10,349,1,250,23,34,5,1,22,738,0.7703549060542797
805,0,39,0,1,3,5,0,7,292,2,217,30,31,6,2,15,650,0.7454128440366973
806,1,10,1,2,1,2,0,8,300,0,254,32,22,2,4,25,664,0.8058252427184466
807,0,33,5,4,2,1,2,14,309,0,287,49,25,3,2,19,755,0.7711950970377937
808,0,23,3,3,0,4,1,10,256,6,334,42,27,2,8,26,745,0.7625383828045036
809,0,23,0,3,4,8,2,8,264,0,235,38,22,6,2,16,631,0.7146092865232163
810,0,17,1,2,1,3,2,4,250,0,302,21,28,10,3,24,668,0.6958333333333333
811,0,20,1,3,2,5,1,9,292,1,272,26,33,6,2,23,696,0.7776536312849162
812,0,31,7,1,2,3,1,10,308,1,266,38,26,4,2,14,714,0.7595744680851064
813,0,17,2,3,2,1,2,8,222,1,290,28,20,0,7,20,623,0.7560679611650486
814,0,8,4,0,3,1,3,9,158,1,170,7,15,2,1,21,403,0.6277258566978193
815,0,20,1,1,2,6,1,10,279,5,303,29,27,4,10,24,722,0.7568134171907757
816,0,22,0,1,2,1,2,5,229,1,197,17,12,6,3,17,515,0.6405472636815921
817,0,11,2,1,0,0,1,0,156,0,133,19,11,3,1,16,354,0.32536764705882354
818,0,18,2,0,0,0,4,7,249,3,223,29,16,1,2,14,568,0.4303030303030303
819,0,28,8,6,2,1,5,6,348,0,325,35,32,3,4,36,839,0.7797397769516728
820,0,35,4,0,3,4,3,15,307,2,320,31,27,4,5,27,787,0.5484320557491289
821,0,43,7,1,2,1,6,5,447,0,339,59,22,0,1,18,951,0.8821892393320965
822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
823,1,35,3,2,3,9,3,17,312,4,335,33,38,5,1,24,825,0.7971014492753623
824,0,35,1,0,2,3,2,12,373,0,275,33,44,4,9,24,817,0.7758784425451092
825,2,27,4,1,2,2,1,10,383,2,277,35,28,6,6,30,816,0.7438468550592525
826,0,28,5,2,2,5,1,16,280,5,336,33,16,4,2,42,777,0.8010309278350516
827,0,25,4,2,1,5,4,19,262,0,363,74,30,11,8,33,841,0.8063279002876318
828,0,15,3,1,2,2,1,2,213,1,231,21,11,3,5,32,543,0.4582278481012658
829,2,40,2,1,2,2,0,3,189,0,189,35,16,2,1,33,517,0.3541095890410959
830,2,16,3,0,0,0,2,5,166,1,290,29,15,3,10,41,583,0.7092457420924574
831,1,19,6,1,2,2,2,3,244,3,284,34,17,1,10,30,659,0.5011406844106464
832,0,30,8,1,1,0,0,1,220,3,204,18,10,4,6,17,523,0.42008032128514056
833,1,26,13,1,1,1,2,3,219,1,298,44,16,4,12,30,672,0.7706422018348624
834,0,10,5,1,2,1,5,2,163,0,261,27,14,2,9,37,539,0.7082785808147175
835,1,30,4,1,2,2,0,3,258,1,276,37,19,2,3,38,677,0.7415115005476451
836,0,31,8,2,1,1,4,1,261,3,269,27,17,3,3,36,667,0.7649082568807339
837,0,47,5,0,1,1,3,2,248,0,308,22,17,3,9,28,694,0.7719688542825361
838,0,51,10,4,3,1,2,0,272,4,333,40,23,7,12,30,792,0.8048780487804879
839,0,24,5,1,1,1,4,2,245,1,304,37,20,2,7,32,686,0.744842562432139
840,0,48,5,1,0,1,0,2,156,5,109,13,8,0,2,13,363,0.726
841,0,10,3,0,0,2,3,4,225,1,223,30,21,1,10,20,553,0.8002894356005789
842,0,30,1,3,0,3,4,8,284,4,322,62,38,8,7,37,811,0.7454044117647058
843,1,63,15,0,2,0,3,1,259,2,319,19,8,0,2,6,700,0.7518796992481203
844,0,28,3,3,0,2,3,8,323,3,237,50,29,4,4,19,716,0.4766977363515313
845,1,34,3,0,1,0,0,4,332,2,254,17,12,8,7,19,694,0.8242280285035629
846,2,21,7,0,2,1,3,3,218,2,401,39,10,8,12,40,769,0.5288858321870702
847,2,46,14,3,1,2,5,2,220,1,333,30,13,1,6,41,720,0.7331975560081466
848,1,40,3,2,0,4,2,8,307,0,367,58,42,6,2,39,881,0.8038321167883211
849,1,27,0,1,1,6,1,2,255,3,283,39,34,4,5,40,702,0.8115606936416185
850,0,36,2,6,2,4,2,3,350,1,239,45,48,3,5,28,774,0.849615806805708
851,1,36,6,3,0,2,5,2,226,1,323,34,16,6,8,39,708,0.7754654983570646
852,2,31,0,3,1,2,3,2,228,0,321,14,13,10,11,60,701,0.7537634408602151
853,0,51,5,1,1,3,3,2,251,0,236,31,14,1,8,13,620,0.7654320987654321
854,0,24,11,0,2,2,2,1,258,2,350,45,27,8,5,27,764,0.7740628166160081
855,0,26,5,0,0,2,2,4,218,2,226,25,14,1,3,19,547,0.4131419939577039
856,1,21,7,1,2,0,0,2,164,0,180,29,12,0,3,17,439,0.4287109375
857,0,27,1,4,0,5,1,2,146,3,259,29,15,5,7,21,525,0.4082426127527216
858,0,26,3,3,2,4,4,2,260,4,310,45,33,1,6,28,731,0.5455223880597015
859,0,22,3,1,1,3,1,3,228,0,247,29,10,4,4,29,585,0.4613564668769716
860,0,40,1,4,3,5,2,9,245,1,298,29,26,7,10,42,722,0.5153461812990721
861,0,25,4,2,3,4,4,6,256,6,314,34,16,8,5,62,749,0.5661375661375662
862,0,21,1,1,0,1,3,6,132,0,172,28,17,0,1,16,399,0.8489361702127659
863,0,16,7,1,4,5,3,7,276,0,297,39,24,3,4,49,735,0.7270029673590505
864,1,26,5,0,0,4,2,3,236,0,322,35,23,3,5,35,700,0.5691056910569106
865,0,31,5,0,3,2,3,4,285,0,391,50,26,3,3,27,833,0.7873345935727788
866,0,26,6,0,1,1,3,3,228,1,346,21,24,5,7,32,704,0.7619047619047619
867,2,24,11,1,2,0,3,1,137,2,263,29,17,2,1,21,516,0.7277856135401974
868,2,38,2,0,0,8,0,1,226,0,281,38,19,2,4,40,661,0.7850356294536817
869,0,32,5,1,1,1,0,7,227,0,310,26,18,9,5,35,677,0.743139407244786
870,0,24,2,0,2,6,1,2,164,2,276,37,13,7,4,37,577,0.7406931964056482
871,0,16,4,0,2,1,1,5,199,4,238,34,13,0,1,29,547,0.7273936170212766
872,0,28,5,0,0,1,1,8,229,1,252,33,15,4,2,21,600,0.7926023778071334
873,0,29,13,1,1,5,0,3,258,0,308,22,31,1,4,27,703,0.7925591882750845
874,1,24,8,0,1,2,0,5,241,1,241,32,16,1,0,28,601,0.7447335811648079
875,0,18,1,2,1,2,2,4,204,0,209,36,18,2,3,14,516,0.7644444444444445
876,0,32,7,3,2,6,2,3,301,4,307,38,28,5,8,28,774,0.7640671273445212
877,2,40,6,2,0,6,1,6,296,3,333,52,36,0,8,35,826,0.7495462794918331
878,0,28,2,2,0,3,3,6,282,5,353,60,27,6,10,35,822,0.7653631284916201
879,0,29,5,2,3,1,3,3,264,1,272,28,19,2,6,20,658,0.7975757575757576
880,4,26,2,1,0,3,4,8,217,5,334,49,24,2,5,24,708,0.7712418300653595
881,2,12,2,0,0,0,0,3,184,0,207,15,19,1,2,31,478,0.7242424242424242
882,0,19,4,2,0,1,2,1,177,0,223,14,21,0,2,14,480,0.7250755287009063
883,0,35,1,1,1,3,3,2,250,1,306,45,13,5,1,24,691,0.7281348788198103
884,0,27,4,1,0,4,1,2,198,0,237,39,14,3,5,20,555,0.7097186700767263
885,2,18,5,0,0,3,1,6,227,0,196,21,15,3,2,16,515,0.8034321372854915
886,0,36,2,1,0,0,0,5,261,2,329,50,23,1,3,15,728,0.7921653971708379
887,1,26,5,0,3,2,1,3,231,0,278,47,23,4,5,33,662,0.776084407971864
888,0,22,7,3,2,2,1,3,226,0,270,34,13,4,3,18,608,0.8294679399727148
889,1,10,3,2,2,7,2,8,290,1,309,28,22,1,1,12,699,0.7191358024691358
890,0,28,6,2,3,0,1,1,276,1,354,35,34,8,1,30,780,0.8074534161490683
891,0,26,6,1,1,0,1,3,315,0,294,34,18,2,3,16,720,0.8323699421965318
892,0,23,1,2,0,0,4,4,210,0,215,22,19,2,4,7,513,0.8194888178913738
893,0,27,2,5,0,2,0,3,221,0,233,30,25,0,4,12,564,0.7877094972067039
894,0,27,4,2,0,3,2,5,213,1,251,52,19,3,6,24,612,0.7989556135770235
895,1,20,2,0,2,3,2,3,227,2,234,27,23,3,7,20,576,0.7977839335180056
896,1,34,4,3,0,1,4,3,227,0,232,26,14,2,3,21,575,0.8041958041958042
