tile_id,x,y,people,hc1,hc2,pvhe
2388,20,32,1255,36.218098,4.151749,-0.05518154661472571
2389,21,32,1270,37.736267,4.3181286,-0.03551049014815184
2390,22,32,1081,32.739513,3.4564438,-0.030378822024568986
2391,23,32,847,26.074844,2.4569504,-0.02621734177200401
2392,24,32,667,20.923807,1.7611713,-0.038143933476333824
2393,25,32,7,0.22410093,0.01534434,-0.04022035390828103
2394,26,32,83,2.7739284,0.20694362,-0.0569569496226474
2395,27,32,481,17.032015,1.5984479,-0.06438471643507862
2396,28,32,1628,60.972836,7.1767516,-0.0720423906976239
2397,29,32,818,31.47418,3.4574437,-0.06109336242491274
2398,30,32,196,7.6356926,0.74098015,-0.06448114904805434
2399,31,32,547,21.632084,2.0980437,-0.06995884141298508
2400,32,32,963,38.74741,3.8986368,-0.05424004223430942
2401,33,32,375,15.373793,1.5298028,-0.07204956005901389
2402,34,32,1842,78.07745,9.693488,-0.08128801529417712
2403,35,32,895,38.138126,4.3826113,-0.07892924560584008
2404,36,32,1428,61.18164,7.2271733,-0.08657937233460097
2405,37,32,1211,51.89454,6.061524,-0.09091822918881819
2406,38,32,1267,53.6495,5.8384166,-0.08671411593525633
2407,39,32,626,26.132614,2.499597,-0.0829182927688528
2408,40,32,1108,46.434532,4.807663,-0.08671974552471977
2409,41,32,1400,58.770763,6.3652315,-0.08568748011769782
2410,42,32,907,37.729034,3.8095782,-0.061112081195437526
2411,43,32,1255,51.883972,5.3372383,-0.08235691546576238
2412,44,32,1080,44.047226,4.263637,-0.06686869970214095
2413,45,32,595,23.779848,1.9787028,-0.06844766743529968
2414,46,32,279,10.982949,0.805504,-0.0580678562385429
2415,47,32,505,19.819729,1.4770027,-0.06266264647552619
2416,48,32,95,3.7209458,0.25782445,-0.07876068094358082
2417,49,32,144,5.683656,0.4142662,-0.07928331959709886
2418,50,32,305,12.212085,0.9890149,-0.07913884182968756
2419,51,32,770,31.49664,3.06765,-0.06523474898179023
2420,52,32,1045,43.255375,4.590866,-0.07544601446141722
2421,53,32,762,31.563475,3.371996,-0.07402334397441585
2423,55,32,169,6.7708173,0.64921546,-0.07713767919078796
2424,56,32,319,12.456071,1.1860335,-0.07196179465831079
2425,57,32,609,22.994305,2.15943,-0.0705612258897027
2426,58,32,613,22.290346,2.0413225,-0.06902260380241793
2427,59,32,160,5.5489006,0.44486636,-0.06621745124825976
