SEZIONE,+Europa,Casapound Italia,Civica Popolare Lorenzin,Forza Italia,Fratelli d'Italia con Giorgia ,Il Popolo della Famiglia,Italia Europa Insieme,Italia agli Italiani,Lega,Liberi e Uguali,Movimento 5 Stelle,Noi con l'Italia - UDC,Partito Democratico,Partito Repubblicano Italiano ,Per Una Sinistra Rivoluzionari,Potere al Popolo!,TOTALE,AFFLUENZA
718,35,1,0,63,14,2,7,0,81,34,89,1,82,0,1,15,425,0.5434782608695652
719,41,1,1,64,12,0,4,1,65,36,86,1,111,1,1,11,436,0.6166902404526167
721,68,3,2,84,23,0,8,3,69,23,65,3,123,0,1,5,480,0.5904059040590406
724,32,1,0,56,12,4,5,2,45,16,42,5,132,1,0,5,358,0.6057529610829103
725,39,0,2,60,22,1,2,4,75,28,66,1,140,2,2,11,455,0.6156968876860622
726,17,3,1,99,8,6,6,4,75,26,127,5,123,0,2,5,507,0.6236162361623616
727,49,3,5,75,22,1,7,1,60,38,79,11,161,2,0,9,523,0.6595208070617906
728,70,4,3,90,23,1,5,3,76,25,63,10,167,0,1,3,544,0.6468489892984542
729,29,1,1,81,17,3,2,3,81,23,84,4,120,0,2,11,462,0.5833333333333334
731,64,1,3,68,26,3,8,2,75,25,81,15,152,0,2,18,543,0.641086186540732
734,70,1,2,80,31,1,7,3,62,32,96,20,135,0,0,2,542,0.5923497267759563
736,53,3,2,80,27,1,6,2,101,30,103,11,159,0,1,5,584,0.6438809261300992
738,13,3,0,82,8,1,1,2,84,12,85,2,101,0,0,7,401,0.6112804878048781
739,60,3,2,42,12,4,4,3,39,22,55,3,134,0,1,12,396,0.5585331452750353
740,59,1,6,94,35,1,6,6,72,34,84,12,167,0,0,4,581,0.6535433070866141
741,52,0,1,63,15,2,1,2,91,37,78,5,131,1,0,11,490,0.6282051282051282
743,34,4,1,78,19,4,3,1,81,33,82,3,105,0,3,13,464,0.5382830626450116
