SEZIONE,AN,Altern. Sociale,Comunisti It.,DC - Nuovo PSI,Forza Italia,Italia Valori,L'Ulivo,Lega Nord,M.S.Fiamma Tr.,No Euro,Pensionati,Rif. Comunista,Rosa nel pugno,UDC,UDEUR,Verdi,TOTALE,AFFLUENZA
941,33,4,16,2,163,9,139,31,5,2,16,38,6,21,0,10,495,0.7041251778093883
942,50,5,5,4,136,15,110,44,6,2,25,39,13,26,2,13,495,0.7568807339449541
945,70,5,14,1,183,17,187,74,1,1,13,37,17,32,3,19,674,0.8446115288220551
946,43,3,10,3,137,21,158,23,4,3,39,38,11,5,7,15,520,0.8024691358024691
947,51,10,22,1,183,18,139,42,6,1,15,42,15,20,5,16,586,0.833570412517781
948,144,15,12,6,221,30,158,44,9,2,12,54,16,21,2,23,769,0.9057714958775029
951,90,8,20,9,149,19,265,50,5,3,14,50,34,21,5,27,769,0.9004683840749415
952,110,7,5,6,243,18,166,27,5,0,3,25,29,34,0,8,686,0.9621318373071529
953,93,6,8,2,175,19,157,36,7,1,3,31,13,32,0,9,592,0.7978436657681941
954,84,2,18,2,177,23,210,41,3,2,13,63,18,29,0,19,704,0.8822055137844611
955,68,12,16,6,197,14,202,54,4,3,9,52,26,44,4,13,724,0.9246487867177522
956,38,5,13,4,134,11,170,35,4,2,18,70,12,8,2,10,536,0.8
957,2,2,4,3,16,2,13,0,0,0,6,4,1,3,2,0,58,0.6904761904761905
959,83,12,17,1,201,19,215,42,5,4,13,57,18,18,1,24,730,0.8381171067738232
960,109,7,6,4,267,20,183,24,3,2,5,24,31,55,5,9,754,0.9716494845360825
961,100,5,10,2,217,17,173,34,5,1,9,48,34,40,0,13,708,0.9111969111969112
962,106,6,14,3,240,15,183,38,8,1,8,34,14,40,0,19,729,0.894478527607362
963,54,3,9,3,146,12,141,26,3,2,14,29,15,19,0,12,488,0.8442906574394463
964,142,9,12,0,230,19,250,31,1,5,7,41,35,73,3,27,885,0.9123711340206185
965,116,8,7,7,296,18,180,44,1,1,8,38,31,44,4,17,820,0.8779443254817987
968,78,10,12,3,183,21,209,47,2,0,10,47,14,30,2,20,688,0.8786717752234994
969,62,10,7,8,177,12,118,31,3,2,15,38,10,21,0,11,525,0.7731958762886598
970,103,7,8,5,245,14,203,45,5,1,13,52,38,34,6,29,808,0.8977777777777778
971,92,4,14,1,234,26,232,47,1,0,4,39,20,60,4,20,798,0.9140893470790378
973,108,4,11,3,205,19,197,37,5,0,8,60,31,36,4,18,746,0.8977135980746089
974,81,5,13,6,206,19,221,27,3,1,1,52,33,45,0,19,732,0.8948655256723717
976,65,4,21,4,143,11,177,23,2,4,18,58,23,19,2,22,596,0.8130968622100955
978,76,8,8,3,141,16,175,29,2,0,3,65,21,35,2,22,606,0.8924889543446245
979,57,3,15,4,136,13,212,43,3,1,8,47,24,29,6,19,620,0.8104575163398693
981,63,3,19,1,152,16,211,23,2,0,8,71,27,23,5,38,662,0.8132678132678133
982,49,2,17,2,132,26,188,30,5,0,11,64,12,26,2,13,579,0.8177966101694916
983,103,2,4,2,260,12,172,28,2,0,4,20,28,43,3,12,695,0.9242021276595744
984,47,4,13,4,158,9,155,24,1,2,9,47,18,28,0,18,537,0.8633440514469454
985,70,4,9,2,199,13,178,38,1,0,6,56,23,38,2,16,655,0.8291139240506329
986,111,3,12,3,188,18,183,31,5,0,12,47,23,31,2,20,689,0.828125
988,89,3,17,6,193,34,231,27,6,1,6,77,20,34,3,22,769,0.8650168728908887
989,91,6,14,4,200,13,216,51,6,1,7,54,17,33,1,7,721,0.8978829389788294
990,103,9,14,3,228,22,223,25,7,2,11,64,27,42,2,20,802,0.9457547169811321
994,53,6,18,6,179,20,151,21,4,3,21,43,20,33,2,18,598,0.7746113989637305
995,34,3,14,1,149,11,106,18,4,0,16,34,15,17,0,10,432,0.6990291262135923
1001,74,4,18,5,228,12,183,45,3,1,23,53,11,30,5,22,717,0.809255079006772
1003,63,3,9,2,178,9,165,29,3,1,8,58,16,23,2,22,591,0.8277310924369747
1004,68,3,14,2,132,18,247,22,2,1,29,67,20,13,1,25,664,0.907103825136612
1005,96,3,10,3,198,15,158,39,1,3,7,46,16,25,0,21,641,0.8662162162162163
1006,67,4,23,1,180,10,194,31,5,0,7,32,19,34,3,20,630,0.8873239436619719
1007,105,3,2,0,226,15,138,48,1,0,8,27,17,46,3,12,651,0.9407514450867052
1008,61,6,19,5,167,10,182,21,4,0,15,40,19,16,2,18,585,0.8309659090909091
1010,66,4,9,1,125,14,190,29,2,0,5,57,23,16,2,22,565,0.8382789317507419
1012,7,0,5,1,22,0,15,1,4,3,4,5,2,5,1,1,76,0.4810126582278481
1013,69,4,24,4,192,24,271,17,0,3,23,57,25,44,0,28,785,0.9268004722550177
1015,59,1,11,2,138,16,179,41,1,1,12,71,15,31,0,18,596,0.8790560471976401
1016,86,3,17,2,182,10,218,35,2,1,16,45,15,38,2,19,691,0.8791348600508906
1017,101,7,19,4,181,12,247,40,1,1,7,63,40,26,1,19,769,0.8962703962703963
1019,118,5,12,1,270,27,218,42,3,1,7,53,34,42,4,19,856,0.8716904276985743
1020,87,11,12,3,200,16,164,37,3,1,7,50,27,40,1,20,679,0.8682864450127877
1021,122,9,12,1,199,22,256,50,7,4,7,63,30,37,3,28,850,0.8900523560209425
1022,73,1,9,1,202,14,182,26,5,0,16,31,17,33,3,15,628,0.8795518207282913
1023,91,4,4,1,238,4,146,36,1,0,4,23,20,35,3,9,619,0.9225037257824144
1024,79,7,11,0,222,10,185,28,4,1,11,40,17,49,0,20,684,0.8636363636363636
1025,50,15,14,5,162,7,134,24,5,1,10,32,20,25,2,16,522,0.762043795620438
1027,85,9,11,2,186,22,195,42,4,0,10,41,17,22,3,21,670,0.8792650918635171
1028,93,9,16,2,204,13,215,38,2,1,13,42,26,36,2,21,733,0.8523255813953489
1029,61,6,16,5,165,21,167,42,4,3,16,53,19,32,3,20,633,0.8073979591836735
1030,38,4,22,2,141,9,119,22,3,1,24,48,10,13,5,12,473,0.6240105540897097
1032,52,5,6,3,165,28,137,26,1,2,17,45,14,11,1,22,535,0.7058047493403694
1033,82,3,9,4,214,14,234,33,6,0,5,40,25,36,5,20,730,0.8690476190476191
1034,58,6,10,1,174,11,177,36,2,4,24,47,10,36,1,20,617,0.7674129353233831
1035,38,7,12,2,125,11,135,32,2,1,13,40,14,23,1,16,472,0.7140695915279879
1037,153,8,13,5,220,20,265,62,3,1,4,49,32,49,3,35,922,0.9238476953907816
1038,73,5,26,5,158,11,137,33,4,1,20,62,9,30,4,19,597,0.7307221542227662
1039,7,1,0,1,35,0,17,1,3,1,5,2,0,26,0,0,99,0.2964071856287425
1040,2,2,0,1,10,0,12,3,0,0,3,5,1,2,0,1,42,0.19534883720930232
1043,6,1,2,0,7,3,16,4,0,0,0,1,0,8,0,1,49,inf
1044,2,0,1,0,10,2,15,4,2,0,2,3,3,13,1,1,59,0.3010204081632653
1045,82,4,8,1,182,14,172,39,4,1,5,26,14,41,3,18,614,0.8684582743988685
1046,71,1,15,0,164,7,156,33,1,0,5,22,16,27,2,19,539,0.9074074074074074
1048,114,2,17,0,186,29,239,33,3,0,8,47,21,41,4,21,765,0.9053254437869822
1050,96,3,15,5,197,19,229,42,1,1,12,50,33,54,0,30,787,0.8922902494331065
1051,100,3,9,6,180,8,245,38,3,3,11,50,34,32,4,21,747,0.8716452742123687
1052,87,3,17,4,195,24,226,44,0,0,4,60,23,31,4,16,738,0.8692579505300353
1056,80,4,9,3,196,32,187,50,2,2,8,59,43,42,0,16,733,0.8396334478808706
1059,83,5,12,2,199,11,195,44,3,1,8,51,37,44,2,18,715,0.9322033898305084
1062,34,3,13,5,175,17,107,22,3,0,13,33,8,22,1,10,466,0.6743849493487699
1063,65,8,14,1,175,5,167,41,5,2,16,51,24,29,0,8,611,0.7753807106598984
1064,51,3,8,6,206,9,123,50,2,1,10,36,14,26,0,12,557,0.7416777629826897
1068,79,5,10,0,231,12,192,30,3,2,11,55,25,39,1,13,708,0.9053708439897699
1069,49,8,16,2,178,14,162,62,4,2,15,51,17,17,3,15,615,0.7044673539518901
1070,63,3,15,5,180,12,178,31,2,1,10,29,14,25,0,15,583,0.7671052631578947
1072,45,12,12,1,140,13,161,23,7,2,16,47,12,14,1,10,516,0.7554904831625183
1073,78,5,21,1,200,15,202,36,7,2,14,55,16,32,0,19,703,0.8594132029339854
1074,104,4,14,9,185,26,268,53,1,2,13,89,17,37,5,26,853,0.9363336992316136
1075,65,4,17,0,161,13,220,46,6,3,19,62,18,28,2,23,687,0.8460591133004927
1076,80,9,24,3,195,16,187,29,3,6,18,44,20,7,2,15,658,0.8556566970091027
1077,82,2,11,3,194,13,211,32,4,1,11,38,24,36,2,12,676,0.8894736842105263
1078,68,3,18,4,163,14,214,40,3,0,11,36,21,20,2,18,635,0.8604336043360433
1079,87,3,16,1,260,12,151,29,3,0,11,29,23,45,0,12,682,0.8857142857142857
1080,71,1,11,4,182,9,183,45,2,0,11,35,27,60,0,20,661,0.9104683195592287
1081,83,5,10,4,199,23,198,28,3,1,17,43,14,33,3,21,685,0.8467243510506799
1082,72,3,14,2,166,8,152,27,3,0,12,63,13,20,1,18,574,0.7788331071913162
1083,61,4,28,2,208,17,169,32,4,4,12,46,25,14,4,14,644,0.7549824150058617
1084,93,4,19,0,213,22,269,50,4,0,3,50,29,68,4,23,851,0.9838150289017341
1085,60,7,13,5,157,19,208,35,2,3,6,66,10,31,6,12,640,0.863697705802969
1087,97,15,17,4,215,19,192,57,2,1,18,78,29,28,2,23,797,0.8560687432867884
1089,48,3,25,0,96,20,272,21,4,0,14,71,14,18,4,17,627,0.869625520110957
1090,59,3,9,3,209,19,252,39,2,6,17,68,20,40,2,15,763,0.9270959902794653
1092,75,6,15,4,167,17,217,51,2,2,17,54,19,30,0,17,693,0.9289544235924933
1094,68,10,0,3,138,23,227,35,1,3,19,58,26,26,1,22,660,0.8776595744680851
1095,52,6,7,6,104,11,208,28,2,2,4,49,18,28,0,12,537,0.8920265780730897
1096,72,3,8,4,97,23,187,57,2,0,10,39,15,32,0,18,567,0.9219512195121952
1097,72,3,26,7,164,21,256,31,1,5,15,55,21,18,2,12,709,0.8292397660818713
1099,119,3,7,0,287,12,215,29,1,1,0,40,34,57,5,16,826,0.9260089686098655
1100,111,11,7,2,193,10,194,43,2,3,8,44,26,26,3,20,703,0.903598971722365
1102,59,11,23,1,213,14,158,49,3,1,15,44,20,34,1,20,666,0.835633626097867
1103,90,8,7,4,274,13,131,32,7,2,5,26,24,44,3,15,685,0.8815958815958816
1107,102,5,26,4,185,30,285,45,1,1,7,83,19,35,4,36,868,1.0211764705882354
1111,52,4,8,4,156,17,258,54,3,1,12,43,14,17,0,22,665,0.8998646820027063
1112,76,5,11,2,174,12,160,34,2,0,4,33,10,49,2,7,581,0.8870229007633588
1113,45,7,8,3,107,10,109,25,2,0,2,26,11,20,0,8,383,0.888631090487239
1114,94,4,6,1,234,22,182,37,4,0,14,40,18,39,4,17,716,0.8453364817001181
1115,73,18,9,3,195,9,149,32,0,1,9,29,18,19,3,9,576,0.8275862068965517
1116,3,0,4,2,28,2,33,4,1,0,3,1,1,7,1,0,90,inf
1117,101,3,11,3,218,17,187,44,3,1,14,47,26,28,3,25,731,0.8610129564193169
1118,92,5,11,1,213,16,201,53,2,1,9,39,36,48,3,20,750,0.8823529411764706
1119,112,4,13,5,196,20,218,32,2,2,5,58,17,31,6,10,731,0.8519813519813519
1120,82,9,16,4,197,22,161,47,6,2,16,61,22,40,2,23,710,0.8722358722358723
1121,97,3,25,2,224,21,263,55,5,1,18,71,17,39,2,23,866,0.9212765957446809
1123,75,5,22,2,200,14,192,30,4,0,18,47,15,16,1,19,660,0.825
1124,115,1,15,0,219,24,242,35,3,1,3,52,19,52,3,17,801,0.9196326061997704
1125,63,5,14,3,206,22,211,47,4,4,9,61,18,28,8,19,722,0.8585017835909632
1127,58,4,9,2,171,2,157,57,1,2,9,36,18,33,5,15,579,0.8236130867709816
1128,55,11,17,2,170,12,133,27,4,2,12,42,13,19,3,10,532,0.7940298507462686
1130,68,7,18,1,219,14,196,53,1,1,11,49,23,33,2,15,711,0.8723926380368098
1132,63,2,12,1,188,16,248,38,4,2,3,63,20,34,2,31,727,0.895320197044335
1133,74,3,22,6,200,16,164,51,3,1,5,40,28,24,3,11,651,0.8611111111111112
1135,82,7,18,2,153,17,160,55,6,1,6,36,17,30,0,11,601,0.8232876712328767
1136,79,5,20,0,140,18,182,40,2,3,8,61,14,23,5,14,614,0.8365122615803815
1137,58,6,18,2,138,15,182,24,5,6,7,47,21,20,0,18,567,0.7529880478087649
1141,59,6,8,5,142,13,178,34,2,2,15,55,20,12,2,13,566,0.8498498498498499
1142,61,6,14,4,184,16,180,41,4,5,13,64,17,27,1,24,661,0.8200992555831266
1143,49,3,12,2,176,10,130,55,3,3,8,69,20,27,1,15,583,0.7601043024771839
1144,62,5,14,3,208,16,189,40,0,0,8,37,29,38,4,18,671,0.8536895674300254
1148,83,3,9,4,182,18,197,50,6,1,11,57,16,54,7,10,708,0.8973384030418251
1149,60,5,16,7,141,14,172,38,6,3,9,72,27,27,0,12,609,0.8263229308005428
1151,72,6,13,3,244,13,231,33,1,1,9,44,36,44,4,10,764,0.9041420118343195
1152,21,1,4,4,53,5,77,10,1,1,5,16,5,10,2,2,217,31.0
1154,108,10,27,1,181,21,194,46,4,0,4,74,16,43,8,16,753,0.8265642151481888
1155,91,1,22,4,232,34,246,54,4,1,16,93,23,33,6,24,884,0.8599221789883269
1156,77,2,12,5,178,11,159,31,4,2,29,66,20,27,4,10,637,0.8283485045513654
1159,49,7,9,2,150,5,74,18,3,3,12,22,9,4,2,15,384,0.8118393234672304
1161,49,8,21,8,166,25,227,33,5,2,15,66,12,25,4,23,689,0.8699494949494949
1163,60,9,15,3,161,13,197,33,8,4,15,38,10,17,5,16,604,0.8388888888888889
1164,84,6,19,3,165,17,259,31,2,4,20,58,11,29,5,29,742,0.866822429906542
1165,61,2,9,1,158,14,129,33,3,0,8,42,17,14,1,21,513,0.8078740157480315
1167,71,1,16,7,167,20,196,40,2,1,9,62,14,28,5,27,666,0.8774703557312253
1168,80,5,15,2,132,11,203,31,8,2,10,49,19,21,6,14,608,0.8227334235453315
1170,76,5,19,2,122,18,200,25,2,1,7,52,19,21,2,24,595,0.8548850574712644
1172,53,1,9,4,169,17,157,42,3,1,8,44,18,42,2,21,591,0.8847305389221557
1173,48,7,13,6,143,9,214,40,0,1,12,50,14,16,3,21,597,0.8303198887343533
1174,59,4,16,2,216,12,213,34,1,0,7,59,22,34,2,19,700,0.8883248730964467
1175,67,4,16,0,167,9,188,38,1,2,4,50,30,29,2,15,622,0.8785310734463276
1176,74,3,23,4,180,15,174,36,2,4,14,77,29,17,6,18,676,0.8233861144945189
1178,76,9,19,3,270,32,156,49,5,2,14,65,10,18,0,33,761,0.8298800436205016
1181,70,7,21,0,142,12,235,43,7,1,12,70,28,42,0,19,709,0.9195849546044098
1182,86,5,14,3,183,17,202,41,2,1,10,64,27,29,6,23,713,0.8759213759213759
1184,78,5,21,2,196,19,240,51,3,2,11,54,27,28,0,27,764,0.8822170900692841
1185,98,7,16,1,239,24,228,35,2,1,9,72,35,34,3,30,834,0.9075081610446137
1186,74,2,8,1,200,14,190,45,3,0,8,44,29,25,1,18,662,0.8733509234828496
1187,69,12,14,1,253,13,200,58,1,4,16,51,26,57,2,12,789,0.8594771241830066
1188,62,6,11,3,147,15,159,48,5,3,8,54,18,16,4,17,576,0.8700906344410876
1190,79,7,13,1,199,12,199,50,5,0,14,61,14,26,3,18,701,0.8654320987654321
1191,64,5,4,6,214,15,284,56,1,0,11,37,25,52,1,16,791,0.9262295081967213
1192,72,5,15,2,233,15,211,45,0,0,5,75,31,44,1,22,776,0.8899082568807339
1194,74,3,12,3,173,18,185,54,4,0,7,50,26,45,4,12,670,0.864516129032258
1196,95,10,19,5,189,19,192,50,5,0,7,58,34,43,3,18,747,0.8819362455726092
1200,80,8,15,3,178,20,168,35,2,2,12,53,27,27,1,14,645,0.8290488431876607
1201,69,3,10,1,154,14,195,30,5,2,8,62,19,25,2,20,619,0.8657342657342657
1203,86,2,11,3,170,19,170,40,5,1,9,51,25,40,0,22,654,0.8802153432032301
1204,68,5,12,2,167,17,226,43,0,2,13,59,22,30,2,24,692,0.8511685116851169
1205,93,11,9,2,232,10,187,65,4,0,11,61,28,47,1,27,788,0.9325443786982248
1207,72,7,11,1,145,18,166,42,1,1,3,46,23,30,0,14,580,0.8393632416787264
1209,57,5,13,2,144,20,272,37,3,1,8,69,14,48,2,21,716,0.8828606658446363
1210,96,7,15,2,188,19,212,49,0,1,15,55,15,44,3,23,744,0.8581314878892734
1211,74,8,10,3,178,12,162,56,2,0,1,61,23,34,5,16,645,0.885989010989011
1212,61,11,11,1,134,25,246,44,6,0,24,60,30,36,5,26,720,0.8933002481389578
1213,57,11,22,3,162,17,188,55,3,4,14,59,18,27,3,20,663,0.8318695106649937
1214,91,3,16,1,199,6,155,79,3,1,14,56,22,35,4,15,700,0.9043927648578811
1215,77,4,17,4,235,13,237,78,4,3,7,50,28,40,0,15,812,0.8992248062015504
1216,107,7,9,8,224,11,216,47,0,1,4,46,21,56,8,22,787,0.9035591274397244
1218,80,11,21,5,173,20,213,75,4,1,16,56,28,34,1,22,760,0.870561282932417
1219,108,5,16,1,248,15,190,91,6,1,14,42,25,34,0,18,814,0.9125560538116592
1220,90,6,11,2,225,17,227,84,3,1,13,80,23,43,2,13,840,0.8974358974358975
1221,90,13,10,3,236,29,215,78,6,0,11,46,17,49,3,24,830,0.9171270718232044
1222,55,2,16,2,212,23,213,69,3,4,9,80,27,39,0,20,774,0.8815489749430524
1227,81,2,14,3,231,10,131,39,4,4,3,41,29,21,1,8,622,0.8735955056179775
1229,84,2,5,1,209,6,172,40,5,2,2,24,27,72,4,9,664,0.9046321525885559
1230,94,8,4,2,208,18,205,24,1,0,13,31,25,38,6,19,696,0.8900255754475703
1232,77,1,9,0,164,5,186,35,2,3,6,53,19,26,4,19,609,0.8650568181818182
1233,106,3,10,1,208,18,202,35,3,1,5,36,32,46,5,22,733,0.9173967459324155
1236,76,3,11,1,175,13,189,43,3,0,10,61,29,39,2,14,669,0.902834008097166
1237,89,4,14,2,188,13,190,46,4,0,3,49,29,38,0,13,682,0.8754813863928113
1241,98,2,14,0,216,8,177,33,1,1,7,44,31,45,3,20,700,0.8939974457215837
1242,83,10,6,6,245,18,161,36,1,0,1,44,26,52,0,16,705,0.9215686274509803
1244,119,4,9,3,284,14,178,45,4,0,3,28,32,71,4,6,804,0.9003359462486002
1245,78,2,9,4,182,11,187,35,3,0,4,53,28,37,2,6,641,0.9223021582733812
1246,78,3,9,2,147,12,186,24,7,0,9,36,21,38,1,15,588,0.8647058823529412
1247,65,5,12,4,168,12,168,43,2,0,6,37,14,51,1,19,607,0.8861313868613139
1249,74,4,12,2,196,19,189,27,3,1,3,49,22,37,1,16,655,0.8839406207827261
1251,93,5,7,4,172,25,184,31,4,1,11,52,14,36,1,21,661,0.8754966887417218
1254,81,9,17,1,173,19,178,58,5,1,5,43,26,43,0,30,689,0.8901808785529716
1255,81,3,13,1,110,12,207,47,1,0,8,58,14,16,2,9,582,0.8350071736011477
1256,55,5,9,4,167,17,198,38,5,1,14,33,27,20,1,19,613,0.9014705882352941
1257,72,4,13,4,207,13,196,45,6,0,7,51,25,50,4,9,706,0.8424821002386634
1258,56,6,17,1,145,12,170,37,9,3,16,41,15,22,3,12,565,0.8224163027656477
1259,62,3,11,2,144,18,246,36,5,1,9,52,16,46,1,15,667,0.8464467005076142
1260,120,8,16,2,228,34,294,79,4,3,16,75,22,62,4,38,1005,0.9194876486733761
1261,50,1,14,3,148,23,299,46,5,2,8,56,27,34,4,16,736,0.8932038834951457
1263,58,10,21,1,189,18,190,32,2,4,11,49,26,29,0,13,653,0.7858002406738869
1264,65,4,12,5,163,19,245,44,3,0,9,69,25,40,4,20,727,0.9272959183673469
1265,73,12,22,2,192,20,231,56,4,2,14,75,24,39,1,18,785,0.9022988505747126
1267,76,5,16,4,167,17,264,51,4,1,21,80,13,36,3,23,781,0.8997695852534562
1268,96,4,23,4,191,13,251,52,5,0,8,48,28,37,2,11,773,0.940389294403893
1269,6,0,3,0,21,1,15,4,0,0,0,2,0,2,0,2,56,inf
1270,77,13,8,8,197,17,190,55,4,1,6,36,14,22,2,17,667,0.8584298584298584
1271,104,7,22,1,196,19,219,39,5,1,3,55,22,39,0,23,755,0.9118357487922706
1273,55,1,19,5,166,14,185,20,0,4,12,46,16,10,1,15,569,0.8163558106169297
1274,81,7,3,2,136,10,106,20,1,0,0,18,30,30,0,15,459,0.9017681728880157
1275,95,6,13,4,184,27,199,32,4,1,13,65,32,37,1,22,735,0.8457997698504027
1276,80,3,13,1,170,22,246,44,4,0,12,64,32,41,2,18,752,0.912621359223301
1280,111,8,17,5,203,22,209,31,2,0,8,61,31,34,7,14,763,0.9051008303677343
1283,62,10,7,3,197,16,145,35,4,2,7,40,10,27,0,19,584,0.8225352112676056
1285,82,9,15,0,210,12,208,44,2,1,11,42,21,31,0,6,694,0.871859296482412
1286,71,4,4,4,170,14,162,31,2,1,4,55,36,34,5,18,615,0.8401639344262295
1287,66,9,15,6,174,19,175,26,3,2,6,51,18,33,1,14,618,0.8535911602209945
1291,68,6,16,3,151,15,203,34,2,1,9,54,7,32,2,16,619,0.8331090174966352
1292,58,6,15,1,129,14,205,35,4,3,14,39,11,15,4,18,571,0.7747625508819539
1294,78,6,22,4,192,15,196,34,2,4,19,56,18,19,2,14,681,0.7634529147982063
1296,102,5,14,2,150,20,244,41,6,0,10,52,12,50,1,23,732,0.8851269649334945
1297,64,7,10,6,173,11,183,43,2,4,14,36,12,42,1,13,621,0.8214285714285714
1304,91,8,6,2,177,16,135,33,1,3,4,40,39,35,0,12,602,0.8826979472140762
1307,100,3,7,3,247,16,208,33,2,2,3,42,33,63,5,14,781,0.911318553092182
1309,98,6,10,4,228,13,166,33,3,1,4,20,29,57,4,15,691,0.8836317135549873
1312,104,5,13,1,186,12,195,56,1,2,2,40,23,45,3,23,711,0.8702570379436965
1314,92,1,15,4,227,23,256,38,1,1,8,71,21,35,0,15,808,0.9330254041570438
1315,98,8,14,8,207,14,253,56,4,2,16,86,18,34,4,26,848,0.8609137055837564
1316,60,8,18,3,190,21,191,36,2,2,23,75,24,30,1,20,704,0.8638036809815951
1317,89,1,13,1,170,22,245,42,2,0,10,47,13,55,1,15,726,0.9552631578947368
1318,95,4,7,4,186,19,201,51,0,0,11,38,23,42,2,27,710,0.8942065491183879
1319,90,4,14,1,191,11,142,20,1,0,4,20,16,31,3,8,556,0.8996763754045307
1320,63,6,8,0,176,9,173,35,4,2,8,41,31,33,1,15,605,0.8793604651162791
1321,107,8,15,1,255,16,233,42,5,1,7,58,27,32,1,23,831,0.8983783783783784
1323,58,3,14,2,157,22,194,40,6,2,14,57,10,47,2,22,650,0.834403080872914
1324,75,5,21,6,183,17,265,41,1,3,9,62,22,38,0,19,767,0.9721166032953105
1326,67,7,19,3,153,16,195,22,3,0,11,41,19,53,5,8,622,0.9395770392749244
1328,52,3,10,6,148,23,177,33,1,0,8,38,12,29,1,11,552,0.847926267281106
1329,65,4,10,2,116,15,140,26,2,1,5,36,21,34,2,14,493,0.8931159420289855
1331,62,7,15,3,225,18,170,45,2,7,6,54,17,34,0,10,675,0.7867132867132867
1332,78,6,9,5,188,12,194,32,2,2,5,27,23,47,0,7,637,0.8459495351925631
1333,73,4,15,3,213,19,210,45,4,1,8,42,26,43,3,17,726,0.8768115942028986
1334,90,4,13,0,177,10,211,40,4,2,6,41,25,21,2,12,658,0.9075862068965517
1338,54,4,14,6,154,22,198,60,11,1,9,45,17,20,2,16,633,0.8285340314136126
1339,101,6,23,9,211,13,187,47,5,2,12,55,13,25,4,12,725,0.8333333333333334
1340,75,6,14,3,171,25,235,41,6,3,21,55,10,23,1,18,707,0.8643031784841075
1341,61,10,21,2,208,17,239,48,2,2,10,77,12,21,2,32,764,0.8873403019744484
1342,54,10,17,0,191,18,175,36,1,0,8,48,11,28,0,16,613,0.8794835007173601
1343,77,3,11,4,202,15,190,56,4,1,9,50,24,33,4,13,696,0.8678304239401496
1345,57,8,23,9,168,9,209,54,7,3,14,62,21,19,1,23,687,0.8598247809762203
1346,64,4,11,5,151,13,145,44,0,1,8,53,20,34,2,13,568,0.8875
1348,94,6,22,6,205,18,231,32,4,1,15,57,28,39,1,19,778,0.8502732240437159
1349,56,9,14,2,190,11,143,49,3,0,11,40,27,38,2,18,613,0.8055190538764783
1350,75,3,16,5,199,9,200,43,1,1,7,51,23,35,2,14,684,0.8735632183908046
1351,66,4,16,2,191,21,185,53,3,2,16,53,16,16,1,11,656,0.7865707434052758
1352,79,3,5,2,228,4,158,25,1,2,2,16,48,48,3,8,632,0.9266862170087976
1354,76,3,22,1,210,19,260,53,3,0,20,47,26,43,2,17,802,0.8881506090808416
1357,106,5,12,3,178,28,246,28,0,0,3,37,48,41,0,19,754,1.0093708165997322
1358,89,2,24,3,178,5,249,40,2,2,6,51,25,40,2,14,732,0.8872727272727273
1359,111,6,3,4,293,9,155,42,1,0,6,17,32,49,2,8,738,0.8902291917973462
1361,117,6,6,3,214,24,222,44,8,2,8,41,36,55,2,15,803,0.8882743362831859
1362,108,4,21,0,196,13,195,38,2,1,9,45,24,36,4,14,710,0.8897243107769424
1366,94,2,7,3,205,15,174,29,1,1,5,29,33,38,1,14,651,0.8645418326693227
1368,104,2,8,1,229,21,270,37,0,0,6,44,25,42,1,15,805,0.9065315315315315
1369,84,8,19,4,170,16,328,45,4,0,12,56,14,32,3,18,813,0.9312714776632303
1371,95,5,14,3,210,7,183,38,4,2,7,63,24,57,1,25,738,0.8891566265060241
1373,75,10,11,1,193,17,194,41,2,0,13,36,18,27,1,25,664,0.8383838383838383
1374,84,3,8,3,162,7,223,32,1,1,9,57,37,40,0,18,685,0.8573216520650814
1375,76,4,11,2,211,10,235,39,6,2,5,49,26,28,2,18,724,0.863961813842482
1377,101,5,12,2,196,15,236,35,1,1,10,44,25,36,1,14,734,0.8940316686967114
1382,66,2,7,3,157,10,222,31,5,2,5,37,21,45,7,15,635,0.9176300578034682
1383,98,5,19,4,192,9,192,31,1,0,11,37,38,42,1,19,699,0.8524390243902439
1384,85,7,7,3,216,25,214,27,4,0,4,50,36,36,1,16,731,0.8849878934624698
1387,55,1,17,2,147,15,214,25,2,1,6,74,20,32,0,29,640,0.8707482993197279
1388,81,6,16,7,163,19,186,20,2,3,19,40,13,19,0,8,602,0.844319775596073
1391,92,7,20,7,268,24,182,73,3,6,10,64,16,40,1,15,828,0.8836712913553896
1392,40,7,17,5,173,17,218,33,3,3,25,42,27,26,0,14,650,0.8104738154613467
1394,69,2,17,6,165,7,211,17,2,2,13,39,17,39,1,20,627,0.8484438430311232
1396,86,2,7,4,211,8,147,32,0,0,2,25,26,34,0,9,593,0.9280125195618153
1398,47,3,9,5,132,14,132,23,3,0,9,37,24,25,0,12,475,0.7903494176372712
1399,46,4,12,2,167,19,289,48,1,2,6,55,16,44,1,25,737,0.8375
1400,39,4,13,3,126,10,206,26,3,0,23,65,19,28,0,7,572,0.8289855072463768
1401,67,8,10,0,165,13,147,26,1,0,14,45,20,43,0,24,583,0.8662704309063893
1403,65,5,17,3,177,11,222,27,1,1,5,51,25,41,0,21,672,0.8948069241011984
1404,51,4,18,2,157,10,163,24,3,3,18,42,8,21,0,12,536,0.794074074074074
1406,68,5,26,4,181,16,235,40,3,0,18,86,32,26,5,27,772,0.8654708520179372
1407,82,5,14,1,204,8,208,38,2,0,9,40,25,41,2,19,698,0.8692403486924035
