SEZIONE,AN,Altern. Sociale,Comunisti It.,DC - Nuovo PSI,Forza Italia,Italia Valori,L'Ulivo,Lega Nord,M.S.Fiamma Tr.,No Euro,Pensionati,Rif. Comunista,Rosa nel pugno,UDC,UDEUR,Verdi,TOTALE,AFFLUENZA
152,54,4,5,2,156,16,232,30,1,0,3,40,22,31,0,20,616,0.8914616497829233
153,62,2,20,4,188,11,229,28,1,0,4,42,25,33,5,13,667,0.9013513513513514
157,96,5,6,11,253,8,211,30,4,0,3,40,43,54,1,14,779,0.9121779859484778
158,84,9,11,2,183,11,216,26,4,2,9,43,47,41,2,17,707,0.8548972188633616
160,78,6,7,0,140,10,113,11,2,0,2,23,20,30,7,11,460,0.9072978303747534
161,27,6,10,3,79,8,90,10,2,2,15,38,7,8,0,13,318,0.7662650602409639
162,10,2,1,0,21,2,34,3,1,0,0,5,5,5,1,3,93,46.5
164,80,0,7,5,216,13,151,19,3,0,3,21,19,43,2,12,594,0.9195046439628483
167,85,3,5,4,185,8,152,13,0,0,4,20,30,53,3,12,577,0.9187898089171974
168,93,8,9,1,198,12,155,24,2,1,1,17,41,41,2,13,618,0.9435114503816794
169,69,5,18,7,178,7,246,26,4,1,7,55,44,47,1,17,732,0.8872727272727273
172,54,4,16,6,190,18,227,33,3,2,24,50,22,25,2,18,694,0.8203309692671394
173,64,4,3,0,119,3,91,7,1,0,0,14,16,24,0,2,348,0.8992248062015504
175,96,5,13,3,226,17,242,34,3,0,3,42,55,57,3,15,814,0.8925438596491229
177,47,2,14,5,137,21,216,34,4,0,9,59,15,19,0,23,605,0.8949704142011834
179,74,5,11,5,227,4,175,20,1,2,2,22,41,51,2,11,653,0.8982118294360385
181,99,7,12,0,249,22,249,40,3,0,11,62,15,42,2,14,827,0.9963855421686747
182,90,3,9,1,240,8,147,26,2,0,1,26,21,34,5,10,623,0.9719188767550702
184,90,9,6,4,203,14,271,26,3,0,12,63,39,30,4,10,784,0.8740245261984393
185,93,5,4,1,169,12,181,24,2,0,5,39,38,34,0,15,622,0.9269746646795827
186,76,7,12,3,221,12,218,21,3,0,8,47,30,35,4,20,717,0.8929016189290162
187,95,9,4,2,165,7,174,29,2,0,9,38,21,35,3,18,611,0.9187969924812031
188,104,5,19,1,223,18,208,18,2,0,6,41,37,33,3,15,733,0.8664302600472813
189,95,6,6,3,248,11,199,44,3,1,8,39,30,34,1,16,744,0.9335006273525721
190,89,3,11,3,150,22,209,24,2,0,11,39,26,26,1,11,627,0.8589041095890411
191,100,4,19,2,218,17,213,19,3,2,6,37,33,37,3,12,725,0.9051186017478152
193,105,3,12,2,216,11,244,39,3,1,6,52,31,30,7,16,778,0.925089179548157
195,88,7,9,2,168,18,192,43,4,2,8,25,40,36,3,19,664,0.9158620689655173
196,71,1,8,2,149,17,178,25,2,3,5,42,13,34,1,16,567,0.9043062200956937
197,67,2,15,4,203,20,235,47,8,4,13,55,23,20,3,16,735,0.839041095890411
198,72,2,13,1,145,10,226,29,2,0,9,50,26,25,0,13,623,0.8373655913978495
199,55,8,16,1,144,15,187,42,3,0,13,40,12,19,2,17,574,0.8503703703703703
200,83,9,9,3,173,7,208,37,1,1,4,45,21,38,2,7,648,0.8697986577181208
201,82,3,7,3,160,16,239,33,5,0,8,54,46,19,2,28,705,0.8924050632911392
204,76,3,13,3,161,19,249,56,3,2,13,64,20,23,2,19,726,0.8918918918918919
205,80,6,16,2,186,30,245,37,3,6,20,63,21,23,2,22,762,0.8758620689655172
206,88,1,16,4,215,16,198,24,2,0,5,33,18,35,1,14,670,0.9115646258503401
207,68,3,13,1,135,14,161,26,2,1,3,40,24,26,1,20,538,0.838006230529595
208,78,4,15,2,140,27,217,29,2,1,10,39,29,25,1,12,631,0.8643835616438356
212,86,3,9,1,196,14,198,23,1,3,2,34,20,61,3,9,663,0.9390934844192634
213,63,7,13,5,128,6,167,15,3,1,9,50,29,20,2,18,536,0.8673139158576052
214,63,4,12,3,203,15,226,46,4,0,18,59,8,23,2,23,709,0.8583535108958837
215,96,2,11,3,180,9,263,32,7,2,6,66,36,43,2,37,795,0.916955017301038
217,95,5,10,0,195,9,218,17,3,2,3,46,33,37,2,17,692,0.9364005412719891
220,82,6,0,0,163,8,179,10,0,0,4,22,43,102,7,16,642,0.9358600583090378
221,62,3,21,3,184,18,215,28,2,3,17,47,14,25,4,22,668,0.8608247422680413
223,82,0,6,3,249,5,148,27,2,3,2,12,53,51,1,10,654,0.9356223175965666
224,78,3,6,4,196,9,161,17,1,0,1,27,30,55,1,11,600,0.9389671361502347
226,86,4,7,0,238,11,172,12,2,0,2,20,36,49,1,10,650,0.9180790960451978
229,84,5,8,0,227,12,145,18,0,2,1,25,33,46,2,16,624,0.9030390738060782
230,108,6,13,1,202,11,264,34,4,1,3,44,35,44,0,13,783,0.9052023121387284
232,122,7,7,1,226,12,161,45,3,0,9,26,21,51,0,3,694,0.9652294853963839
234,89,3,11,2,197,7,173,21,3,1,7,35,26,26,1,17,619,0.8805120910384068
235,94,3,7,0,184,13,180,23,1,0,5,25,41,41,1,14,632,0.9054441260744985
236,73,3,13,1,159,11,183,34,1,1,11,56,22,45,7,16,636,0.8970380818053597
237,71,4,14,2,160,17,207,20,3,0,6,41,37,31,3,21,637,0.8884239888423989
238,53,11,15,0,227,8,194,33,4,2,7,26,24,50,1,20,675,0.8777633289986996
240,85,2,17,3,179,16,187,51,5,0,8,47,39,39,2,15,695,0.8910256410256411
242,93,2,9,3,196,13,201,29,5,0,2,53,35,50,1,18,710,0.9137709137709138
243,73,1,11,1,180,12,176,34,8,1,9,48,24,39,2,17,636,0.9008498583569405
246,59,2,12,0,172,11,201,28,2,1,2,35,54,21,2,12,614,0.8721590909090909
250,94,7,19,4,211,11,240,31,1,1,4,41,40,45,3,16,768,0.8827586206896552
251,2,1,2,4,13,0,14,3,2,0,3,3,1,9,1,1,59,0.4609375
252,74,4,14,3,175,6,260,25,3,0,9,48,61,40,2,20,744,0.8701754385964913
257,65,3,4,2,178,18,201,23,6,0,3,32,41,40,3,22,641,0.8721088435374149
259,74,4,11,3,162,24,243,53,2,1,8,51,21,32,5,11,705,0.9239842726081258
262,96,8,5,2,265,18,180,23,2,1,8,32,13,48,4,26,731,0.9103362391033624
263,99,4,14,2,214,11,257,34,3,0,5,31,38,49,2,10,773,0.9030373831775701
264,86,3,18,3,162,16,298,31,2,0,3,71,52,40,0,33,818,0.8702127659574468
265,86,11,19,3,174,20,229,32,2,2,2,60,44,39,0,25,748,0.8677494199535963
269,84,5,12,2,191,11,278,24,1,0,5,50,64,50,2,16,795,0.9034090909090909
271,127,8,13,4,188,15,246,12,4,0,4,49,34,43,0,19,766,1.0880681818181819
272,86,7,5,0,149,20,196,13,8,2,1,26,29,30,1,17,590,0.8689248895434463
274,62,1,14,4,176,11,158,30,2,2,7,29,15,44,0,12,567,0.8696319018404908
275,74,10,19,3,172,22,191,43,1,1,13,67,38,26,3,15,698,0.8869123252858958
277,85,6,12,5,218,19,214,38,7,1,7,24,30,43,4,18,731,0.8849878934624698
279,100,1,8,0,214,11,223,21,3,3,3,82,40,55,2,15,781,0.9264531435349941
280,65,5,11,3,163,13,224,34,1,2,3,73,46,43,3,17,706,0.8802992518703242
281,57,3,16,1,152,10,189,20,0,1,5,50,27,19,0,20,570,0.8715596330275229
282,53,8,11,2,177,12,174,30,3,1,17,41,14,26,1,18,588,0.8
284,96,5,15,2,181,5,228,30,3,0,5,54,28,25,1,21,699,0.9221635883905013
286,30,3,15,2,132,12,103,21,1,1,12,47,19,15,0,18,431,0.7243697478991596
288,46,8,13,3,115,23,116,23,7,3,15,68,14,21,3,11,489,0.6955903271692745
291,89,7,9,2,175,15,178,43,5,3,7,37,23,42,2,14,651,0.8611111111111112
292,67,6,10,1,165,9,196,34,1,0,2,70,32,36,1,21,651,0.8738255033557047
294,65,2,6,5,179,9,155,32,1,1,6,25,14,43,1,17,561,0.8697674418604651
295,88,5,13,5,178,22,197,53,1,1,6,49,24,25,3,20,690,0.8646616541353384
297,69,8,11,2,194,16,188,26,5,0,15,53,7,45,1,11,651,0.8421733505821475
299,60,1,18,0,112,12,176,21,4,2,7,53,35,19,1,22,543,0.8214826021180031
