SEZIONE,Alternativa Municipale,"Beppe Sala Sindaco Noi, Milano",Fuxia People Maria Teresa Bald,Giorgia Meloni per Parisi,Io corro per Milano Lista Civ.,Italia dei Valori per B. Sala,Lega Nord Lega Lomb. Salvini,Milano Popolare Parisi Sindaco,Milano in Comune Rizzo Sindaco,Movimento 5 Stelle,Noi x Milano Mardegan Sindaco,Partito Comunista dei Lavorato,Partito Democratico Beppe Sala,Pensionati,Per Parisi Forza Italia Berl.,Radicali con Cappato Sindaco,Sinistra x Milano,TOTALE,AFFLUENZA
891,1,25,3,11,6,1,34,8,18,35,12,4,73,1,111,6,11,360,0.46511627906976744
895,0,22,0,11,9,5,48,10,34,34,6,2,65,2,79,5,16,348,0.4098939929328622
898,0,6,0,17,7,4,29,6,14,22,2,2,65,4,86,4,6,274,0.4221879815100154
899,1,15,1,11,15,1,71,5,7,49,4,2,82,0,95,6,3,368,0.42990654205607476
900,0,29,2,11,12,2,77,48,8,30,3,1,148,1,112,6,10,500,0.5707762557077626
901,0,3,0,8,10,2,20,4,15,24,18,0,45,2,61,3,0,215,0.3952205882352941
902,1,20,0,6,10,1,45,12,19,41,2,4,61,0,68,10,20,320,0.41939711664482304
903,0,12,2,19,13,3,68,16,18,51,2,1,78,1,84,3,5,376,0.5081081081081081
904,0,18,0,8,11,1,65,9,15,23,3,2,73,3,84,1,4,320,0.4413793103448276
905,1,26,2,10,17,4,37,14,12,41,7,1,142,1,87,7,22,431,0.5879945429740792
906,4,30,0,10,15,5,70,15,21,72,3,3,197,1,102,12,16,576,0.5501432664756447
907,0,46,0,20,19,4,33,11,16,55,6,2,216,0,113,9,21,571,0.5832482124616956
908,1,34,1,19,10,1,50,14,22,67,5,3,176,3,94,13,32,545,0.5200381679389313
909,0,22,2,9,5,0,59,8,18,72,3,2,102,4,66,5,6,383,0.45704057279236276
910,2,18,4,4,53,3,68,12,13,39,3,0,105,4,91,6,7,432,0.5076380728554641
912,4,17,0,1,6,1,55,12,20,59,3,2,76,1,86,2,4,349,0.45860709592641263
913,0,19,1,11,7,4,79,27,16,55,1,1,126,0,85,8,5,445,0.5114942528735632
914,1,44,2,3,3,0,47,12,7,61,4,1,47,0,58,5,5,300,0.4076086956521739
915,0,43,1,8,7,1,55,5,8,72,6,1,80,4,83,5,7,386,0.45093457943925236
916,0,16,2,4,0,0,22,1,7,24,0,1,36,1,32,1,1,148,0.2005420054200542
917,2,32,0,10,7,5,61,6,23,62,2,3,249,2,92,13,12,581,0.5597302504816956
920,2,37,0,18,12,6,58,14,18,80,14,0,142,0,82,4,32,519,0.4744058500914077
921,0,30,2,15,24,5,73,17,11,73,5,2,115,1,104,6,11,494,0.49252243270189433
922,0,18,2,7,16,2,64,13,4,52,4,1,92,1,88,6,5,375,0.5208333333333334
924,1,29,0,5,12,2,53,12,15,36,11,1,144,2,104,14,14,455,0.5575980392156863
925,1,34,1,11,7,1,45,26,13,62,1,1,138,3,84,8,19,455,0.452286282306163
927,0,22,0,4,11,3,34,16,12,26,6,1,108,1,68,6,7,325,0.45518207282913165
928,1,44,1,8,18,4,54,9,15,45,3,3,176,1,95,9,18,504,0.5316455696202531
929,0,2,0,2,0,3,2,1,0,5,0,1,4,0,4,0,1,25,0.1865671641791045
930,2,31,2,13,16,4,42,11,14,53,3,1,173,3,125,7,19,519,0.5389408099688473
931,1,29,1,12,8,1,42,8,17,57,3,0,99,2,78,9,14,381,0.49674054758800523
933,0,24,3,11,6,3,58,17,7,49,1,1,110,2,66,10,10,378,0.5178082191780822
934,0,20,1,8,7,2,44,23,13,40,1,2,96,1,81,7,17,363,0.5148936170212766
936,1,15,0,8,5,1,41,14,14,40,4,3,77,0,76,7,12,318,0.4595375722543353
938,1,22,1,8,18,2,52,27,17,45,7,1,97,1,71,10,10,390,0.5320600272851296
940,0,11,0,6,8,2,34,8,10,38,0,0,57,1,50,1,4,230,0.452755905511811
941,0,13,0,12,7,3,50,6,6,46,2,4,51,4,106,6,3,319,0.4084507042253521
942,0,12,0,4,9,6,50,19,15,23,2,0,44,2,67,4,7,264,0.4320785597381342
945,0,21,1,8,10,2,100,7,11,47,4,1,89,2,89,1,8,401,0.49506172839506174
946,0,10,4,7,5,0,58,7,7,30,0,1,51,4,63,2,1,250,0.3875968992248062
947,1,10,0,6,12,1,44,10,8,33,3,1,56,2,92,6,1,286,0.4576
948,0,13,1,11,11,1,97,30,10,71,4,3,75,4,111,8,11,461,0.526255707762557
951,1,27,3,5,78,1,72,18,17,41,0,1,146,3,42,9,27,491,0.5742690058479533
952,0,23,2,10,14,2,60,53,2,34,6,2,139,3,94,5,8,457,0.5958279009126467
953,0,20,1,17,9,3,67,27,15,68,5,0,146,0,61,9,6,454,0.4758909853249476
954,1,19,1,6,8,4,50,15,16,57,4,4,147,2,84,3,6,427,0.4646354733405876
955,1,32,2,7,8,4,68,15,30,83,13,1,154,2,109,10,6,545,0.5694879832810867
956,1,13,0,2,10,1,41,6,4,41,1,0,76,2,64,7,4,273,0.43890675241157556
957,0,3,1,0,0,1,3,1,1,3,2,2,18,1,7,3,1,47,0.3700787401574803
959,0,22,4,12,11,0,50,18,15,67,4,3,106,1,76,4,13,406,0.4314558979808714
960,0,27,2,17,14,2,84,30,15,42,8,2,158,2,141,6,15,565,0.5879292403746098
961,0,24,2,10,13,3,68,14,16,47,4,0,128,1,99,11,4,444,0.5556946182728411
962,1,17,2,14,5,1,82,31,7,39,0,3,134,0,92,7,12,447,0.5651074589127687
963,0,25,1,16,12,2,62,14,8,46,2,0,112,0,66,5,11,382,0.4980443285528031
964,2,52,0,16,15,2,43,24,6,49,4,1,136,1,82,5,6,444,0.44668008048289737
965,1,26,1,20,19,2,55,13,11,47,4,0,139,4,122,0,10,474,0.5107758620689655
968,1,13,2,4,13,1,49,6,19,57,5,1,143,2,99,4,16,435,0.4682454251883746
969,1,37,2,20,19,2,58,11,9,61,4,1,155,3,109,6,14,512,0.5176946410515673
970,1,43,2,17,15,3,84,17,18,77,5,2,174,4,94,11,19,586,0.5559772296015181
971,2,17,0,12,10,5,60,11,11,65,1,1,218,4,106,5,12,540,0.5432595573440644
973,0,30,2,4,16,3,42,3,13,51,3,2,112,1,77,9,32,400,0.43057050592034446
974,0,31,0,6,6,4,39,12,12,35,3,3,158,0,67,11,18,405,0.49031476997578693
976,0,25,1,7,10,1,26,8,23,32,3,1,79,2,52,8,17,295,0.39703903095558546
978,3,21,0,20,6,3,49,16,8,54,1,0,112,2,67,5,15,382,0.49226804123711343
979,2,34,0,11,7,1,47,8,14,49,4,2,106,3,57,12,16,373,0.4733502538071066
981,0,21,0,11,9,4,39,8,21,49,1,2,122,0,67,6,20,380,0.4323094425483504
982,0,19,3,39,6,4,55,7,11,51,3,4,83,1,48,2,10,346,0.4713896457765668
983,0,30,0,9,9,10,48,9,3,32,3,0,143,3,116,8,7,430,0.5850340136054422
984,1,17,0,6,10,1,44,5,9,29,2,2,77,0,55,15,14,287,0.4484375
985,2,22,0,7,18,1,64,17,23,48,2,1,102,4,64,14,23,412,0.48989298454221164
986,1,24,0,10,20,1,39,8,9,58,5,4,111,2,70,10,19,391,0.49493670886075947
988,2,30,2,9,9,2,53,17,17,63,3,1,137,1,90,9,19,464,0.5471698113207547
989,2,26,0,13,34,3,40,6,19,54,8,2,141,0,82,4,27,461,0.5122222222222222
990,0,27,3,16,7,4,60,40,33,44,3,0,156,5,90,6,16,510,0.5815279361459521
994,1,15,1,5,7,2,41,5,5,41,1,0,104,5,60,6,18,317,0.45545977011494254
995,2,7,0,4,15,4,41,18,7,25,1,1,57,6,63,5,7,263,0.36426592797783935
1001,0,16,1,10,21,4,65,13,14,47,4,1,155,3,97,5,13,469,0.47325933400605447
1003,2,27,0,10,10,3,39,8,18,44,2,0,102,1,60,5,17,348,0.44274809160305345
1004,0,33,1,17,5,5,53,16,17,43,2,4,109,4,56,7,11,383,0.5275482093663911
1005,0,19,0,12,4,4,50,11,12,40,5,0,109,1,89,7,14,377,0.46948941469489414
1006,1,19,0,8,4,1,44,13,9,41,3,0,148,2,92,4,11,400,0.5602240896358543
1007,0,22,1,7,10,2,52,18,15,37,0,0,115,1,94,6,17,397,0.5864106351550961
1008,3,24,0,6,4,2,41,11,7,44,5,1,86,2,56,10,10,312,0.37410071942446044
1010,0,21,0,11,3,3,36,10,14,53,4,1,115,5,39,8,25,348,0.48
1012,0,5,0,0,0,2,7,1,1,8,1,5,18,4,10,1,1,64,0.2807017543859649
1013,0,44,0,7,0,5,53,23,11,65,2,1,133,4,102,5,6,461,0.5776942355889725
1015,0,29,2,8,9,5,61,15,32,54,6,1,124,1,64,3,10,424,0.5463917525773195
1016,2,31,0,12,7,3,39,7,19,45,5,0,146,3,75,4,14,412,0.5067650676506765
1017,4,46,2,11,10,0,60,17,16,57,1,3,164,4,88,14,27,524,0.5234765234765235
1019,2,54,2,6,25,4,57,20,37,56,10,2,148,3,87,9,24,546,0.5443668993020937
1020,5,33,0,8,10,2,56,6,5,30,2,2,84,1,97,6,17,364,0.4672657252888318
1021,1,27,0,15,11,3,68,6,15,59,2,2,126,0,83,7,20,445,0.4842219804134929
1022,0,29,0,3,8,2,45,6,18,41,7,2,102,5,85,8,6,367,0.5445103857566765
1023,1,38,0,12,21,1,41,6,8,21,4,2,123,3,112,6,11,410,0.5662983425414365
1024,3,23,0,16,9,5,38,9,19,48,2,2,104,1,61,10,24,374,0.4538834951456311
1025,1,13,7,7,5,2,63,8,6,26,5,5,68,2,68,10,8,304,0.43304843304843305
1027,1,21,0,9,13,2,47,10,12,42,6,1,95,2,56,9,10,336,0.45776566757493187
1028,0,39,2,15,20,0,69,13,16,62,11,2,121,1,101,12,17,501,0.529039070749736
1029,2,25,3,5,8,1,46,8,15,48,7,0,69,3,72,5,6,323,0.39438339438339437
1030,2,10,0,10,1,3,38,10,8,40,0,2,47,2,54,4,3,234,0.3811074918566775
1032,2,21,1,10,2,1,37,6,12,32,7,1,51,2,65,4,5,259,0.39361702127659576
1033,1,41,0,7,8,3,48,14,8,49,6,3,119,2,92,3,13,417,0.5193026151930261
1034,1,29,1,6,8,1,43,12,12,55,4,0,103,7,102,4,11,399,0.48014440433212996
1035,0,17,2,2,6,3,32,7,12,21,10,1,40,1,46,3,3,206,0.389413988657845
1037,0,51,0,25,9,3,96,17,11,77,7,2,116,1,105,6,6,532,0.530938123752495
1038,2,21,0,5,11,1,48,10,14,43,4,1,56,3,69,4,1,293,0.4308823529411765
1039,0,5,0,5,0,3,2,5,4,1,1,0,9,1,16,1,0,53,0.18661971830985916
1040,1,0,0,2,0,0,0,0,3,1,2,1,3,1,5,0,0,19,0.12101910828025478
1043,0,8,0,0,0,0,5,2,1,1,1,0,10,2,12,0,0,42,inf
1044,0,4,0,1,0,0,1,1,1,0,1,0,1,0,4,1,1,16,0.06808510638297872
1045,0,22,0,8,5,2,53,16,10,31,7,1,115,4,77,2,11,364,0.5313868613138686
1046,0,23,0,8,12,2,44,10,13,23,3,1,59,0,48,0,5,251,0.5112016293279023
1048,0,24,0,10,8,3,34,11,12,41,1,2,106,1,68,5,13,339,0.5014792899408284
1050,4,37,0,9,8,3,52,6,15,44,2,4,149,3,83,9,31,459,0.5215909090909091
1051,0,31,3,13,7,3,49,8,15,37,1,1,137,0,53,6,6,370,0.43580683156654887
1052,2,35,1,7,10,3,57,6,26,46,3,1,152,1,98,7,12,467,0.5337142857142857
1056,0,50,1,8,14,5,73,9,33,53,15,0,108,3,95,6,16,489,0.5169133192389006
1059,2,31,1,8,11,3,43,10,21,40,2,0,123,0,105,7,14,421,0.5329113924050632
1062,0,15,4,6,4,2,36,5,6,24,5,0,43,2,62,5,2,221,0.36833333333333335
1063,0,22,0,3,11,2,44,12,14,32,5,0,105,2,69,4,9,334,0.4222503160556258
1064,0,22,1,7,7,3,35,10,6,15,2,4,59,2,87,4,4,268,0.39067055393586003
1068,5,28,0,12,9,3,58,9,9,49,7,3,93,6,76,8,16,391,0.4924433249370277
1069,3,17,1,5,12,1,47,17,10,44,3,2,59,4,76,4,8,313,0.4446022727272727
1070,1,21,2,10,7,3,58,4,11,30,4,1,83,2,60,5,2,304,0.4418604651162791
1072,1,14,0,6,6,3,44,11,8,19,4,3,63,6,69,4,3,264,0.4118564742589704
1073,1,23,1,6,1,1,70,8,8,54,5,12,108,2,76,6,16,398,0.5109114249037228
1074,3,37,0,8,4,10,88,7,26,80,2,13,141,2,112,13,12,558,0.5923566878980892
1075,4,14,0,8,4,1,72,10,15,60,3,10,109,4,84,4,8,410,0.4834905660377358
1076,0,16,1,10,2,2,53,7,8,32,4,7,61,0,83,6,6,298,0.432510885341074
1077,1,30,2,12,9,2,51,6,19,43,2,1,127,1,86,8,10,410,0.5488621151271754
1078,1,27,1,8,9,3,55,9,13,58,1,1,108,0,58,4,17,373,0.5231416549789621
1079,0,39,1,11,16,3,59,11,11,42,9,0,120,2,104,7,9,444,0.5362318840579711
1080,0,42,1,13,19,4,68,25,23,59,5,5,153,2,98,8,21,546,0.5465465465465466
1081,2,14,1,9,7,2,51,38,8,48,2,0,81,10,117,7,7,404,0.5081761006289308
1082,1,14,1,7,5,0,49,8,4,29,4,1,58,3,103,5,8,300,0.4411764705882353
1083,2,18,1,3,2,2,54,8,9,49,5,5,66,6,127,6,0,363,0.4432234432234432
1084,9,53,2,4,16,3,53,14,11,40,3,7,166,2,96,2,12,493,0.6264294790343075
1085,3,16,0,12,15,3,57,10,16,64,2,16,89,4,91,8,10,416,0.443024494142705
1087,1,22,0,15,3,3,65,26,12,67,8,4,88,4,77,4,3,402,0.5043914680050188
1089,2,32,1,10,3,3,58,20,32,79,6,9,144,1,69,6,13,488,0.5025746652935118
1090,2,31,2,12,2,8,90,12,27,51,6,6,159,3,108,5,1,525,0.5543822597676874
1092,0,18,0,5,2,5,78,6,9,45,1,4,119,1,75,7,17,392,0.5084306095979247
1094,12,27,1,15,7,4,44,6,11,68,4,3,96,2,83,1,10,394,0.5588652482269504
1095,0,15,1,4,0,2,50,4,12,57,1,0,110,2,72,1,3,334,0.5369774919614148
1096,1,37,0,9,4,8,63,9,9,70,9,1,125,1,70,5,3,424,0.5549738219895288
1097,3,17,2,9,3,3,30,11,10,42,1,1,80,0,90,5,4,311,0.4762633996937213
1099,2,59,0,17,14,2,62,34,10,41,2,0,133,2,142,4,8,532,0.5190243902439025
1100,1,20,2,12,8,5,62,18,15,64,9,2,113,3,111,12,6,463,0.5267349260523322
1102,1,30,0,11,15,1,57,13,14,44,3,2,72,0,97,11,8,379,0.47022332506203474
1103,1,26,1,11,25,0,48,17,2,2,3,0,118,4,142,2,5,407,0.4371643394199785
1107,3,22,0,8,9,0,77,12,26,81,5,1,169,0,100,7,31,551,0.6095132743362832
1111,0,19,1,15,9,5,51,12,12,30,9,1,175,1,83,4,12,439,0.6244665718349929
1112,1,19,0,6,3,2,58,33,6,31,0,1,100,1,75,3,4,343,0.5523349436392915
1113,1,13,0,6,10,0,53,2,5,39,4,4,59,0,51,0,5,252,0.4970414201183432
1114,3,17,5,13,12,5,97,19,4,62,8,2,108,3,96,9,11,474,0.5010570824524313
1115,0,21,0,8,6,6,50,22,6,53,6,0,77,2,73,8,20,358,0.4986072423398329
1116,0,2,1,0,0,0,2,0,0,0,1,0,5,1,4,0,0,16,inf
1117,1,60,2,15,22,5,82,19,30,48,24,1,156,0,106,10,13,594,0.5556594948550047
1118,2,26,1,2,15,5,72,17,18,44,10,2,149,3,72,3,14,455,0.5535279805352799
1119,9,25,2,4,13,4,68,10,16,39,6,2,125,1,66,7,13,410,0.4921968787515006
1120,0,19,0,11,6,6,64,15,12,58,12,4,108,2,89,12,11,429,0.48148148148148145
1121,9,33,1,7,20,3,66,10,28,60,7,2,130,2,104,5,9,496,0.5316184351554126
1123,0,28,1,10,2,4,43,11,9,40,2,3,84,2,78,3,6,326,0.4565826330532213
1124,0,46,0,13,18,0,71,7,19,53,4,2,147,0,84,8,9,481,0.5880195599022005
1125,1,36,0,15,8,6,60,8,19,41,2,5,120,2,70,7,8,408,0.5305591677503251
1127,1,25,3,8,12,5,72,6,14,28,4,0,86,4,66,10,10,354,0.46578947368421053
1128,3,23,0,15,10,1,64,9,21,51,4,1,86,6,97,10,4,405,0.49571603427172584
1130,1,35,1,7,18,3,57,16,23,47,9,4,124,1,82,16,20,464,0.5266742338251986
1132,1,30,0,6,7,1,62,9,14,44,2,4,147,0,92,1,20,440,0.5219454329774614
1133,4,30,1,7,16,3,57,12,7,35,9,1,105,1,81,8,11,388,0.4868255959849435
1135,1,19,3,7,9,2,52,6,24,41,13,0,63,2,88,8,19,357,0.5560747663551402
1136,3,27,1,5,6,0,40,6,29,46,2,1,80,5,82,10,16,359,0.4871099050203528
1137,0,21,1,9,4,4,39,2,23,41,13,1,83,0,59,10,15,325,0.45518207282913165
1141,3,17,0,6,5,0,54,6,15,28,3,2,82,1,46,4,8,280,0.4612850082372323
1142,2,22,1,3,15,3,46,6,21,38,10,0,89,5,67,6,12,346,0.46318607764390896
1143,4,18,0,12,9,4,63,6,16,34,6,2,47,3,86,8,10,328,0.45746164574616455
1144,1,28,1,12,25,5,58,10,20,35,3,0,87,4,69,6,16,380,0.5198358413132695
1148,1,21,0,8,11,5,55,6,22,48,7,1,103,4,87,11,14,404,0.5587828492392808
1149,1,20,0,8,8,3,44,4,26,46,5,4,85,3,52,4,16,329,0.4563106796116505
1151,1,29,0,4,6,0,44,10,11,51,2,0,147,3,90,13,7,418,0.5251256281407035
1152,0,4,0,0,0,0,5,0,1,5,0,0,13,0,10,0,1,39,5.571428571428571
1154,2,22,0,13,8,4,67,20,16,85,1,5,123,0,97,3,8,474,0.4463276836158192
1155,1,18,0,7,17,2,71,8,11,77,4,5,118,2,69,7,9,426,0.42011834319526625
1156,0,17,1,3,1,5,51,10,14,46,1,1,83,2,102,4,7,348,0.5058139534883721
1159,0,3,0,8,6,0,25,18,1,12,1,0,22,5,52,2,3,158,0.3518930957683742
1161,1,17,1,7,11,2,37,5,14,87,6,3,122,4,67,5,3,392,0.5058064516129033
1163,1,20,1,6,24,2,54,16,16,57,7,5,93,6,71,3,3,385,0.4258849557522124
1164,0,28,2,6,13,9,62,9,8,58,3,5,137,5,77,3,2,427,0.5182038834951457
1165,1,34,1,8,6,8,58,7,15,59,3,2,110,2,94,13,28,449,0.46384297520661155
1167,0,25,0,10,7,4,52,8,10,55,3,5,96,3,69,9,15,371,0.4666666666666667
1168,0,23,0,4,11,2,47,5,22,49,3,2,113,1,65,9,22,378,0.5101214574898786
1170,1,33,0,7,6,3,33,1,10,39,2,0,111,1,43,8,24,322,0.48493975903614456
1172,0,19,0,8,6,3,36,13,7,34,1,0,77,3,68,8,13,296,0.47665056360708535
1173,1,10,1,6,10,2,55,16,18,55,8,2,153,2,76,9,20,444,0.47639484978540775
1174,0,21,3,9,14,3,58,18,23,50,6,0,132,3,86,7,26,459,0.5523465703971119
1175,0,29,1,10,6,5,65,6,22,55,7,2,92,1,68,5,21,395,0.5025445292620865
1176,1,28,1,17,13,4,79,17,37,93,7,9,126,5,90,9,46,582,0.48218724109362054
1178,1,21,1,17,7,4,81,11,14,81,12,4,100,3,115,8,5,485,0.4801980198019802
1181,0,33,1,9,7,3,45,7,8,60,3,0,120,2,68,4,21,391,0.5385674931129476
1182,0,33,0,10,9,2,62,7,15,57,7,3,141,4,102,7,19,478,0.509594882729211
1184,0,32,0,15,8,0,79,31,22,67,1,1,108,1,88,11,36,500,0.5122950819672131
1185,1,16,0,12,10,1,34,20,15,41,4,2,92,1,57,7,33,346,0.4759284731774415
1186,0,31,0,9,11,1,62,34,11,56,3,2,136,3,86,11,27,483,0.5026014568158168
1187,1,29,0,11,7,0,90,26,18,44,1,4,101,3,105,11,31,482,0.5361512791991101
1188,0,25,3,7,22,1,42,12,21,52,4,3,75,2,70,7,18,364,0.5141242937853108
1190,4,25,2,9,3,1,54,28,21,45,4,2,78,0,78,9,14,377,0.45041816009557945
1191,2,42,2,9,8,5,45,17,17,55,3,0,171,4,119,3,14,516,0.5937859608745685
1192,0,48,1,5,4,2,51,17,25,32,2,4,143,1,98,20,62,515,0.5223123732251521
1194,6,35,0,6,15,1,48,36,29,48,13,4,137,7,84,8,30,507,0.5528898582333697
1196,1,55,0,15,8,0,69,27,22,53,8,2,135,2,109,11,29,546,0.5311284046692607
1200,0,30,0,10,16,1,49,12,19,50,9,2,80,3,81,4,10,376,0.456865127582017
1201,2,25,0,6,5,2,50,5,19,50,5,3,102,4,97,6,10,391,0.4727932285368803
1203,2,27,0,5,5,1,38,12,27,45,4,1,95,2,88,4,26,382,0.4860050890585242
1204,2,27,1,13,8,2,42,14,24,38,2,2,110,1,75,13,19,393,0.4918648310387985
1205,0,42,2,9,14,3,78,33,14,63,9,2,126,1,97,10,24,527,0.5666666666666667
1207,0,28,2,7,8,0,32,9,17,42,2,1,107,6,77,7,17,362,0.45534591194968554
1209,0,40,0,4,0,5,60,8,13,56,2,5,158,2,84,1,10,448,0.5456760048721072
1210,2,17,0,2,3,5,64,4,10,51,3,0,111,0,89,8,7,376,0.4519230769230769
1211,0,7,0,20,4,2,78,10,11,74,1,3,155,0,101,17,8,491,0.4593077642656688
1212,2,22,3,6,9,2,51,8,14,58,4,0,157,2,73,5,9,425,0.5305867665418227
1213,0,25,0,5,3,4,59,4,8,39,4,1,111,1,87,3,7,361,0.4610472541507024
1214,1,25,1,7,8,2,72,10,17,70,12,1,119,5,65,5,9,429,0.556420233463035
1215,3,25,0,17,6,4,58,10,15,65,4,1,139,1,130,5,12,495,0.5921052631578947
1216,3,22,2,26,6,0,59,8,17,54,11,2,172,4,93,6,21,506,0.557883131201764
1218,1,31,1,10,6,0,65,9,30,59,5,1,141,1,75,2,24,461,0.5475059382422803
1219,3,35,2,9,14,2,135,14,23,64,11,2,163,3,110,10,20,620,0.5677655677655677
1220,4,32,1,15,11,3,103,14,16,68,12,4,145,7,101,12,23,571,0.5609037328094303
1221,3,36,1,18,8,3,120,10,18,75,8,3,161,2,114,4,14,598,0.5679012345679012
1222,0,32,0,16,5,6,102,15,19,67,10,3,156,2,127,11,21,592,0.5211267605633803
1227,1,18,1,7,8,1,51,5,15,44,4,0,70,1,89,6,20,341,0.4782608695652174
1229,1,39,1,12,22,3,68,27,13,33,9,1,114,2,97,4,10,456,0.5277777777777778
1230,0,36,3,9,14,5,75,16,21,44,3,3,108,3,88,4,24,456,0.5567765567765568
1232,3,29,0,8,5,3,36,4,17,44,7,1,119,3,68,11,9,367,0.5190947666195191
1233,3,35,0,21,10,2,63,10,7,43,6,2,152,2,105,12,25,498,0.5533333333333333
1236,2,41,1,16,16,0,41,7,13,34,9,1,114,1,74,6,18,394,0.5051282051282051
1237,4,20,1,12,6,0,56,8,25,48,8,4,126,2,96,5,19,440,0.5352798053527981
1241,0,34,0,12,7,4,46,11,18,36,4,0,111,1,74,15,13,386,0.5006485084306096
1242,3,35,3,17,15,3,54,5,16,40,9,2,133,1,87,15,21,459,0.5186440677966102
1244,0,59,2,26,17,4,71,30,8,49,5,1,164,0,177,11,16,640,0.6101048617731173
1245,3,49,0,9,1,2,60,8,11,56,3,3,129,3,107,7,16,467,0.5572792362768496
1246,0,31,2,13,4,2,59,4,11,52,1,1,78,3,89,3,9,362,0.5411061285500748
1247,2,20,0,6,7,0,66,5,10,56,8,0,99,2,78,8,19,386,0.5012987012987012
1249,1,39,0,9,11,8,48,11,19,57,2,3,129,3,73,8,14,435,0.5123674911660777
1251,1,26,0,5,9,3,55,13,11,45,3,2,106,0,90,17,11,397,0.4883148831488315
1254,2,31,0,20,8,1,54,11,10,97,4,1,118,5,97,2,14,475,0.511302475780409
1255,3,29,0,8,10,4,65,13,24,9,11,0,105,0,51,7,26,365,0.4152445961319681
1256,0,20,3,2,4,2,42,10,8,58,0,1,114,3,67,9,9,352,0.476319350473613
1257,0,25,2,6,8,2,68,20,21,46,2,3,105,0,69,6,13,396,0.49070631970260226
1258,0,10,1,6,3,2,47,8,7,45,4,2,82,2,67,5,3,294,0.45652173913043476
1259,0,32,2,8,6,5,41,7,5,46,1,1,116,0,58,7,17,352,0.4861878453038674
1260,4,45,0,17,14,2,69,30,12,92,17,1,196,2,103,11,20,635,0.5725879170423805
1261,7,27,1,12,2,1,55,16,22,79,11,1,168,2,85,1,15,505,0.5121703853955375
1263,0,13,1,11,4,1,65,11,21,45,4,1,75,1,73,3,6,335,0.4484605087014726
1264,0,48,2,3,9,2,62,22,27,63,5,2,146,2,70,6,16,485,0.5773809523809523
1265,3,31,2,7,7,1,80,27,34,94,10,5,153,2,120,8,12,596,0.5559701492537313
1267,0,28,2,12,8,3,64,6,21,54,6,3,148,5,94,6,7,467,0.5259009009009009
1268,5,31,2,15,4,5,54,13,18,63,5,0,145,6,95,7,25,493,0.5890083632019116
1270,0,29,0,13,5,6,67,7,8,46,0,0,86,4,82,7,21,381,0.49224806201550386
1271,1,40,0,8,24,3,64,18,9,88,3,3,181,1,91,9,22,565,0.5406698564593302
1273,1,17,0,11,2,6,32,8,8,41,3,2,57,1,52,10,2,253,0.4074074074074074
1274,0,27,1,9,4,3,33,3,4,24,2,2,90,0,49,6,14,271,0.32689987937273823
1275,2,47,1,12,4,1,43,13,20,68,13,1,114,3,72,10,30,454,0.46659815005138744
1276,1,38,4,9,12,7,57,6,29,47,3,2,148,1,52,11,26,453,0.5177142857142857
1280,0,32,0,6,18,7,68,20,24,45,4,4,150,3,89,9,34,513,0.5388655462184874
1283,0,18,0,6,12,2,52,20,11,46,3,2,92,0,70,3,7,344,0.4942528735632184
1285,0,30,2,7,11,2,35,41,11,52,3,0,124,3,88,9,8,426,0.5433673469387755
1286,1,28,0,6,7,3,34,12,7,42,0,0,113,1,61,12,14,341,0.4823196605374823
1287,2,23,3,7,14,3,49,15,14,49,10,2,96,0,58,7,11,363,0.4509316770186335
1291,3,26,0,6,3,1,51,7,5,35,1,9,125,2,78,6,2,360,0.5006954102920723
1292,1,20,1,8,0,3,43,14,8,45,6,3,56,1,53,3,5,270,0.423861852433281
1294,0,13,0,5,6,0,46,4,6,40,2,0,102,1,78,3,5,311,0.3697978596908442
1296,0,34,0,16,5,8,60,11,10,44,4,1,129,3,76,5,20,426,0.5278810408921933
1297,1,31,0,8,10,3,46,7,8,54,10,3,124,1,78,8,7,399,0.5291777188328912
1304,2,28,1,6,19,1,29,16,16,25,3,0,106,0,70,15,15,352,0.4607329842931937
1307,1,56,3,7,12,4,57,13,14,40,6,0,141,2,100,10,16,482,0.5397536394176932
1309,7,50,1,28,15,1,66,21,9,39,35,1,143,1,118,14,10,559,0.5354406130268199
1312,1,38,1,8,10,1,72,9,27,43,12,0,130,0,79,8,13,452,0.5419664268585132
1314,1,32,1,12,19,1,68,20,31,66,4,1,169,0,155,5,14,599,0.5656279508970727
1315,4,29,2,8,12,0,68,7,33,67,4,4,124,2,105,9,17,495,0.47459252157238735
1316,0,21,0,9,3,2,51,2,11,56,3,2,85,0,92,10,9,356,0.454661558109834
1317,0,45,0,4,6,1,52,13,16,59,4,1,168,0,78,4,10,461,0.6447552447552447
1318,1,43,1,12,14,6,49,9,19,46,5,2,113,4,72,9,17,422,0.5268414481897628
1319,2,48,0,13,14,0,54,6,10,35,6,2,118,0,103,7,18,436,0.4977168949771689
1320,0,35,1,6,6,0,33,12,34,39,1,1,96,2,72,8,15,361,0.5356083086053413
1321,1,25,0,8,17,5,54,8,22,51,4,3,134,1,118,11,23,485,0.5099894847528917
1323,1,26,3,7,13,5,61,27,20,56,6,4,109,1,80,6,10,435,0.5028901734104047
1324,3,20,1,9,14,3,53,12,24,58,3,2,166,5,90,5,13,481,0.5923645320197044
1326,1,43,2,6,8,1,44,15,11,53,4,2,140,2,77,7,8,424,0.5816186556927297
