SEZIONE,Bene comune,Destra F.T.,Difesa Vita,Italia Valori,Lega Nord,Lista del Grillo,Part. Comunista Lav.,Part. Democratico,Part. Socialista,Popolo Libertà,Sin. Arcobaleno,Sin. Critica,UDC Casini,Un. Consumatori,TOTALE,AFFLUENZA
189,5,19,2,28,99,2,1,221,6,281,18,0,15,0,697,0.8723404255319149
190,2,12,1,37,60,0,1,225,2,215,27,3,19,1,605,0.8142664872139973
191,1,13,10,30,66,1,1,256,6,262,18,3,20,0,687,0.8696202531645569
193,2,13,7,37,77,1,3,265,5,279,29,7,20,3,748,0.8789659224441834
195,0,15,3,29,92,1,0,209,0,205,15,1,16,0,586,0.8265162200282088
196,2,10,4,29,75,0,1,184,4,201,22,6,11,3,552,0.8652037617554859
197,1,22,0,47,80,7,7,218,7,235,25,3,15,2,669,0.8060240963855422
198,2,17,7,25,62,2,1,262,5,187,30,4,22,0,626,0.8204456094364351
199,1,14,0,28,65,1,2,201,3,171,28,2,11,1,528,0.8036529680365296
200,1,10,1,28,73,1,2,232,8,205,30,3,10,3,607,0.841886269070735
201,4,13,4,38,69,3,3,279,4,195,33,3,13,1,662,0.8390367553865653
204,4,24,0,30,78,5,2,258,4,216,38,4,18,1,682,0.8567839195979899
205,5,10,4,41,81,1,2,215,3,251,29,6,18,3,669,0.8099273607748184
206,1,10,3,31,75,2,1,206,3,245,20,1,22,0,620,0.850480109739369
207,1,10,3,21,58,0,0,187,2,180,30,1,18,0,511,0.841845140032949
208,2,10,2,38,58,1,3,251,4,209,26,6,14,0,624,0.8188976377952756
212,1,14,3,24,55,3,1,205,0,239,19,3,26,3,596,0.8935532233883059
213,0,12,4,14,45,7,1,194,4,168,33,5,9,3,499,0.8220757825370676
214,7,12,1,30,66,1,3,215,4,238,26,3,19,0,625,0.7881462799495587
215,2,17,9,30,66,6,1,323,5,220,39,3,20,0,741,0.8507462686567164
217,4,6,0,27,66,2,3,254,7,217,30,3,30,1,650,0.8689839572192514
220,0,9,7,24,51,0,1,238,5,214,10,3,32,1,595,0.9097859327217125
221,2,22,1,37,56,5,3,230,8,217,29,6,20,1,637,0.8315926892950392
223,2,6,12,27,97,0,0,225,7,340,5,1,21,0,743,0.9550128534704371
