SEZIONE,+EUROPA,ALLEANZA VERDI E SINISTRA,AZIONE - ITALIA VIVA - CALENDA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ITALEXIT PER L'ITALIA,ITALIA SOVRANA E POPOLARE,LEGA PER SALVINI PREMIER,MOVIMENTO 5 STELLE,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,UNIONE POPOLARE CON DE MAGISTRIS,TOTALE
111,10,23,57,18,115,1,6,5,17,35,1,140,11,439
112,25,35,51,18,93,0,9,6,21,64,1,149,14,486
113,24,53,126,28,133,4,8,6,22,40,0,182,5,631
114,22,34,69,22,112,0,9,7,19,23,2,148,13,480
115,19,28,96,9,86,2,5,10,19,30,2,128,11,445
116,26,33,60,20,83,2,3,9,10,38,2,104,17,407
117,13,10,51,22,95,3,7,7,13,53,0,128,13,415
118,21,44,58,15,117,0,12,11,21,52,0,199,15,565
119,16,33,71,12,116,0,6,3,23,37,4,144,6,471
120,21,27,90,17,103,0,9,6,11,54,3,142,10,493
121,8,20,21,21,92,1,6,2,25,42,0,129,3,370
122,22,22,78,16,102,0,8,6,15,38,1,129,12,449
123,20,38,86,32,129,3,17,10,25,65,3,192,14,634
124,17,37,66,16,93,0,9,8,17,47,1,182,11,504
125,20,40,64,14,90,2,2,2,15,63,2,160,13,487
126,20,49,83,18,94,3,6,14,21,55,0,142,14,519
127,18,40,62,27,118,2,7,7,25,48,1,167,11,533
128,29,53,108,21,144,2,2,4,20,50,2,173,21,629
129,25,39,53,26,133,0,13,7,21,47,1,161,15,541
130,29,41,56,12,115,2,8,11,21,62,0,170,18,545
131,20,59,56,15,80,2,9,7,19,47,1,166,21,502
132,28,78,93,19,107,1,10,13,18,62,1,205,25,660
133,32,54,110,27,147,0,10,11,25,47,5,172,13,653
134,31,35,114,26,139,3,14,5,13,32,3,148,15,578
135,33,41,147,22,162,2,5,10,16,36,2,164,16,656
136,25,31,112,25,123,2,4,9,9,26,3,159,5,533
137,39,35,82,24,99,2,6,6,9,46,3,142,9,502
138,31,37,107,9,134,3,5,11,15,67,4,159,15,597
139,41,47,115,20,148,2,5,14,21,37,4,204,16,674
140,24,54,96,21,126,3,8,9,24,39,3,178,21,606
141,35,43,83,22,89,2,9,11,11,72,4,199,21,601
142,33,42,81,10,118,1,8,12,22,40,1,168,20,556
143,37,50,89,27,88,2,10,7,19,62,2,160,18,571
144,19,59,85,20,102,1,5,8,18,61,3,154,21,556
145,28,50,72,24,88,1,5,9,19,57,5,189,11,558
146,41,57,93,24,104,3,14,9,11,52,1,192,26,627
147,27,33,88,19,105,1,7,13,19,48,2,133,18,513
148,30,44,99,30,140,3,2,6,25,41,2,204,15,641
149,24,28,125,31,166,1,5,12,24,39,7,106,15,583
150,23,58,71,22,105,1,4,12,18,56,1,151,29,551
151,21,54,63,19,83,3,5,18,29,55,1,166,19,536
152,23,39,67,14,82,4,12,8,20,44,2,140,20,475
153,34,54,72,24,93,0,6,11,27,47,2,188,19,577
154,24,49,78,15,105,3,9,11,18,65,2,188,21,588
155,19,40,80,23,116,2,11,5,15,47,3,189,10,560
156,30,44,83,14,126,3,7,8,17,68,3,179,20,602
157,32,39,91,17,108,3,9,18,21,49,1,180,26,594
158,31,46,67,11,87,1,10,7,34,59,2,169,15,539
159,24,38,58,9,117,1,12,10,19,63,0,181,14,546
160,20,58,65,28,107,4,13,5,13,56,2,192,24,587
161,20,42,44,12,66,6,9,16,25,39,2,125,13,419
162,21,41,61,31,82,1,8,8,20,51,2,166,10,502
163,18,47,101,20,100,4,12,10,25,49,4,195,14,599
164,21,45,96,20,118,1,3,12,23,31,1,187,8,566
165,12,34,60,15,96,1,4,6,10,34,7,170,7,456
166,24,46,79,10,86,1,7,6,8,30,1,184,8,490
167,22,46,94,18,100,4,10,11,15,34,1,190,9,554
168,12,26,70,25,127,2,8,4,19,34,4,140,12,483
169,19,24,74,23,109,5,13,2,16,44,0,134,13,476
170,27,45,105,15,96,5,13,6,19,55,3,240,10,639
171,32,48,70,12,113,0,13,5,20,29,3,152,14,511
172,24,50,68,22,139,0,16,12,36,89,5,166,17,644
173,21,32,65,18,80,5,11,8,21,69,1,177,14,522
174,13,43,113,18,154,2,10,14,31,52,2,239,22,713
